Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
USA,9550865.0,72302.0,236900.0,425.0,6144359.0,40735.0,3169606.0,17309.0,28797.0,714.0,146115627.0,440560.0,331658650.0
India,8266914.0,37592.0,123139.0,497.0,7601429.0,58524.0,542346.0,8944.0,5971.0,89.0,110743103.0,79984.0,1384567503.0
Brazil,5554206.0,8501.0,160253.0,149.0,4980942.0,,413011.0,8318.0,26068.0,752.0,21900000.0,102783.0,213069306.0
Russia,1655038.0,18257.0,28473.0,238.0,1236033.0,10360.0,390532.0,2300.0,11339.0,195.0,61541970.0,421648.0,145955748.0
France,1466433.0,52518.0,37435.0,416.0,119104.0,877.0,1309894.0,3730.0,22449.0,573.0,16540372.0,253211.0,65322540.0
Spain,1313087.0,18340.0,36257.0,127.0,,,,2650.0,28081.0,775.0,18072174.0,386480.0,46760938.0
Argentina,1173533.0,,31140.0,,985316.0,,157077.0,5119.0,25886.0,687.0,3022449.0,66669.0,45335371.0
Colombia,1093256.0,9935.0,31670.0,155.0,985796.0,7992.0,75790.0,2376.0,21409.0,620.0,5126096.0,100384.0,51065104.0
UK,1053864.0,18950.0,46853.0,136.0,,,,978.0,15496.0,689.0,34400076.0,505834.0,68006623.0
Mexico,929392.0,4430.0,91895.0,142.0,682044.0,4385.0,155453.0,2838.0,7183.0,710.0,2410306.0,18629.0,129387958.0
Peru,906545.0,1634.0,34585.0,56.0,830612.0,2999.0,41348.0,1043.0,27367.0,1044.0,4551185.0,137392.0,33125526.0
Italy,731588.0,22253.0,39059.0,233.0,296017.0,3637.0,396512.0,2022.0,12106.0,646.0,16103649.0,266478.0,60431518.0
South Africa,727595.0,772.0,19465.0,54.0,657500.0,2170.0,50630.0,546.0,12216.0,327.0,4852918.0,81480.0,59559300.0
Iran,628780.0,8289.0,35738.0,440.0,491247.0,4556.0,101795.0,5244.0,7454.0,424.0,4965326.0,58864.0,84353165.0
Germany,560586.0,16240.0,10734.0,112.0,363100.0,7200.0,186752.0,2061.0,6684.0,128.0,21882967.0,260900.0,83874775.0
Chile,513188.0,1324.0,14302.0,55.0,489525.0,1359.0,9361.0,723.0,26768.0,746.0,4386173.0,228786.0,19171475.0
Iraq,478701.0,3413.0,11017.0,51.0,405777.0,2995.0,61907.0,447.0,11814.0,272.0,2894127.0,71423.0,40521095.0
Belgium,441018.0,11789.0,11737.0,112.0,25819.0,250.0,403462.0,1223.0,37997.0,1011.0,5016220.0,432183.0,11606701.0
Indonesia,415402.0,2618.0,14044.0,101.0,345566.0,3624.0,55792.0,,1513.0,51.0,4567608.0,16640.0,274495470.0
Bangladesh,410988.0,1736.0,5966.0,25.0,327901.0,1961.0,77121.0,,2487.0,36.0,2361702.0,14292.0,165241118.0
Ukraine,402194.0,6754.0,7375.0,69.0,163768.0,2327.0,231051.0,177.0,9215.0,169.0,3312549.0,75900.0,43643732.0
Poland,395480.0,15578.0,5875.0,92.0,154413.0,7818.0,235192.0,1453.0,10453.0,155.0,4828389.0,127625.0,37832486.0
Philippines,385400.0,2298.0,7269.0,32.0,348830.0,87.0,29301.0,1483.0,3501.0,66.0,4848952.0,44054.0,110069447.0
Turkey,379775.0,2302.0,10402.0,76.0,327007.0,1521.0,42366.0,2341.0,4487.0,123.0,14264260.0,168521.0,84643935.0
Netherlands,368147.0,8286.0,7463.0,29.0,,,,615.0,21469.0,435.0,3327701.0,194061.0,17147742.0
Saudi Arabia,348037.0,381.0,5437.0,17.0,334672.0,436.0,7928.0,755.0,9945.0,155.0,8151353.0,232930.0,34994884.0
Czechia,345699.0,4055.0,3603.0,174.0,158073.0,655.0,184023.0,1156.0,32261.0,336.0,2348162.0,219132.0,10715728.0
Pakistan,335093.0,1123.0,6835.0,12.0,315016.0,461.0,13242.0,707.0,1507.0,31.0,4486843.0,20182.0,222317083.0
Israel,315636.0,693.0,2580.0,26.0,303405.0,696.0,9651.0,383.0,34317.0,281.0,4646137.0,505147.0,9197590.0
Romania,250704.0,4041.0,7153.0,86.0,177361.0,1386.0,66190.0,916.0,13062.0,373.0,3274870.0,170622.0,19193685.0
