lat,lon,cases,deaths,recovered,DayStart,DayEnd,placetype,adm0,adm1,adm2,adm3,indiv,source,geometry
33.93911,67.709953,1,,,20200224,20200307,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,4,,,20200308,20200309,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,5,,,20200310,20200310,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,7,,,20200311,20200313,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,11,,,20200314,20200314,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,16,,,20200315,20200315,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,21,,1.0,20200316,20200316,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,22,,1.0,20200317,20200319,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,24,,1.0,20200320,20200321,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,40,1.0,1.0,20200322,20200323,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,74,1.0,1.0,20200324,20200324,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,84,2.0,2.0,20200325,20200325,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,94,4.0,2.0,20200326,20200326,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,110,4.0,2.0,20200327,20200328,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,120,4.0,2.0,20200329,20200329,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,170,4.0,2.0,20200330,20200330,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,174,4.0,5.0,20200331,20200331,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,237,4.0,5.0,20200401,20200401,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,273,6.0,10.0,20200402,20200402,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,281,6.0,10.0,20200403,20200403,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,299,7.0,10.0,20200404,20200404,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,349,7.0,15.0,20200405,20200405,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,367,11.0,18.0,20200406,20200406,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,423,14.0,18.0,20200407,20200407,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
33.93911,67.709953,444,14.0,29.0,20200408,20200408,adm0,Afghanistan,,,,,1,POINT (67.709953 33.93911)
