lat,lon,cases,deaths,recovered,DayStart,DayEnd,placetype,adm0,adm1,adm2,adm3,indiv,source,geometry
-24.47,-55.69,16,,,20201002,20250101,adm3,Paraguay,Canindeyu,,Curuguaty,,4,POINT (-55.69 -24.47)
-24.1,-57.083330000000004,19,,,20201002,20250101,adm3,Paraguay,San Pedro,,San Pedro del Ykuamandyju,,4,POINT (-57.08333 -24.1)
-26.674422999999997,-55.08650400000001,2,,,20201002,20250101,adm3,Paraguay,Itapua,,Yatytay,,4,POINT (-55.08650400000001 -26.674423)
-27.4,-56.9,2,,,20201002,20250101,adm3,Paraguay,Misiones,,Ayolas,,4,POINT (-56.9 -27.4)
-25.45,-56.0167,192,,,20201002,20250101,adm3,Paraguay,Caaguazu,,Caaguazu,,4,POINT (-56.0167 -25.45)
-25.7479,-57.7332,6,,,20201002,20250101,adm3,Paraguay,Central,,Villeta,,4,POINT (-57.7332 -25.7479)
-25.51667,-54.61666999999999,135,,,20201002,20250101,adm3,Paraguay,Alto Parana,,Ciudad del Este,,4,POINT (-54.61666999999999 -25.51667)
-25.621089,-57.146338,62,,,20201002,20250101,adm3,Paraguay,Paraguari,,San Roque Gonzalez,,4,POINT (-57.146338 -25.621089)
-25.5747,-54.5993,10,,,20201002,20250101,adm3,Paraguay,Alto Parana,,Presidente Franco,,4,POINT (-54.5993 -25.5747)
-25.49,-54.77,27,,,20201002,20250101,adm3,Paraguay,Alto Parana,,Minga Guazu,,4,POINT (-54.77 -25.49)
-25.351206,-57.613891,36,,,20201002,20250101,adm3,Paraguay,Central,,Lambare,,4,POINT (-57.613891 -25.351206)
-24.99,-55.14,4,,,20201002,20250101,adm3,Paraguay,Alto Parana,,Itakyry,,4,POINT (-55.14 -24.99)
-26.04,-55.15,1,,,20201002,20250101,adm3,Paraguay,Alto Parana,,Dr Raul Peña,,4,POINT (-55.15 -26.04)
-25.3935,-57.5443,17,,,20201002,20250101,adm3,Paraguay,Central,,Nemby,,4,POINT (-57.5443 -25.3935)
-25.3826,-57.1405,14,,,20201002,20250101,adm3,Paraguay,Cordillera,,Caacupe,,4,POINT (-57.1405 -25.3826)
-25.65,-54.7,6,,,20201002,20250101,adm3,Paraguay,Alto Parana,,Los Cedrales,,4,POINT (-54.7 -25.65)
-25.4833,-57.35,5,,,20201002,20250101,adm3,Paraguay,Central,,Ita,,4,POINT (-57.35 -25.4833)
-25.383329999999997,-57.333330000000004,8,,,20201002,20250101,adm3,Paraguay,Central,,Itaugua,,4,POINT (-57.33333 -25.38333)
-22.566670000000002,-55.71666999999999,14,,,20201002,20250101,adm3,Paraguay,Amambay,,Pedro Juan Caballero,,4,POINT (-55.71666999999999 -22.56667)
-25.42,-55.38,6,,,20201002,20250101,adm3,Paraguay,Alto Parana,,Juan E OLeary,,4,POINT (-55.38 -25.42)
-22.8333,-57.1667,13,,,20201002,20250101,adm3,Paraguay,Concepcion,,Concepcion,,4,POINT (-57.1667 -22.8333)
-25.372061,-57.586014,3,,,20201002,20250101,adm3,Paraguay,Central,,Villa Elisa,,4,POINT (-57.586014 -25.372061)
-25.268995,-57.556706999999996,155,,,20201002,20250101,adm3,Paraguay,Asuncion,,Asuncion,,4,POINT (-57.556707 -25.268995)
-25.3667,-54.75,34,,,20201002,20250101,adm3,Paraguay,Alto Parana,,Hernandarias,,4,POINT (-54.75 -25.3667)
-25.6208,-57.1472,8,,,20201002,20250101,adm3,Paraguay,Paraguari,,Paraguari,,4,POINT (-57.1472 -25.6208)
-24.65,-56.4333,7,,,20201002,20250101,adm3,Paraguay,San Pedro,,San Estanislao,,4,POINT (-56.4333 -24.65)
-23.345373000000002,-57.04755400000001,4,,,20201002,20250101,adm3,Paraguay,Concepcion,,Horqueta,,4,POINT (-57.04755400000001 -23.345373)
-27.33333,-55.86666999999999,22,,,20201002,20250101,adm3,Paraguay,Itapua,,Encarnacion,,4,POINT (-55.86666999999999 -27.33333)
-24.124612,-55.64436,1,,,20201002,20250101,adm3,Paraguay,Canindeyu,,Villa Ygatimi,,4,POINT (-55.64436 -24.124612)
-25.27,-57.48721999999999,32,,,20201002,20250101,adm3,Paraguay,Central,,Luque,,4,POINT (-57.48721999999999 -25.27)
-26.0167,-57.05,6,,,20201002,20250101,adm3,Paraguay,Paraguari,,Ybycui,,4,POINT (-57.05 -26.0167)
-25.8,-57.351000000000006,6,,,20201002,20250101,adm3,Paraguay,Paraguari,,Carapegua,,4,POINT (-57.35100000000001 -25.8)
-25.6,-57.3,6,,,20201002,20250101,adm3,Paraguay,Paraguari,,Yaguaron,,4,POINT (-57.3 -25.6)
-25.212220000000002,-57.53306,13,,,20201002,20250101,adm3,Paraguay,Central,,Mariano Roque Alonso,,4,POINT (-57.53306 -25.21222)
-34.7,-58.4,460,,,20201002,20250101,adm3,Argentina,Buenos Aires,,Lanus,,4,POINT (-58.4 -34.7)
10.3103,123.9494,123,,,20201002,20250101,adm3,Philippines,Cebu Province,,Lapu-Lapu Opon,,4,POINT (123.9494 10.3103)
11.244439999999999,125.00388999999998,1,,,20201002,20250101,adm3,Philippines,Leyte,,Tacloban,,4,POINT (125.00389 11.24444)
14.56,121.13,386,,,20201002,20250101,adm3,Philippines,Metro Manila,,San Juan,,4,POINT (121.13 14.56)
-34.886868,-58.253802,277,,,20201002,20250101,adm3,Argentina,Buenos Aires,,Florencio Varela,,4,POINT (-58.253802 -34.886868)
9.04338167772914,-83.2985847629607,200,,,20201002,20250101,adm3,Argentina,Buenos Aires,,Tigre,,4,POINT (-83.2985847629607 9.04338167772914)
16.06972,119.94,1,,,20201002,20250101,adm3,Philippines,Pangasinan,,Mabini,,4,POINT (119.94 16.06972)
-34.53333,-58.71666999999999,137,,,20201002,20250101,adm3,Argentina,Buenos Aires,,San Miguel,,4,POINT (-58.71666999999999 -34.53333)
-34.6303,-58.467169999999996,1420,,,20201002,20250101,adm3,Argentina,CABA,,COMUNA 7,,4,POINT (-58.46717 -34.6303)
-39.0105,-67.6469,192,,,20201002,20250101,adm3,Argentina,Rio Negro,,General Roca,,4,POINT (-67.6469 -39.0105)
-34.60267,-58.39676,239,,,20201002,20250101,adm3,Argentina,CABA,,COMUNA 3,,4,POINT (-58.39676 -34.60267)
16.081716,120.04185,5,,,20201002,20250101,adm3,Philippines,Pangasinan,,Sual,,4,POINT (120.04185 16.081716)
-34.455263,-58.564744999999995,85,,,20201002,20250101,adm3,Argentina,Buenos Aires,,San Fernando,,4,POINT (-58.56474499999999 -34.455263)
-33.8,-59.51667,12,,,20201002,20250101,adm3,Argentina,Buenos Aires,,Baradero,,4,POINT (-59.51667 -33.8)
-26.53333,-59.333330000000004,3,,,20201002,20250101,adm3,Argentina,Chaco,,Libertador General San Martin,,4,POINT (-59.33333 -26.53333)
16.18694,119.85916999999999,1,,,20201002,20250101,adm3,Philippines,Pangasinan,,Bani,,4,POINT (119.85917 16.18694)
-34.60002,-58.386919999999996,1944,,,20201002,20250101,adm3,Argentina,CABA,,COMUNA 1,,4,POINT (-58.38692 -34.60002)
-34.63191,-58.48354000000001,105,,,20201002,20250101,adm3,Argentina,CABA,,COMUNA 10,,4,POINT (-58.48354000000001 -34.63191)
14.45,120.98333000000001,299,,,20201002,20250101,adm3,Philippines,Metro Manila,,Las Pinas,,4,POINT (120.98333 14.45)
-27.78,-59.27,1041,,,20201002,20250101,adm3,Argentina,Chaco,,San Fernando,,4,POINT (-59.27 -27.78)
14.583329999999998,121.0,370,,,20201002,20250101,adm3,Philippines,Metro Manila,,Pasay,,4,POINT (121 14.58333)
14.612132,120.986705,478,,,20201002,20250101,adm3,Philippines,Metro Manila,,Caloocan,,4,POINT (120.986705 14.612132)
-34.587109999999996,-58.44112,115,,,20201002,20250101,adm3,Argentina,CABA,,COMUNA 15,,4,POINT (-58.44112 -34.58711)
14.814470000000002,120.90847,6,,,20201002,20250101,adm3,Philippines,Bulacan,,Balagtas Bigaa,,4,POINT (120.90847 14.81447)
14.383329999999999,120.88333,24,,,20201002,20250101,adm3,Philippines,Cavite,,General Trias,,4,POINT (120.88333 14.38333)
-34.76667,-58.4,410,,,20201002,20250101,adm3,Argentina,Buenos Aires,,Lomas de Zamora,,4,POINT (-58.4 -34.76667)
9.96667,122.61667,1,,,20201002,20250101,adm3,Philippines,Negros Occidental,,Cauayan,,4,POINT (122.61667 9.966670000000001)
-34.65033,-58.424530000000004,662,,,20201002,20250101,adm3,Argentina,CABA,,COMUNA 4,,4,POINT (-58.42453 -34.65033)
13.9,122.45,1,,,20201002,20250101,adm3,Philippines,Quezon,,Guinayangan,,4,POINT (122.45 13.9)
-34.45,-58.916669999999996,190,,,20201002,20250101,adm3,Argentina,Buenos Aires,,Pilar,,4,POINT (-58.91667 -34.45)
-34.71667,-58.26667,899,,,20201002,20250101,adm3,Argentina,Buenos Aires,,Quilmes,,4,POINT (-58.26667 -34.71667)
-25.3125,-57.3847,5,,,20201002,20250101,adm3,Paraguay,Central,,Aregua,,4,POINT (-57.3847 -25.3125)
13.883329999999999,120.93333,3,,,20201002,20250101,adm3,Philippines,Batangas,,Taal,,4,POINT (120.93333 13.88333)
11.080542,120.91890900000001,2,,,20201002,20250101,adm3,Philippines,Palawan,,Puerto,,4,POINT (120.918909 11.080542)
10.30984,123.893107,2412,,,20201002,20250101,adm3,Philippines,Cebu Province,,Cebu,,4,POINT (123.893107 10.30984)
13.59167,122.325,1,,,20201002,20250101,adm3,Philippines,Quezon,,Catanauan,,4,POINT (122.325 13.59167)
-34.62294,-58.41251,111,,,20201002,20250101,adm3,Argentina,CABA,,COMUNA 5,,4,POINT (-58.41251 -34.62294)
-34.65,-58.61666999999999,219,,,20201002,20250101,adm3,Argentina,Buenos Aires,,Moron,,4,POINT (-58.61666999999999 -34.65)
-34.59806,-58.565,261,,,20201002,20250101,adm3,Argentina,Buenos Aires,,Tres de Febrero,,4,POINT (-58.565 -34.59806)
