num,placetype,adm0,adm1,adm2,adm3,indiv,lookup,lat,lon
184,adm1,Canada,Diamond Princess,,,,Diamond Princess Canada,,
185,adm1,Canada,Grand Princess,,,,Grand Princess Canada,,
747,adm1,Croatia,Karlovačka,,,,Karlovačka Croatia,,
748,adm1,Croatia,Koprivničko-Križevačka,,,,Koprivničko-Križevačka Croatia,,
751,adm1,Croatia,Međimurska,,,,Međimurska Croatia,,
752,adm1,Croatia,Osječko-Baranjska,,,,Osječko-Baranjska Croatia,,
757,adm1,Croatia,Varaždinska,,,,Varaždinska Croatia,,
759,adm1,Croatia,Vukovarsko-Srijemska,,,,Vukovarsko-Srijemska Croatia,,
777,adm1,Czechia,Unassigned,,,,Unassigned Czechia,,
790,adm0,Diamond Princess,,,,,Diamond Princess,,
924,adm1,Ghana,Greater Accra,,,,Greater Accra Ghana,,
1008,adm1,Hungary,Nógrád,,,,Nógrád Hungary,,
1065,adm1,Indonesia,Kalimantan Barat,,,,Kalimantan Barat Indonesia,,
1488,adm0,MS Zaandam,,,,,MS Zaandam,,
1567,adm1,Nepal,Bagmati,,,,Bagmati Nepal,,
1568,adm1,Nepal,Gandaki,,,,Gandaki Nepal,,
1569,adm1,Nepal,Karnali,,,,Karnali Nepal,,
1570,adm1,Nepal,Province 1,,,,Province 1 Nepal,,
1571,adm1,Nepal,Province 2,,,,Province 2 Nepal,,
1572,adm1,Nepal,Province 5,,,,Province 5 Nepal,,
1573,adm1,Nepal,Sudurpashchim,,,,Sudurpashchim Nepal,,
1794,adm2,Netherlands,Netherlands,Noardeast-Fryslân,,,Noardeast-Fryslân Netherlands Netherlands,,
2245,adm1,Slovakia,Žilina,,,,Žilina Slovakia,,
2998,adm2,United States of America,Alabama,Unassigned,,,Unassigned Alabama United States of America,,
3031,adm2,United States of America,Alaska,Unassigned,,,Unassigned Alaska United States of America,,
3054,adm2,United States of America,Arizona,Unassigned,,,Unassigned Arizona United States of America,,
3129,adm2,United States of America,Arkansas,Unassigned,,,Unassigned Arkansas United States of America,,
3193,adm2,United States of America,California,Unassigned,,,Unassigned California United States of America,,
3262,adm2,United States of America,Colorado,Unassigned,,,Unassigned Colorado United States of America,,
3275,adm2,United States of America,Connecticut,Unassigned,,,Unassigned Connecticut United States of America,,
3282,adm2,United States of America,Delaware,Unassigned,,,Unassigned Delaware United States of America,,
3283,adm1,United States of America,Diamond Princess,,,,Diamond Princess United States of America,,
3354,adm2,United States of America,Florida,Unassigned,,,Unassigned Florida United States of America,,
3471,adm2,United States of America,Georgia,Out of GA,,,Out of GA Georgia United States of America,,
3506,adm2,United States of America,Georgia,Unassigned,,,Unassigned Georgia United States of America,,
3523,adm1,United States of America,Grand Princess,,,,Grand Princess United States of America,,
3531,adm2,United States of America,Hawaii,Out of HI,,,Out of HI Hawaii United States of America,,
3533,adm2,United States of America,Hawaii,Unassigned,,,Unassigned Hawaii United States of America,,
3578,adm2,United States of America,Idaho,Unassigned,,,Unassigned Idaho United States of America,,
3653,adm2,United States of America,Illinois,Out of IL,,,Out of IL Illinois United States of America,,
3675,adm2,United States of America,Illinois,Unassigned,,,Unassigned Illinois United States of America,,
3771,adm2,United States of America,Indiana,Unassigned,,,Unassigned Indiana United States of America,,
3873,adm2,United States of America,Iowa,Unassigned,,,Unassigned Iowa United States of America,,
4108,adm2,United States of America,Kentucky,Unassigned,,,Unassigned Kentucky United States of America,,
4184,adm2,United States of America,Louisiana,Unassigned,,,Unassigned Louisiana United States of America,,
4209,adm2,United States of America,Maine,Unassigned,,,Unassigned Maine United States of America,,
4236,adm2,United States of America,Maryland,Unassigned,,,Unassigned Maryland United States of America,,
4256,adm2,United States of America,Massachusetts,Unassigned,,,Unassigned Massachusetts United States of America,,
4283,adm2,United States of America,Michigan,Federal Correctional Institution (FCI),,,Federal Correctional Institution (FCI) Michigan United States of America,,
4315,adm2,United States of America,Michigan,Michigan Department of Corrections (MDOC),,,Michigan Department of Corrections (MDOC) Michigan United States of America,,
4331,adm2,United States of America,Michigan,Out of MI,,,Out of MI Michigan United States of America,,
4344,adm2,United States of America,Michigan,Unassigned,,,Unassigned Michigan United States of America,,
4430,adm2,United States of America,Minnesota,Unassigned,,,Unassigned Minnesota United States of America,,
4514,adm2,United States of America,Mississippi,Unassigned,,,Unassigned Mississippi United States of America,,
4642,adm2,United States of America,Missouri,Unassigned,,,Unassigned Missouri United States of America,,
4704,adm2,United States of America,Montana,Unassigned,,,Unassigned Montana United States of America,,
4799,adm2,United States of America,Nebraska,Unassigned,,,Unassigned Nebraska United States of America,,
4823,adm2,United States of America,Nevada,Unassigned,,,Unassigned Nevada United States of America,,
4840,adm2,United States of America,New Hampshire,Unassigned,,,Unassigned New Hampshire United States of America,,
4862,adm2,United States of America,New Jersey,Unassigned,,,Unassigned New Jersey United States of America,,
4898,adm2,United States of America,New Mexico,Unassigned,,,Unassigned New Mexico United States of America,,
4961,adm2,United States of America,New York,Unassigned,,,Unassigned New York United States of America,,
5060,adm2,United States of America,North Carolina,Unassigned,,,Unassigned North Carolina United States of America,,
5210,adm2,United States of America,Ohio,Unassigned,,,Unassigned Ohio United States of America,,
5284,adm2,United States of America,Oklahoma,Out of OK,,,Out of OK Oklahoma United States of America,,
5300,adm2,United States of America,Oklahoma,Unassigned,,,Unassigned Oklahoma United States of America,,
5338,adm2,United States of America,Oregon,Unassigned,,,Unassigned Oregon United States of America,,
5422,adm2,United States of America,Rhode Island,Unassigned,,,Unassigned Rhode Island United States of America,,
5469,adm2,United States of America,South Carolina,Unassigned,,,Unassigned South Carolina United States of America,,
5537,adm2,United States of America,South Dakota,Unassigned,,,Unassigned South Dakota United States of America,,
5609,adm2,United States of America,Tennessee,Out of TN,,,Out of TN Tennessee United States of America,,
5630,adm2,United States of America,Tennessee,Unassigned,,,Unassigned Tennessee United States of America,,
5872,adm2,United States of America,Texas,Unassigned,,,Unassigned Texas United States of America,,
5916,adm2,United States of America,Utah,Out of UT,,,Out of UT Utah United States of America,,
5929,adm2,United States of America,Utah,Unassigned,,,Unassigned Utah United States of America,,
5949,adm2,United States of America,Vermont,Unassigned,,,Unassigned Vermont United States of America,,
6081,adm2,United States of America,Virginia,Unassigned,,,Unassigned Virginia United States of America,,
6129,adm2,United States of America,Washington,Unassigned,,,Unassigned Washington United States of America,,
6185,adm2,United States of America,West Virginia,Unassigned,,,Unassigned West Virginia United States of America,,
6258,adm2,United States of America,Wisconsin,Unassigned,,,Unassigned Wisconsin United States of America,,
6309,adm1,Venezuela,Falcón,,,,Falcón Venezuela,,
7547,adm3,Cuba,Camagüey,,Camagüey,,Camagüey  Camagüey Cuba,,
7551,adm3,Cuba,Camagüey,,Sibanicú,,Sibanicú  Camagüey Cuba,,
