adm0,adm1,adm2,adm3,date,confirmedCount,curedCount,deadCount
Austria,,,,2020-03-27,7697.0,,
Austria,,,,2020-03-28,8346.0,,
Austria,,,,2020-03-29,9103.0,,
Austria,,,,2020-03-30,9772.0,,
Austria,,,,2020-03-31,10366.0,,
Austria,,,,2020-04-01,10842.0,,
Austria,,,,2020-04-02,11199.0,,
Austria,,,,2020-04-03,11589.0,,
Austria,,,,2020-04-04,11770.0,,
Austria,,,,2020-04-05,12058.0,,
Austria,,,,2020-04-06,12390.0,,
Austria,,,,2020-04-07,12721.0,,
Austria,,,,2020-04-08,13005.0,,
Austria,,,,2020-04-09,13337.0,,
Austria,,,,2020-04-10,13667.0,,
Austria,,,,2020-04-11,13838.0,,
Austria,,,,2020-04-12,13962.0,,
Austria,,,,2020-04-13,14100.0,,
Austria,,,,2020-04-14,14265.0,,
Austria,,,,2020-04-15,14321.0,8098.0,393.0
Austria,,,,2020-04-16,14451.0,8986.0,410.0
Austria,,,,2020-04-17,14553.0,9704.0,431.0
Austria,,,,2020-04-18,14637.0,10214.0,443.0
Austria,,,,2020-04-19,14696.0,10501.0,452.0
Austria,,,,2020-04-20,14755.0,10631.0,470.0
Austria,,,,2020-04-21,14810.0,10971.0,491.0
Austria,,,,2020-04-22,14889.0,11328.0,510.0
Austria,,,,2020-04-23,14963.0,11694.0,522.0
Austria,,,,2020-04-24,15038.0,11872.0,530.0
Austria,,,,2020-04-25,15117.0,12103.0,536.0
Austria,,,,2020-04-26,15175.0,12282.0,542.0
Austria,,,,2020-04-27,15239.0,12362.0,549.0
Austria,,,,2020-04-28,15286.0,12580.0,569.0
Austria,,,,2020-04-29,15352.0,12779.0,580.0
Austria,,,,2020-04-30,15424.0,12907.0,584.0
Austria,,,,2020-05-01,15470.0,13092.0,589.0
Austria,,,,2020-05-02,15508.0,13180.0,596.0
Austria,,,,2020-05-03,15527.0,13228.0,598.0
Austria,,,,2020-05-04,15551.0,13316.0,600.0
Austria,,,,2020-05-05,15579.0,13462.0,606.0
Austria,,,,2020-05-06,15633.0,13639.0,608.0
Austria,,,,2020-05-07,15665.0,13698.0,609.0
Austria,,,,2020-05-08,15714.0,13836.0,614.0
Austria,,,,2020-05-09,15756.0,13928.0,615.0
Austria,,,,2020-05-10,15786.0,13991.0,618.0
Austria,,,,2020-05-11,15845.0,14061.0,620.0
Austria,,,,2020-05-12,15894.0,14148.0,623.0
Austria,,,,2020-05-13,15973.0,14304.0,624.0
Austria,,,,2020-05-14,16014.0,14405.0,626.0
Austria,,,,2020-05-15,16093.0,14471.0,628.0
Austria,,,,2020-05-16,16146.0,14524.0,629.0
Austria,,,,2020-05-17,16167.0,14563.0,629.0
Austria,,,,2020-05-18,16201.0,14614.0,629.0
Austria,,,,2020-05-19,16261.0,14678.0,632.0
Austria,,,,2020-05-20,16295.0,14882.0,633.0
Austria,,,,2020-05-21,16335.0,14951.0,633.0
Austria,,,,2020-05-22,16388.0,15005.0,635.0
Austria,,,,2020-05-23,16414.0,15035.0,639.0
Austria,,,,2020-05-24,16440.0,15063.0,640.0
Austria,,,,2020-05-25,16459.0,15138.0,641.0
Austria,,,,2020-05-26,16497.0,15182.0,643.0
Austria,,,,2020-05-27,16514.0,15228.0,645.0
