adm0,adm1,adm2,adm3,date,confirmedCount,deadCount
Belgium,Brussels,,,2020-03-01,,0.0
Belgium,Brussels,,,2020-03-02,,0.0
Belgium,Brussels,,,2020-03-03,,0.0
Belgium,Brussels,,,2020-03-04,,0.0
Belgium,Brussels,,,2020-03-05,,0.0
Belgium,Brussels,,,2020-03-06,,0.0
Belgium,Brussels,,,2020-03-07,,0.0
Belgium,Brussels,,,2020-03-08,,0.0
Belgium,Brussels,,,2020-03-09,,0.0
Belgium,Brussels,,,2020-03-10,,0.0
Belgium,Brussels,,,2020-03-11,,0.0
Belgium,Brussels,,,2020-03-12,,0.0
Belgium,Brussels,,,2020-03-13,,0.0
Belgium,Brussels,,,2020-03-14,71.0,0.0
Belgium,Brussels,,,2020-03-15,98.0,0.0
Belgium,Brussels,,,2020-03-16,115.0,0.0
Belgium,Brussels,,,2020-03-17,153.0,0.0
Belgium,Brussels,,,2020-03-18,194.0,0.0
Belgium,Brussels,,,2020-03-19,242.0,0.0
Belgium,Brussels,,,2020-03-20,285.0,0.0
Belgium,Brussels,,,2020-03-21,335.0,0.0
Belgium,Brussels,,,2020-03-22,405.0,0.0
Belgium,Brussels,,,2020-03-23,450.0,0.0
Belgium,Brussels,,,2020-03-24,488.0,0.0
Belgium,Brussels,,,2020-03-25,545.0,0.0
Belgium,Brussels,,,2020-03-26,709.0,0.0
Belgium,Brussels,,,2020-03-27,846.0,0.0
Belgium,Brussels,,,2020-03-28,980.0,0.0
Belgium,Brussels,,,2020-03-29,1065.0,0.0
Belgium,Brussels,,,2020-03-30,1263.0,0.0
Belgium,Brussels,,,2020-03-31,1452.0,0.0
Belgium,Brussels,,,2020-04-01,1580.0,0.0
Belgium,Brussels,,,2020-04-02,1717.0,0.0
Belgium,Brussels,,,2020-04-03,1884.0,0.0
Belgium,Brussels,,,2020-04-04,2046.0,0.0
Belgium,Brussels,,,2020-04-05,2215.0,0.0
Belgium,Brussels,,,2020-04-06,2352.0,0.0
Belgium,Brussels,,,2020-04-07,2414.0,0.0
Belgium,Brussels,,,2020-04-08,2515.0,0.0
Belgium,Brussels,,,2020-04-09,2664.0,0.0
Belgium,Brussels,,,2020-04-10,2842.0,0.0
Belgium,Brussels,,,2020-04-11,2991.0,0.0
Belgium,Brussels,,,2020-04-12,3134.0,0.0
Belgium,Brussels,,,2020-04-13,3247.0,0.0
Belgium,Brussels,,,2020-04-14,3309.0,0.0
Belgium,Brussels,,,2020-04-15,3404.0,0.0
Belgium,Brussels,,,2020-04-16,3468.0,0.0
Belgium,Brussels,,,2020-04-17,3611.0,0.0
Belgium,Brussels,,,2020-04-18,3739.0,0.0
Belgium,Brussels,,,2020-04-19,3871.0,0.0
Belgium,Brussels,,,2020-04-20,4109.0,0.0
Belgium,Brussels,,,2020-04-21,4169.0,0.0
Belgium,Brussels,,,2020-04-22,4229.0,0.0
Belgium,Brussels,,,2020-04-23,4345.0,0.0
Belgium,Brussels,,,2020-04-24,4451.0,0.0
Belgium,Brussels,,,2020-04-25,4579.0,0.0
Belgium,Brussels,,,2020-04-26,4638.0,0.0
Belgium,Brussels,,,2020-04-27,4715.0,0.0
Belgium,Brussels,,,2020-04-28,4832.0,0.0
Belgium,Brussels,,,2020-04-29,4907.0,0.0
Belgium,Brussels,,,2020-04-30,4979.0,0.0
Belgium,Brussels,,,2020-05-01,5015.0,0.0
Belgium,Brussels,,,2020-05-02,5059.0,0.0
Belgium,Brussels,,,2020-05-03,5132.0,0.0
Belgium,Brussels,,,2020-05-04,5164.0,0.0
Belgium,Brussels,,,2020-05-05,5176.0,0.0
Belgium,Brussels,,,2020-05-06,5186.0,0.0
Belgium,Brussels,,,2020-05-07,5287.0,0.0
Belgium,Brussels,,,2020-05-08,5344.0,0.0
Belgium,Brussels,,,2020-05-09,5389.0,0.0
Belgium,Brussels,,,2020-05-10,5424.0,0.0
Belgium,Brussels,,,2020-05-11,5460.0,0.0
Belgium,Brussels,,,2020-05-12,5485.0,0.0
Belgium,Brussels,,,2020-05-13,5504.0,0.0
Belgium,Brussels,,,2020-05-14,5535.0,0.0
Belgium,Brussels,,,2020-05-15,5563.0,0.0
Belgium,Brussels,,,2020-05-16,5599.0,0.0
Belgium,Brussels,,,2020-05-17,5635.0,0.0
Belgium,Brussels,,,2020-05-18,5657.0,0.0
Belgium,Brussels,,,2020-05-19,5673.0,0.0
Belgium,Brussels,,,2020-05-20,5691.0,0.0
Belgium,Flanders,,,2020-03-01,,0.0
Belgium,Flanders,,,2020-03-02,,0.0
Belgium,Flanders,,,2020-03-03,,0.0
Belgium,Flanders,,,2020-03-04,,0.0
Belgium,Flanders,,,2020-03-05,,0.0
Belgium,Flanders,,,2020-03-06,,0.0
Belgium,Flanders,,,2020-03-07,,0.0
Belgium,Flanders,,,2020-03-08,,0.0
Belgium,Flanders,,,2020-03-09,,0.0
Belgium,Flanders,,,2020-03-10,,0.0
Belgium,Flanders,,,2020-03-11,,0.0
