adm0,adm1,adm2,adm3,date,confirmedCount,deadCount
Brazil,,,,2020-02-26,1.0,0.0
Brazil,,,,2020-02-27,1.0,0.0
Brazil,,,,2020-02-28,1.0,0.0
Brazil,,,,2020-02-29,2.0,0.0
Brazil,,,,2020-03-01,2.0,0.0
Brazil,,,,2020-03-02,2.0,0.0
Brazil,,,,2020-03-03,2.0,0.0
Brazil,,,,2020-03-04,3.0,0.0
Brazil,,,,2020-03-05,7.0,0.0
Brazil,,,,2020-03-06,13.0,0.0
Brazil,,,,2020-03-07,19.0,0.0
Brazil,,,,2020-03-08,25.0,0.0
Brazil,,,,2020-03-09,30.0,0.0
Brazil,,,,2020-03-10,34.0,0.0
Brazil,,,,2020-03-11,52.0,0.0
Brazil,,,,2020-03-12,77.0,0.0
Brazil,,,,2020-03-13,98.0,0.0
Brazil,,,,2020-03-14,121.0,0.0
Brazil,,,,2020-03-15,200.0,0.0
Brazil,,,,2020-03-16,234.0,0.0
Brazil,,,,2020-03-17,291.0,1.0
Brazil,,,,2020-03-18,428.0,4.0
Brazil,,,,2020-03-19,621.0,6.0
Brazil,,,,2020-03-20,904.0,11.0
Brazil,,,,2020-03-21,1128.0,18.0
Brazil,,,,2020-03-22,1546.0,25.0
Brazil,,,,2020-03-23,1891.0,34.0
Brazil,,,,2020-03-24,2201.0,46.0
Brazil,,,,2020-03-25,2433.0,57.0
Brazil,,,,2020-03-26,2915.0,77.0
Brazil,,,,2020-03-27,3417.0,92.0
Brazil,,,,2020-03-28,3904.0,114.0
Brazil,,,,2020-03-29,4256.0,136.0
Brazil,,,,2020-03-30,4579.0,159.0
Brazil,,,,2020-03-31,5717.0,201.0
Brazil,,,,2020-04-01,6836.0,240.0
Brazil,,,,2020-04-02,7910.0,299.0
Brazil,,,,2020-04-03,9056.0,359.0
Brazil,,,,2020-04-04,10278.0,432.0
Brazil,,,,2020-04-05,11130.0,486.0
Brazil,,,,2020-04-06,12056.0,553.0
Brazil,,,,2020-04-07,13717.0,667.0
Brazil,,,,2020-04-08,15927.0,800.0
Brazil,,,,2020-04-09,17857.0,941.0
Brazil,,,,2020-04-10,19638.0,1056.0
Brazil,,,,2020-04-11,20727.0,1124.0
Brazil,,,,2020-04-12,22169.0,1223.0
Brazil,,,,2020-04-13,23430.0,1328.0
Brazil,,,,2020-04-14,25262.0,1532.0
Brazil,,,,2020-04-15,28320.0,1736.0
Brazil,,,,2020-04-16,30425.0,1924.0
Brazil,,,,2020-04-17,33682.0,2141.0
Brazil,,,,2020-04-18,36599.0,2347.0
Brazil,,,,2020-04-19,38654.0,2462.0
Brazil,,,,2020-04-20,40581.0,2575.0
Brazil,,,,2020-04-21,43079.0,2741.0
Brazil,,,,2020-04-22,45757.0,2906.0
Brazil,,,,2020-04-23,49492.0,3313.0
Brazil,,,,2020-04-24,52995.0,3670.0
Brazil,,,,2020-04-25,58509.0,4016.0
Brazil,,,,2020-04-26,61888.0,4205.0
