adm0,adm1,adm2,adm3,date,confirmedCount,deadCount
Chile,Antofagasta,,,2020-03-02,0.0,0.0
Chile,Antofagasta,,,2020-03-03,0.0,0.0
Chile,Antofagasta,,,2020-03-04,0.0,0.0
Chile,Antofagasta,,,2020-03-05,0.0,0.0
Chile,Antofagasta,,,2020-03-06,0.0,0.0
Chile,Antofagasta,,,2020-03-07,0.0,0.0
Chile,Antofagasta,,,2020-03-08,0.0,0.0
Chile,Antofagasta,,,2020-03-09,0.0,0.0
Chile,Antofagasta,,,2020-03-10,0.0,0.0
Chile,Antofagasta,,,2020-03-11,0.0,0.0
Chile,Antofagasta,,,2020-03-12,0.0,0.0
Chile,Antofagasta,,,2020-03-13,0.0,0.0
Chile,Antofagasta,,,2020-03-14,2.0,0.0
Chile,Antofagasta,,,2020-03-15,2.0,0.0
Chile,Antofagasta,,,2020-03-16,2.0,0.0
Chile,Antofagasta,,,2020-03-17,2.0,0.0
Chile,Antofagasta,,,2020-03-18,2.0,0.0
Chile,Antofagasta,,,2020-03-19,2.0,0.0
Chile,Antofagasta,,,2020-03-20,6.0,0.0
Chile,Antofagasta,,,2020-03-21,10.0,0.0
Chile,Antofagasta,,,2020-03-22,11.0,0.0
Chile,Antofagasta,,,2020-03-23,11.0,0.0
Chile,Antofagasta,,,2020-03-24,13.0,0.0
Chile,Antofagasta,,,2020-03-25,19.0,0.0
Chile,Antofagasta,,,2020-03-26,20.0,0.0
Chile,Antofagasta,,,2020-03-27,21.0,0.0
Chile,Antofagasta,,,2020-03-28,25.0,0.0
Chile,Antofagasta,,,2020-03-29,27.0,0.0
Chile,Antofagasta,,,2020-03-30,35.0,0.0
Chile,Antofagasta,,,2020-03-31,35.0,0.0
Chile,Antofagasta,,,2020-04-01,39.0,0.0
Chile,Antofagasta,,,2020-04-02,47.0,0.0
Chile,Antofagasta,,,2020-04-03,54.0,0.0
Chile,Antofagasta,,,2020-04-04,55.0,0.0
Chile,Antofagasta,,,2020-04-05,60.0,0.0
Chile,Antofagasta,,,2020-04-06,68.0,0.0
Chile,Antofagasta,,,2020-04-07,69.0,1.0
Chile,Antofagasta,,,2020-04-08,77.0,1.0
Chile,Antofagasta,,,2020-04-09,92.0,1.0
Chile,Antofagasta,,,2020-04-10,110.0,1.0
Chile,Antofagasta,,,2020-04-11,117.0,1.0
Chile,Antofagasta,,,2020-04-12,138.0,1.0
Chile,Antofagasta,,,2020-04-13,149.0,1.0
Chile,Antofagasta,,,2020-04-14,155.0,1.0
Chile,Antofagasta,,,2020-04-15,176.0,1.0
Chile,Antofagasta,,,2020-04-16,192.0,1.0
Chile,Antofagasta,,,2020-04-17,211.0,1.0
Chile,Antofagasta,,,2020-04-18,226.0,1.0
Chile,Antofagasta,,,2020-04-19,249.0,1.0
Chile,Antofagasta,,,2020-04-20,263.0,1.0
Chile,Antofagasta,,,2020-04-21,291.0,1.0
Chile,Antofagasta,,,2020-04-22,326.0,2.0
Chile,Antofagasta,,,2020-04-23,340.0,2.0
Chile,Antofagasta,,,2020-04-24,366.0,2.0
Chile,Antofagasta,,,2020-04-25,391.0,3.0
Chile,Antofagasta,,,2020-04-26,443.0,4.0
Chile,Antofagasta,,,2020-04-27,457.0,4.0
Chile,Antofagasta,,,2020-04-28,481.0,4.0
Chile,Antofagasta,,,2020-04-29,514.0,4.0
Chile,Antofagasta,,,2020-04-30,546.0,5.0
Chile,Antofagasta,,,2020-05-01,589.0,7.0
Chile,Antofagasta,,,2020-05-02,679.0,7.0
Chile,Antofagasta,,,2020-05-03,740.0,7.0
Chile,Antofagasta,,,2020-05-04,760.0,7.0
Chile,Antofagasta,,,2020-05-05,811.0,7.0
Chile,Antofagasta,,,2020-05-06,855.0,7.0
Chile,Antofagasta,,,2020-05-07,895.0,7.0
Chile,Antofagasta,,,2020-05-08,923.0,9.0
Chile,Antofagasta,,,2020-05-09,947.0,10.0
Chile,Antofagasta,,,2020-05-10,978.0,10.0
Chile,Antofagasta,,,2020-05-11,1014.0,10.0
Chile,Antofagasta,,,2020-05-12,1109.0,10.0
Chile,Antofagasta,,,2020-05-13,1216.0,11.0
Chile,Antofagasta,,,2020-05-14,1277.0,11.0
Chile,Antofagasta,,,2020-05-15,1331.0,12.0
Chile,Antofagasta,,,2020-05-16,1429.0,12.0
Chile,Antofagasta,,,2020-05-17,1505.0,13.0
Chile,Antofagasta,,,2020-05-18,1589.0,14.0
Chile,Antofagasta,,,2020-05-19,1648.0,16.0
Chile,Antofagasta,,,2020-05-20,1731.0,17.0
Chile,Antofagasta,,,2020-05-21,1778.0,17.0
Chile,Antofagasta,,,2020-05-22,1841.0,17.0
Chile,Antofagasta,,,2020-05-23,1897.0,21.0
Chile,Antofagasta,,,2020-05-24,1947.0,21.0
Chile,Antofagasta,,,2020-05-25,2015.0,21.0
Chile,Antofagasta,,,2020-05-26,2063.0,23.0
Chile,Antofagasta,,,2020-05-27,2137.0,25.0
Chile,Antofagasta,,,2020-05-28,2248.0,28.0
Chile,Antofagasta,,,2020-05-29,2318.0,28.0
Chile,Antofagasta,,,2020-05-30,2429.0,29.0
Chile,Antofagasta,,,2020-05-31,2510.0,31.0
Chile,Antofagasta,,,2020-06-01,2585.0,32.0
