adm0,adm1,adm2,adm3,date,confirmedCount,curedCount,deadCount
China,,,,2020-01-24,871.0,35.0,26.0
China,,,,2020-01-25,1334.0,38.0,41.0
China,,,,2020-01-26,2036.0,48.0,55.0
China,,,,2020-01-27,2857.0,59.0,82.0
China,,,,2020-01-28,4630.0,73.0,106.0
China,,,,2020-01-29,6095.0,119.0,133.0
China,,,,2020-01-30,8148.0,135.0,171.0
China,,,,2020-01-31,9811.0,214.0,213.0
China,,,,2020-02-01,11900.0,275.0,259.0
China,,,,2020-02-02,14490.0,434.0,304.0
China,,,,2020-02-03,17341.0,527.0,361.0
China,,,,2020-02-04,20530.0,718.0,426.0
China,,,,2020-02-05,24434.0,1018.0,493.0
China,,,,2020-02-06,28138.0,1373.0,564.0
China,,,,2020-02-07,31264.0,1753.0,637.0
China,,,,2020-02-08,34673.0,2375.0,724.0
China,,,,2020-02-09,37289.0,2901.0,813.0
China,,,,2020-02-10,40262.0,3551.0,909.0
China,,,,2020-02-11,42747.0,4301.0,1017.0
China,,,,2020-02-12,44765.0,5066.0,1116.0
China,,,,2020-02-13,59907.0,6215.0,1368.0
China,,,,2020-02-14,63950.0,7092.0,1382.0
China,,,,2020-02-15,66581.0,8494.0,1524.0
China,,,,2020-02-16,68595.0,9763.0,1667.0
China,,,,2020-02-17,70644.0,11282.0,1772.0
China,,,,2020-02-18,72533.0,13003.0,1872.0
China,,,,2020-02-19,74284.0,14940.0,2009.0
China,,,,2020-02-20,74680.0,16721.0,2122.0
China,,,,2020-02-21,75571.0,18687.0,2239.0
China,,,,2020-02-22,76396.0,21075.0,2348.0
China,,,,2020-02-23,77048.0,23183.0,2445.0
China,,,,2020-02-24,77269.0,25007.0,2596.0
China,,,,2020-02-25,77785.0,27655.0,2666.0
China,,,,2020-02-26,78195.0,30078.0,2718.0
China,,,,2020-02-27,78631.0,32916.0,2747.0
China,,,,2020-02-28,78962.0,36312.0,2791.0
China,,,,2020-02-29,79394.0,39308.0,2838.0
China,,,,2020-03-01,79972.0,42162.0,2873.0
China,,,,2020-03-02,80175.0,44843.0,2915.0
China,,,,2020-03-03,80303.0,47434.0,2948.0
China,,,,2020-03-04,80424.0,49998.0,2984.0
China,,,,2020-03-05,80581.0,52305.0,3016.0
China,,,,2020-03-06,80734.0,53955.0,3045.0
China,,,,2020-03-07,80815.0,55546.0,3073.0
China,,,,2020-03-08,80868.0,57400.0,3101.0
China,,,,2020-03-09,80905.0,58812.0,3124.0
China,,,,2020-03-10,80932.0,60186.0,3140.0
China,,,,2020-03-11,80969.0,61656.0,3162.0
China,,,,2020-03-12,80981.0,62912.0,3173.0
China,,,,2020-03-13,80995.0,64215.0,3181.0
China,,,,2020-03-14,81029.0,65676.0,3194.0
China,,,,2020-03-15,81062.0,67038.0,3204.0
China,,,,2020-03-16,81099.0,67930.0,3218.0
China,,,,2020-03-17,81135.0,68820.0,3231.0
China,,,,2020-03-18,81202.0,69781.0,3242.0
China,,,,2020-03-19,81264.0,70561.0,3250.0
China,,,,2020-03-20,81385.0,71292.0,3255.0
China,,,,2020-03-21,81457.0,71885.0,3261.0
China,,,,2020-03-22,81566.0,72390.0,3267.0
China,,,,2020-03-23,81691.0,72847.0,3276.0
China,,,,2020-03-24,81806.0,73303.0,3283.0
China,,,,2020-03-25,81896.0,73796.0,3287.0
China,,,,2020-03-26,82034.0,74204.0,3293.0
China,,,,2020-03-27,82164.0,74743.0,3298.0
China,,,,2020-03-28,82282.0,75124.0,3301.0
China,,,,2020-03-29,82420.0,75606.0,3306.0
China,,,,2020-03-30,82504.0,75956.0,3313.0
China,,,,2020-03-31,82600.0,76239.0,3314.0
China,,,,2020-04-01,82690.0,76438.0,3321.0
China,,,,2020-04-02,82771.0,76610.0,3327.0
China,,,,2020-04-03,82857.0,76810.0,3331.0
China,,,,2020-04-04,82898.0,76996.0,3335.0
China,,,,2020-04-05,82965.0,77257.0,3338.0
China,,,,2020-04-06,83038.0,77367.0,3340.0
China,,,,2020-04-07,83094.0,77467.0,3340.0
China,,,,2020-04-08,83188.0,77628.0,3342.0
China,,,,2020-04-09,83263.0,77746.0,3344.0
China,,,,2020-04-10,83323.0,77882.0,3346.0
China,,,,2020-04-11,83399.0,77976.0,3349.0
China,,,,2020-04-12,83522.0,78065.0,3349.0
China,,,,2020-04-13,83606.0,78148.0,3351.0
China,,,,2020-04-14,83699.0,78324.0,3351.0
China,,,,2020-04-15,83751.0,78435.0,3352.0
