adm0,adm1,adm2,adm3,date,confirmedCount
Czechia,Central Bohemian,,,2020-03-20,108.0
Czechia,Central Bohemian,,,2020-03-21,118.0
Czechia,Central Bohemian,,,2020-03-22,122.0
Czechia,Central Bohemian,,,2020-03-23,159.0
Czechia,Central Bohemian,,,2020-03-24,184.0
Czechia,Central Bohemian,,,2020-03-25,201.0
Czechia,Central Bohemian,,,2020-03-26,224.0
Czechia,Central Bohemian,,,2020-03-27,255.0
Czechia,Central Bohemian,,,2020-03-28,354.0
Czechia,Central Bohemian,,,2020-03-29,363.0
Czechia,Central Bohemian,,,2020-03-30,385.0
Czechia,Central Bohemian,,,2020-03-31,425.0
Czechia,Central Bohemian,,,2020-04-01,447.0
Czechia,Central Bohemian,,,2020-04-02,464.0
Czechia,Central Bohemian,,,2020-04-03,488.0
Czechia,Central Bohemian,,,2020-04-04,519.0
Czechia,Central Bohemian,,,2020-04-05,551.0
Czechia,Central Bohemian,,,2020-04-06,588.0
Czechia,Central Bohemian,,,2020-04-07,606.0
Czechia,Central Bohemian,,,2020-04-08,635.0
Czechia,Central Bohemian,,,2020-04-09,663.0
Czechia,Central Bohemian,,,2020-04-10,693.0
Czechia,Central Bohemian,,,2020-04-11,708.0
Czechia,Central Bohemian,,,2020-04-12,720.0
Czechia,Central Bohemian,,,2020-04-13,724.0
Czechia,Central Bohemian,,,2020-04-14,740.0
Czechia,Central Bohemian,,,2020-04-15,760.0
Czechia,Central Bohemian,,,2020-04-16,782.0
Czechia,Central Bohemian,,,2020-04-17,798.0
Czechia,Central Bohemian,,,2020-04-18,806.0
Czechia,Central Bohemian,,,2020-04-19,815.0
Czechia,Central Bohemian,,,2020-04-20,818.0
Czechia,Central Bohemian,,,2020-04-21,831.0
Czechia,Central Bohemian,,,2020-04-22,846.0
Czechia,Central Bohemian,,,2020-04-23,847.0
Czechia,Central Bohemian,,,2020-04-24,854.0
Czechia,Central Bohemian,,,2020-04-25,866.0
Czechia,Central Bohemian,,,2020-04-26,870.0
Czechia,Central Bohemian,,,2020-04-27,876.0
Czechia,Central Bohemian,,,2020-04-28,886.0
Czechia,Central Bohemian,,,2020-04-29,894.0
Czechia,Central Bohemian,,,2020-04-30,902.0
Czechia,Central Bohemian,,,2020-05-01,905.0
Czechia,Central Bohemian,,,2020-05-02,910.0
Czechia,Central Bohemian,,,2020-05-03,910.0
Czechia,Central Bohemian,,,2020-05-04,914.0
Czechia,Central Bohemian,,,2020-05-05,924.0
Czechia,Central Bohemian,,,2020-05-06,931.0
Czechia,Central Bohemian,,,2020-05-07,934.0
Czechia,Central Bohemian,,,2020-05-08,937.0
Czechia,Central Bohemian,,,2020-05-09,940.0
Czechia,Central Bohemian,,,2020-05-10,944.0
Czechia,Central Bohemian,,,2020-05-11,954.0
Czechia,Central Bohemian,,,2020-05-12,957.0
Czechia,Central Bohemian,,,2020-05-13,970.0
Czechia,Central Bohemian,,,2020-05-14,997.0
Czechia,Central Bohemian,,,2020-05-15,1006.0
Czechia,Central Bohemian,,,2020-05-16,1015.0
Czechia,Central Bohemian,,,2020-05-17,1015.0
Czechia,Central Bohemian,,,2020-05-18,1018.0
Czechia,Central Bohemian,,,2020-05-19,1028.0
Czechia,Central Bohemian,,,2020-05-20,1036.0
Czechia,Central Bohemian,,,2020-05-21,1040.0
Czechia,Central Bohemian,,,2020-05-22,1044.0
Czechia,Central Bohemian,,,2020-05-23,1047.0
Czechia,Central Bohemian,,,2020-05-24,1049.0
Czechia,Central Bohemian,,,2020-05-25,1053.0
Czechia,Central Bohemian,,,2020-05-26,1054.0
Czechia,Central Bohemian,,,2020-05-27,1054.0
Czechia,Central Bohemian,,,2020-05-28,1059.0
Czechia,Central Bohemian,,,2020-05-29,1062.0
Czechia,Central Bohemian,,,2020-05-30,1070.0
Czechia,Central Bohemian,,,2020-05-31,1069.0
Czechia,Central Bohemian,,,2020-06-01,1069.0
Czechia,Central Bohemian,,,2020-06-02,1070.0
Czechia,Central Bohemian,,,2020-06-03,1070.0
Czechia,Central Bohemian,,,2020-06-04,1072.0
Czechia,Central Bohemian,,,2020-06-05,1078.0
Czechia,Central Bohemian,,,2020-06-06,1080.0
Czechia,Central Bohemian,,,2020-06-07,1080.0
Czechia,Hradec Králové,,,2020-03-20,14.0
Czechia,Hradec Králové,,,2020-03-21,15.0
Czechia,Hradec Králové,,,2020-03-22,17.0
Czechia,Hradec Králové,,,2020-03-23,18.0
Czechia,Hradec Králové,,,2020-03-24,22.0
Czechia,Hradec Králové,,,2020-03-25,31.0
Czechia,Hradec Králové,,,2020-03-26,41.0
Czechia,Hradec Králové,,,2020-03-27,51.0
Czechia,Hradec Králové,,,2020-03-28,79.0
Czechia,Hradec Králové,,,2020-03-29,86.0
Czechia,Hradec Králové,,,2020-03-30,89.0
Czechia,Hradec Králové,,,2020-03-31,97.0
Czechia,Hradec Králové,,,2020-04-01,105.0
Czechia,Hradec Králové,,,2020-04-02,111.0
Czechia,Hradec Králové,,,2020-04-03,122.0
Czechia,Hradec Králové,,,2020-04-04,134.0
Czechia,Hradec Králové,,,2020-04-05,138.0
Czechia,Hradec Králové,,,2020-04-06,138.0
Czechia,Hradec Králové,,,2020-04-07,147.0
Czechia,Hradec Králové,,,2020-04-08,152.0
Czechia,Hradec Králové,,,2020-04-09,156.0
Czechia,Hradec Králové,,,2020-04-10,165.0
Czechia,Hradec Králové,,,2020-04-11,168.0
Czechia,Hradec Králové,,,2020-04-12,169.0
Czechia,Hradec Králové,,,2020-04-13,170.0
Czechia,Hradec Králové,,,2020-04-14,170.0
Czechia,Hradec Králové,,,2020-04-15,171.0
Czechia,Hradec Králové,,,2020-04-16,172.0
Czechia,Hradec Králové,,,2020-04-17,176.0
Czechia,Hradec Králové,,,2020-04-18,176.0
Czechia,Hradec Králové,,,2020-04-19,176.0
Czechia,Hradec Králové,,,2020-04-20,178.0
Czechia,Hradec Králové,,,2020-04-21,179.0
Czechia,Hradec Králové,,,2020-04-22,179.0
Czechia,Hradec Králové,,,2020-04-23,176.0
Czechia,Hradec Králové,,,2020-04-24,176.0
Czechia,Hradec Králové,,,2020-04-25,178.0
Czechia,Hradec Králové,,,2020-04-26,178.0
Czechia,Hradec Králové,,,2020-04-27,179.0
Czechia,Hradec Králové,,,2020-04-28,178.0
Czechia,Hradec Králové,,,2020-04-29,178.0
Czechia,Hradec Králové,,,2020-04-30,178.0
Czechia,Hradec Králové,,,2020-05-01,178.0
Czechia,Hradec Králové,,,2020-05-02,178.0
Czechia,Hradec Králové,,,2020-05-03,179.0
Czechia,Hradec Králové,,,2020-05-04,181.0
Czechia,Hradec Králové,,,2020-05-05,182.0
Czechia,Hradec Králové,,,2020-05-06,184.0
Czechia,Hradec Králové,,,2020-05-07,185.0
Czechia,Hradec Králové,,,2020-05-08,187.0
Czechia,Hradec Králové,,,2020-05-09,189.0
Czechia,Hradec Králové,,,2020-05-10,189.0
