adm0,adm1,adm2,adm3,date,confirmedCount,curedCount,deadCount
France,Metropolitan France,,,2020-01-24,3.0,0.0,0.0
France,Metropolitan France,,,2020-01-25,3.0,0.0,0.0
France,Metropolitan France,,,2020-01-26,3.0,0.0,0.0
France,Metropolitan France,,,2020-01-27,3.0,0.0,0.0
France,Metropolitan France,,,2020-01-28,4.0,0.0,0.0
France,Metropolitan France,,,2020-01-29,5.0,0.0,0.0
France,Metropolitan France,,,2020-01-30,6.0,0.0,0.0
France,Metropolitan France,,,2020-01-31,6.0,0.0,0.0
France,Metropolitan France,,,2020-02-01,6.0,0.0,0.0
France,Metropolitan France,,,2020-02-02,6.0,0.0,0.0
France,Metropolitan France,,,2020-02-03,6.0,0.0,0.0
France,Metropolitan France,,,2020-02-04,6.0,0.0,0.0
France,Metropolitan France,,,2020-02-05,6.0,0.0,0.0
France,Metropolitan France,,,2020-02-06,6.0,0.0,0.0
France,Metropolitan France,,,2020-02-07,6.0,0.0,0.0
France,Metropolitan France,,,2020-02-08,11.0,0.0,0.0
France,Metropolitan France,,,2020-02-09,11.0,0.0,0.0
France,Metropolitan France,,,2020-02-10,11.0,0.0,0.0
France,Metropolitan France,,,2020-02-11,11.0,0.0,0.0
France,Metropolitan France,,,2020-02-12,11.0,2.0,0.0
France,Metropolitan France,,,2020-02-13,11.0,3.0,0.0
France,Metropolitan France,,,2020-02-14,11.0,3.0,1.0
France,Metropolitan France,,,2020-02-15,12.0,4.0,1.0
France,Metropolitan France,,,2020-02-16,12.0,4.0,1.0
France,Metropolitan France,,,2020-02-17,12.0,4.0,1.0
France,Metropolitan France,,,2020-02-18,12.0,4.0,1.0
France,Metropolitan France,,,2020-02-19,12.0,7.0,1.0
France,Metropolitan France,,,2020-02-20,12.0,7.0,1.0
France,Metropolitan France,,,2020-02-21,12.0,11.0,1.0
France,Metropolitan France,,,2020-02-22,12.0,11.0,1.0
France,Metropolitan France,,,2020-02-23,12.0,11.0,1.0
France,Metropolitan France,,,2020-02-24,12.0,11.0,1.0
France,Metropolitan France,,,2020-02-25,14.0,12.0,1.0
France,Metropolitan France,,,2020-02-26,18.0,12.0,2.0
France,Metropolitan France,,,2020-02-27,38.0,12.0,2.0
France,Metropolitan France,,,2020-02-28,46.0,12.0,2.0
France,Metropolitan France,,,2020-02-29,100.0,12.0,2.0
France,Metropolitan France,,,2020-03-01,130.0,12.0,2.0
France,Metropolitan France,,,2020-03-02,191.0,12.0,3.0
France,Metropolitan France,,,2020-03-03,212.0,12.0,4.0
France,Metropolitan France,,,2020-03-04,285.0,12.0,4.0
France,Metropolitan France,,,2020-03-05,423.0,12.0,7.0
France,Metropolitan France,,,2020-03-06,613.0,12.0,9.0
France,Metropolitan France,,,2020-03-07,949.0,12.0,16.0
France,Metropolitan France,,,2020-03-08,1126.0,12.0,19.0
France,Metropolitan France,,,2020-03-09,1412.0,12.0,30.0
France,Metropolitan France,,,2020-03-10,1784.0,12.0,33.0
France,Metropolitan France,,,2020-03-11,2281.0,12.0,48.0
France,Metropolitan France,,,2020-03-12,2876.0,22.0,61.0
France,Metropolitan France,,,2020-03-13,3661.0,22.0,79.0
France,Metropolitan France,,,2020-03-14,4499.0,22.0,91.0
France,Metropolitan France,,,2020-03-15,5423.0,28.0,127.0
France,Metropolitan France,,,2020-03-16,6633.0,28.0,148.0
France,Metropolitan France,,,2020-03-17,7730.0,28.0,175.0
France,Metropolitan France,,,2020-03-18,9134.0,1100.0,244.0
France,Metropolitan France,,,2020-03-19,10995.0,1300.0,372.0
France,Metropolitan France,,,2020-03-20,12612.0,1587.0,450.0
France,Metropolitan France,,,2020-03-21,14459.0,1811.0,562.0
France,Metropolitan France,,,2020-03-22,16018.0,2200.0,674.0
France,Metropolitan France,,,2020-03-23,19856.0,2567.0,860.0
France,Metropolitan France,,,2020-03-24,22302.0,3281.0,1100.0
France,Metropolitan France,,,2020-03-25,25233.0,3900.0,1331.0
France,Metropolitan France,,,2020-03-26,29155.0,4948.0,1696.0
France,Metropolitan France,,,2020-03-27,32964.0,5700.0,1995.0
France,Metropolitan France,,,2020-03-28,37575.0,6624.0,2314.0
France,Metropolitan France,,,2020-03-29,40174.0,7132.0,2606.0
France,Metropolitan France,,,2020-03-30,44550.0,7923.0,3024.0
France,Metropolitan France,,,2020-03-31,52128.0,9444.0,3523.0
France,Metropolitan France,,,2020-04-01,56989.0,10934.0,4032.0
France,Metropolitan France,,,2020-04-02,59105.0,12427.0,4503.0
France,Metropolitan France,,,2020-04-03,64338.0,14008.0,6507.0
France,Metropolitan France,,,2020-04-04,68605.0,15438.0,6838.0
France,Metropolitan France,,,2020-04-05,70478.0,16182.0,8078.0
France,Metropolitan France,,,2020-04-06,74390.0,17249.0,8911.0
France,Metropolitan France,,,2020-04-07,78167.0,19337.0,10328.0
France,Metropolitan France,,,2020-04-08,82048.0,21254.0,10869.0
France,Metropolitan France,,,2020-04-09,86334.0,23206.0,12210.0
France,Metropolitan France,,,2020-04-10,90676.0,24932.0,13197.0
France,Metropolitan France,,,2020-04-11,93790.0,26391.0,13832.0
France,Metropolitan France,,,2020-04-12,95403.0,27186.0,14393.0
France,Metropolitan France,,,2020-04-13,98076.0,27718.0,14967.0
France,Metropolitan France,,,2020-04-14,103573.0,28805.0,15729.0
France,Metropolitan France,,,2020-04-15,106206.0,30995.0,17167.0
France,Metropolitan France,,,2020-04-16,108847.0,32812.0,17920.0
France,Metropolitan France,,,2020-04-17,109252.0,34420.0,18681.0
France,Metropolitan France,,,2020-04-18,111821.0,35983.0,19323.0
France,Metropolitan France,,,2020-04-19,112606.0,36578.0,19718.0
France,Metropolitan France,,,2020-04-20,114657.0,37409.0,20265.0
France,Metropolitan France,,,2020-04-21,117324.0,39181.0,20796.0
France,Metropolitan France,,,2020-04-22,119151.0,40651.0,21340.0
France,Metropolitan France,,,2020-04-23,120804.0,42082.0,21856.0
France,Metropolitan France,,,2020-04-24,122577.0,43493.0,22245.0
France,Metropolitan France,,,2020-04-25,124114.0,44587.0,22603.0
France,Metropolitan France,,,2020-04-26,124575.0,44903.0,22856.0
France,Metropolitan France,,,2020-04-27,125770.0,45513.0,23293.0
France,Metropolitan France,,,2020-04-28,126835.0,46886.0,23660.0
France,Metropolitan France,,,2020-04-29,128442.0,48228.0,24087.0
France,Metropolitan France,,,2020-04-30,129581.0,49476.0,24376.0
France,Metropolitan France,,,2020-05-01,130185.0,50212.0,24594.0
France,Metropolitan France,,,2020-05-02,130979.0,50562.0,24760.0
France,Metropolitan France,,,2020-05-03,131287.0,50784.0,24895.0
France,Metropolitan France,,,2020-05-04,131863.0,51371.0,25201.0
France,Metropolitan France,,,2020-05-05,132967.0,52736.0,25531.0
France,Metropolitan France,,,2020-05-06,137150.0,53972.0,25809.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-01-24,0.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-01-25,0.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-01-26,0.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-01-27,0.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-01-28,0.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-01-29,0.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-01-30,0.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-01-31,0.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-01,0.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-02,0.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-03,0.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-04,0.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-05,0.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-06,0.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-07,0.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-08,5.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-09,5.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-10,5.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-11,5.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-12,5.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-13,5.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-14,5.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-15,6.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-16,6.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-17,6.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-18,6.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-19,6.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-20,6.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-21,6.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-22,6.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-23,6.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-24,6.0,0.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-25,7.0,6.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-26,8.0,6.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-27,11.0,6.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-28,11.0,6.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-02-29,11.0,6.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-01,11.0,6.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-02,37.0,6.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-03,40.0,6.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-04,49.0,6.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-05,64.0,6.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-06,75.0,6.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-07,102.0,6.0,0.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-08,146.0,8.0,1.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-09,182.0,8.0,3.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-10,227.0,8.0,3.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-11,262.0,8.0,3.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-12,333.0,8.0,7.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-13,449.0,8.0,10.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-14,449.0,8.0,12.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-15,523.0,8.0,18.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-16,618.0,8.0,20.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-17,710.0,8.0,24.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-18,858.0,8.0,27.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-19,1014.0,8.0,39.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-20,1101.0,8.0,39.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-21,1266.0,8.0,57.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-22,1431.0,8.0,72.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-23,1730.0,8.0,85.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-24,1857.0,324.0,86.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-25,2093.0,404.0,104.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-26,2093.0,496.0,134.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-27,2093.0,606.0,165.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-28,2093.0,700.0,195.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-29,2093.0,755.0,227.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-30,2093.0,842.0,264.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-03-31,2093.0,982.0,295.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-04-01,2093.0,1193.0,349.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-04-02,2093.0,1374.0,404.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-04-03,2093.0,1537.0,448.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-04-04,2093.0,1694.0,478.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-04-05,2093.0,1756.0,508.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-04-06,2093.0,1866.0,555.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-04-07,2093.0,2125.0,600.0
France,Metropolitan France,Auvergne-Rhône-Alpes,,2020-04-08,2093.0,2330.0,654.0
