adm0,adm1,adm2,adm3,date,confirmedCount,deadCount
Germany,Baden-Württemberg,,,2020-02-29,14.0,0.0
Germany,Baden-Württemberg,,,2020-03-01,15.0,0.0
Germany,Baden-Württemberg,,,2020-03-02,20.0,0.0
Germany,Baden-Württemberg,,,2020-03-03,28.0,0.0
Germany,Baden-Württemberg,,,2020-03-04,50.0,0.0
Germany,Baden-Württemberg,,,2020-03-05,73.0,0.0
Germany,Baden-Württemberg,,,2020-03-06,96.0,0.0
Germany,Baden-Württemberg,,,2020-03-07,170.0,0.0
Germany,Baden-Württemberg,,,2020-03-08,182.0,0.0
Germany,Baden-Württemberg,,,2020-03-09,204.0,0.0
Germany,Baden-Württemberg,,,2020-03-10,237.0,0.0
Germany,Baden-Württemberg,,,2020-03-11,277.0,0.0
Germany,Baden-Württemberg,,,2020-03-12,454.0,1.0
Germany,Baden-Württemberg,,,2020-03-13,454.0,1.0
Germany,Baden-Württemberg,,,2020-03-14,569.0,2.0
Germany,Baden-Württemberg,,,2020-03-15,827.0,3.0
Germany,Baden-Württemberg,,,2020-03-16,1105.0,3.0
Germany,Baden-Württemberg,,,2020-03-17,1479.0,2.0
Germany,Baden-Württemberg,,,2020-03-18,1609.0,2.0
Germany,Baden-Württemberg,,,2020-03-19,2155.0,6.0
Germany,Baden-Württemberg,,,2020-03-20,2746.0,10.0
Germany,Baden-Württemberg,,,2020-03-21,3668.0,16.0
Germany,Baden-Württemberg,,,2020-03-22,3807.0,21.0
Germany,Baden-Württemberg,,,2020-03-23,3811.0,21.0
Germany,Baden-Württemberg,,,2020-03-24,5348.0,30.0
Germany,Baden-Württemberg,,,2020-03-25,6069.0,37.0
Germany,Baden-Württemberg,,,2020-03-26,7283.0,56.0
Germany,Baden-Württemberg,,,2020-03-27,8161.0,70.0
Germany,Baden-Württemberg,,,2020-03-28,9781.0,101.0
Germany,Baden-Württemberg,,,2020-03-29,9794.0,101.0
Germany,Baden-Württemberg,,,2020-03-30,10943.0,119.0
Germany,Baden-Württemberg,,,2020-03-31,12334.0,165.0
Germany,Baden-Württemberg,,,2020-04-01,13410.0,197.0
Germany,Baden-Württemberg,,,2020-04-02,14662.0,241.0
Germany,Baden-Württemberg,,,2020-04-03,16059.0,285.0
Germany,Baden-Württemberg,,,2020-04-04,17014.0,316.0
Germany,Baden-Württemberg,,,2020-04-05,18614.0,367.0
Germany,Baden-Württemberg,,,2020-04-06,19395.0,387.0
Germany,Baden-Württemberg,,,2020-04-07,20141.0,433.0
Germany,Baden-Württemberg,,,2020-04-08,20680.0,464.0
Germany,Baden-Württemberg,,,2020-04-09,21603.0,519.0
Germany,Baden-Württemberg,,,2020-04-10,22433.0,570.0
Germany,Baden-Württemberg,,,2020-04-11,23617.0,622.0
Germany,Baden-Württemberg,,,2020-04-12,24078.0,649.0
Germany,Baden-Württemberg,,,2020-04-13,24570.0,677.0
Germany,Baden-Württemberg,,,2020-04-14,25040.0,711.0
Germany,Baden-Württemberg,,,2020-04-15,25438.0,767.0
Germany,Baden-Württemberg,,,2020-04-16,25881.0,802.0
Germany,Baden-Württemberg,,,2020-04-17,26543.0,872.0
Germany,Baden-Württemberg,,,2020-04-18,27258.0,919.0
Germany,Baden-Württemberg,,,2020-04-19,27883.0,968.0
Germany,Baden-Württemberg,,,2020-04-20,28253.0,982.0
Germany,Baden-Württemberg,,,2020-04-21,28712.0,1031.0
Germany,Baden-Württemberg,,,2020-04-22,29443.0,1113.0
Germany,Baden-Württemberg,,,2020-04-23,29792.0,1153.0
Germany,Baden-Württemberg,,,2020-04-24,30169.0,1189.0
Germany,Baden-Württemberg,,,2020-04-25,30761.0,1237.0
Germany,Baden-Württemberg,,,2020-04-26,31043.0,1249.0
Germany,Baden-Württemberg,,,2020-04-27,31196.0,1269.0
Germany,Baden-Württemberg,,,2020-04-28,31336.0,1299.0
Germany,Baden-Württemberg,,,2020-04-29,31609.0,1353.0
Germany,Baden-Württemberg,,,2020-04-30,31919.0,1385.0
Germany,Baden-Württemberg,,,2020-05-01,32146.0,1402.0
Germany,Baden-Württemberg,,,2020-05-02,32291.0,1412.0
Germany,Baden-Württemberg,,,2020-05-03,32411.0,1421.0
Germany,Baden-Württemberg,,,2020-05-04,32482.0,1452.0
Germany,Baden-Württemberg,,,2020-05-05,32576.0,1481.0
Germany,Baden-Württemberg,,,2020-05-06,32762.0,1497.0
Germany,Baden-Württemberg,,,2020-05-07,32898.0,1515.0
Germany,Baden-Württemberg,,,2020-05-08,33105.0,1534.0
Germany,Baden-Württemberg,,,2020-05-09,33287.0,1542.0
Germany,Baden-Württemberg,,,2020-05-10,33190.0,1545.0
Germany,Baden-Württemberg,,,2020-05-11,33359.0,1568.0
Germany,Baden-Württemberg,,,2020-05-12,33518.0,1594.0
Germany,Baden-Württemberg,,,2020-05-13,33670.0,1608.0
Germany,Baden-Württemberg,,,2020-05-14,33851.0,1628.0
Germany,Baden-Württemberg,,,2020-05-15,33893.0,1644.0
Germany,Baden-Württemberg,,,2020-05-16,33950.0,1648.0
Germany,Baden-Württemberg,,,2020-05-17,34000.0,1652.0
Germany,Baden-Württemberg,,,2020-05-18,34034.0,1653.0
Germany,Baden-Württemberg,,,2020-05-19,34115.0,1672.0
Germany,Baden-Württemberg,,,2020-05-20,34175.0,1680.0
Germany,Baden-Württemberg,,,2020-05-21,34174.0,1680.0
Germany,Baden-Württemberg,,,2020-05-22,34345.0,1692.0
Germany,Baden-Württemberg,,,2020-05-23,34399.0,1697.0
Germany,Baden-Württemberg,,,2020-05-24,34431.0,1698.0
Germany,Baden-Württemberg,,,2020-05-25,34466.0,1707.0
Germany,Baden-Württemberg,,,2020-05-26,34500.0,1724.0
Germany,Baden-Württemberg,,,2020-05-27,34129.0,1724.0
Germany,Baden-Württemberg,,,2020-05-28,34479.0,1743.0
Germany,Baden-Württemberg,,,2020-05-29,34718.0,1748.0
Germany,Baden-Württemberg,,,2020-05-30,34718.0,1748.0
Germany,Baden-Württemberg,,,2020-05-31,34784.0,1752.0
Germany,Baden-Württemberg,,,2020-06-01,34796.0,1758.0
Germany,Baden-Württemberg,,,2020-06-02,34813.0,1760.0
Germany,Baden-Württemberg,,,2020-06-03,34830.0,1761.0
Germany,Baden-Württemberg,,,2020-06-04,34870.0,1778.0
Germany,Baden-Württemberg,,,2020-06-05,34898.0,1790.0
Germany,Baden-Württemberg,,,2020-06-06,34912.0,1791.0
Germany,Bayern,,,2020-02-29,15.0,0.0
Germany,Bayern,,,2020-03-01,23.0,0.0
Germany,Bayern,,,2020-03-02,26.0,0.0
Germany,Bayern,,,2020-03-03,37.0,0.0
Germany,Bayern,,,2020-03-04,48.0,0.0
Germany,Bayern,,,2020-03-05,70.0,0.0
Germany,Bayern,,,2020-03-06,117.0,0.0
Germany,Bayern,,,2020-03-07,134.0,0.0
Germany,Bayern,,,2020-03-08,172.0,0.0
Germany,Bayern,,,2020-03-09,256.0,0.0
Germany,Bayern,,,2020-03-10,314.0,0.0
Germany,Bayern,,,2020-03-11,366.0,0.0
Germany,Bayern,,,2020-03-12,500.0,1.0
Germany,Bayern,,,2020-03-13,558.0,1.0
Germany,Bayern,,,2020-03-14,681.0,1.0
Germany,Bayern,,,2020-03-15,886.0,4.0
Germany,Bayern,,,2020-03-16,1067.0,5.0
Germany,Bayern,,,2020-03-17,1109.0,4.0
Germany,Bayern,,,2020-03-18,1243.0,4.0
Germany,Bayern,,,2020-03-19,1692.0,8.0
Germany,Bayern,,,2020-03-20,2401.0,12.0
Germany,Bayern,,,2020-03-21,2960.0,19.0
Germany,Bayern,,,2020-03-22,3650.0,21.0
Germany,Bayern,,,2020-03-23,4892.0,26.0
Germany,Bayern,,,2020-03-24,5754.0,30.0
Germany,Bayern,,,2020-03-25,6558.0,37.0
Germany,Bayern,,,2020-03-26,7993.0,47.0
Germany,Bayern,,,2020-03-27,9481.0,55.0
Germany,Bayern,,,2020-03-28,11150.0,77.0
Germany,Bayern,,,2020-03-29,12881.0,107.0
Germany,Bayern,,,2020-03-30,13989.0,127.0
Germany,Bayern,,,2020-03-31,14810.0,162.0
Germany,Bayern,,,2020-04-01,16497.0,225.0
