adm0,adm1,adm2,adm3,date,confirmedCount
Hong Kong,Island East,,,2020-02-06,1.0
Hong Kong,Island East,,,2020-02-07,1.0
Hong Kong,Island East,,,2020-02-08,1.0
Hong Kong,Island East,,,2020-02-09,10.0
Hong Kong,Island East,,,2020-02-10,14.0
Hong Kong,Island East,,,2020-02-11,16.0
Hong Kong,Island East,,,2020-02-12,16.0
Hong Kong,Island East,,,2020-02-13,16.0
Hong Kong,Island East,,,2020-02-14,17.0
Hong Kong,Island East,,,2020-02-15,17.0
Hong Kong,Island East,,,2020-02-16,18.0
Hong Kong,Island East,,,2020-02-17,19.0
Hong Kong,Island East,,,2020-02-18,20.0
Hong Kong,Island East,,,2020-02-19,20.0
Hong Kong,Island East,,,2020-02-20,20.0
Hong Kong,Island East,,,2020-02-21,20.0
Hong Kong,Island East,,,2020-02-22,21.0
Hong Kong,Island East,,,2020-02-23,23.0
Hong Kong,Island East,,,2020-02-24,24.0
Hong Kong,Island East,,,2020-02-25,26.0
Hong Kong,Island East,,,2020-02-26,30.0
Hong Kong,Island East,,,2020-02-27,30.0
Hong Kong,Island East,,,2020-02-28,30.0
Hong Kong,Island East,,,2020-02-29,30.0
Hong Kong,Island East,,,2020-03-01,30.0
Hong Kong,Island East,,,2020-03-02,31.0
Hong Kong,Island East,,,2020-03-03,31.0
Hong Kong,Island East,,,2020-03-04,34.0
Hong Kong,Island East,,,2020-03-05,34.0
Hong Kong,Island East,,,2020-03-06,35.0
Hong Kong,Island East,,,2020-03-07,35.0
Hong Kong,Island East,,,2020-03-08,35.0
Hong Kong,Island East,,,2020-03-09,36.0
Hong Kong,Island East,,,2020-03-10,36.0
Hong Kong,Island East,,,2020-03-11,37.0
Hong Kong,Island East,,,2020-03-12,37.0
Hong Kong,Island East,,,2020-03-13,39.0
Hong Kong,Island East,,,2020-03-14,40.0
Hong Kong,Island East,,,2020-03-15,43.0
Hong Kong,Island East,,,2020-03-16,45.0
Hong Kong,Island East,,,2020-03-17,46.0
Hong Kong,Island East,,,2020-03-18,50.0
Hong Kong,Island East,,,2020-03-19,50.0
Hong Kong,Island East,,,2020-03-20,60.0
Hong Kong,Island East,,,2020-03-21,64.0
Hong Kong,Island East,,,2020-03-22,71.0
Hong Kong,Island East,,,2020-03-23,75.0
Hong Kong,Island East,,,2020-03-24,78.0
Hong Kong,Island East,,,2020-03-25,82.0
Hong Kong,Island East,,,2020-03-26,91.0
Hong Kong,Island East,,,2020-03-27,96.0
Hong Kong,Island East,,,2020-03-28,105.0
Hong Kong,Island East,,,2020-03-29,120.0
Hong Kong,Island East,,,2020-03-30,123.0
Hong Kong,Island East,,,2020-03-31,126.0
Hong Kong,Island East,,,2020-04-01,136.0
Hong Kong,Island East,,,2020-04-02,143.0
Hong Kong,Island East,,,2020-04-03,152.0
Hong Kong,Island East,,,2020-04-04,156.0
Hong Kong,Island East,,,2020-04-05,163.0
Hong Kong,Island East,,,2020-04-06,166.0
Hong Kong,Island East,,,2020-04-07,168.0
Hong Kong,Island West,,,2020-02-11,1.0
Hong Kong,Island West,,,2020-02-12,1.0
Hong Kong,Island West,,,2020-02-13,3.0
Hong Kong,Island West,,,2020-02-14,4.0
Hong Kong,Island West,,,2020-02-15,4.0
Hong Kong,Island West,,,2020-02-16,4.0
Hong Kong,Island West,,,2020-02-17,4.0
Hong Kong,Island West,,,2020-02-18,4.0
Hong Kong,Island West,,,2020-02-19,6.0
Hong Kong,Island West,,,2020-02-20,6.0
Hong Kong,Island West,,,2020-02-21,6.0
Hong Kong,Island West,,,2020-02-22,6.0
Hong Kong,Island West,,,2020-02-23,6.0
Hong Kong,Island West,,,2020-02-24,11.0
Hong Kong,Island West,,,2020-02-25,12.0
Hong Kong,Island West,,,2020-02-26,14.0
Hong Kong,Island West,,,2020-02-27,14.0
Hong Kong,Island West,,,2020-02-28,15.0
Hong Kong,Island West,,,2020-02-29,15.0
Hong Kong,Island West,,,2020-03-01,17.0
Hong Kong,Island West,,,2020-03-02,17.0
Hong Kong,Island West,,,2020-03-03,17.0
Hong Kong,Island West,,,2020-03-04,18.0
Hong Kong,Island West,,,2020-03-05,18.0
Hong Kong,Island West,,,2020-03-06,20.0
Hong Kong,Island West,,,2020-03-07,21.0
Hong Kong,Island West,,,2020-03-08,22.0
Hong Kong,Island West,,,2020-03-09,22.0
Hong Kong,Island West,,,2020-03-10,24.0
Hong Kong,Island West,,,2020-03-11,24.0
Hong Kong,Island West,,,2020-03-12,24.0
Hong Kong,Island West,,,2020-03-13,25.0
Hong Kong,Island West,,,2020-03-14,25.0
Hong Kong,Island West,,,2020-03-15,27.0
Hong Kong,Island West,,,2020-03-16,28.0
Hong Kong,Island West,,,2020-03-17,29.0
Hong Kong,Island West,,,2020-03-18,32.0
Hong Kong,Island West,,,2020-03-19,37.0
Hong Kong,Island West,,,2020-03-20,42.0
Hong Kong,Island West,,,2020-03-21,42.0
Hong Kong,Island West,,,2020-03-22,45.0
Hong Kong,Island West,,,2020-03-23,51.0
Hong Kong,Island West,,,2020-03-24,62.0
Hong Kong,Island West,,,2020-03-25,64.0
Hong Kong,Island West,,,2020-03-26,68.0
Hong Kong,Island West,,,2020-03-27,73.0
Hong Kong,Island West,,,2020-03-28,80.0
Hong Kong,Island West,,,2020-03-29,82.0
Hong Kong,Island West,,,2020-03-30,86.0
Hong Kong,Island West,,,2020-03-31,90.0
Hong Kong,Island West,,,2020-04-01,91.0
Hong Kong,Island West,,,2020-04-02,93.0
Hong Kong,Island West,,,2020-04-03,94.0
Hong Kong,Island West,,,2020-04-04,94.0
Hong Kong,Island West,,,2020-04-05,97.0
Hong Kong,Island West,,,2020-04-06,99.0
Hong Kong,Island West,,,2020-04-07,103.0
Hong Kong,Kowloon Central,,,2020-02-12,1.0
Hong Kong,Kowloon Central,,,2020-02-13,1.0
Hong Kong,Kowloon Central,,,2020-02-14,1.0
Hong Kong,Kowloon Central,,,2020-02-15,1.0
Hong Kong,Kowloon Central,,,2020-02-16,1.0
Hong Kong,Kowloon Central,,,2020-02-17,2.0
Hong Kong,Kowloon Central,,,2020-02-18,2.0
Hong Kong,Kowloon Central,,,2020-02-19,2.0
Hong Kong,Kowloon Central,,,2020-02-20,2.0
Hong Kong,Kowloon Central,,,2020-02-21,2.0
Hong Kong,Kowloon Central,,,2020-02-22,2.0
Hong Kong,Kowloon Central,,,2020-02-23,3.0
Hong Kong,Kowloon Central,,,2020-02-24,3.0
Hong Kong,Kowloon Central,,,2020-02-25,3.0
Hong Kong,Kowloon Central,,,2020-02-26,3.0
Hong Kong,Kowloon Central,,,2020-02-27,4.0
Hong Kong,Kowloon Central,,,2020-02-28,4.0
Hong Kong,Kowloon Central,,,2020-02-29,4.0
Hong Kong,Kowloon Central,,,2020-03-01,4.0
Hong Kong,Kowloon Central,,,2020-03-02,4.0
Hong Kong,Kowloon Central,,,2020-03-03,4.0
Hong Kong,Kowloon Central,,,2020-03-04,4.0
Hong Kong,Kowloon Central,,,2020-03-05,4.0
Hong Kong,Kowloon Central,,,2020-03-06,4.0
Hong Kong,Kowloon Central,,,2020-03-07,4.0
Hong Kong,Kowloon Central,,,2020-03-08,6.0
Hong Kong,Kowloon Central,,,2020-03-09,6.0
Hong Kong,Kowloon Central,,,2020-03-10,6.0
Hong Kong,Kowloon Central,,,2020-03-11,6.0
Hong Kong,Kowloon Central,,,2020-03-12,6.0
Hong Kong,Kowloon Central,,,2020-03-13,6.0
Hong Kong,Kowloon Central,,,2020-03-14,6.0
Hong Kong,Kowloon Central,,,2020-03-15,6.0
Hong Kong,Kowloon Central,,,2020-03-16,9.0
Hong Kong,Kowloon Central,,,2020-03-17,12.0
Hong Kong,Kowloon Central,,,2020-03-18,15.0
Hong Kong,Kowloon Central,,,2020-03-19,18.0
Hong Kong,Kowloon Central,,,2020-03-20,22.0
Hong Kong,Kowloon Central,,,2020-03-21,24.0
Hong Kong,Kowloon Central,,,2020-03-22,28.0
Hong Kong,Kowloon Central,,,2020-03-23,37.0
Hong Kong,Kowloon Central,,,2020-03-24,43.0
Hong Kong,Kowloon Central,,,2020-03-25,49.0
Hong Kong,Kowloon Central,,,2020-03-26,57.0
Hong Kong,Kowloon Central,,,2020-03-27,69.0
Hong Kong,Kowloon Central,,,2020-03-28,71.0
Hong Kong,Kowloon Central,,,2020-03-29,78.0
Hong Kong,Kowloon Central,,,2020-03-30,82.0
Hong Kong,Kowloon Central,,,2020-03-31,83.0
Hong Kong,Kowloon Central,,,2020-04-01,89.0
Hong Kong,Kowloon Central,,,2020-04-02,94.0
Hong Kong,Kowloon Central,,,2020-04-03,101.0
Hong Kong,Kowloon Central,,,2020-04-04,106.0
Hong Kong,Kowloon Central,,,2020-04-05,110.0
Hong Kong,Kowloon Central,,,2020-04-06,116.0
Hong Kong,Kowloon Central,,,2020-04-07,117.0
Hong Kong,Kowloon East,,,2020-02-09,1.0
Hong Kong,Kowloon East,,,2020-02-10,1.0
Hong Kong,Kowloon East,,,2020-02-11,2.0
Hong Kong,Kowloon East,,,2020-02-12,2.0
Hong Kong,Kowloon East,,,2020-02-13,2.0
Hong Kong,Kowloon East,,,2020-02-14,2.0
Hong Kong,Kowloon East,,,2020-02-15,2.0
Hong Kong,Kowloon East,,,2020-02-16,2.0
Hong Kong,Kowloon East,,,2020-02-17,2.0
Hong Kong,Kowloon East,,,2020-02-18,3.0
Hong Kong,Kowloon East,,,2020-02-19,3.0
Hong Kong,Kowloon East,,,2020-02-20,5.0
Hong Kong,Kowloon East,,,2020-02-21,5.0
Hong Kong,Kowloon East,,,2020-02-22,5.0
Hong Kong,Kowloon East,,,2020-02-23,6.0
Hong Kong,Kowloon East,,,2020-02-24,6.0
Hong Kong,Kowloon East,,,2020-02-25,7.0
Hong Kong,Kowloon East,,,2020-02-26,7.0
Hong Kong,Kowloon East,,,2020-02-27,8.0
Hong Kong,Kowloon East,,,2020-02-28,8.0
Hong Kong,Kowloon East,,,2020-02-29,9.0
Hong Kong,Kowloon East,,,2020-03-01,10.0
Hong Kong,Kowloon East,,,2020-03-02,10.0
Hong Kong,Kowloon East,,,2020-03-03,10.0
Hong Kong,Kowloon East,,,2020-03-04,10.0
Hong Kong,Kowloon East,,,2020-03-05,10.0
Hong Kong,Kowloon East,,,2020-03-06,10.0
Hong Kong,Kowloon East,,,2020-03-07,10.0
Hong Kong,Kowloon East,,,2020-03-08,10.0
Hong Kong,Kowloon East,,,2020-03-09,10.0
Hong Kong,Kowloon East,,,2020-03-10,10.0
Hong Kong,Kowloon East,,,2020-03-11,13.0
Hong Kong,Kowloon East,,,2020-03-12,13.0
Hong Kong,Kowloon East,,,2020-03-13,13.0
Hong Kong,Kowloon East,,,2020-03-14,14.0
Hong Kong,Kowloon East,,,2020-03-15,15.0
Hong Kong,Kowloon East,,,2020-03-16,15.0
Hong Kong,Kowloon East,,,2020-03-17,17.0
Hong Kong,Kowloon East,,,2020-03-18,22.0
Hong Kong,Kowloon East,,,2020-03-19,24.0
Hong Kong,Kowloon East,,,2020-03-20,30.0
Hong Kong,Kowloon East,,,2020-03-21,34.0
Hong Kong,Kowloon East,,,2020-03-22,41.0
Hong Kong,Kowloon East,,,2020-03-23,49.0
Hong Kong,Kowloon East,,,2020-03-24,50.0
Hong Kong,Kowloon East,,,2020-03-25,53.0
Hong Kong,Kowloon East,,,2020-03-26,57.0
Hong Kong,Kowloon East,,,2020-03-27,70.0
Hong Kong,Kowloon East,,,2020-03-28,83.0
Hong Kong,Kowloon East,,,2020-03-29,87.0
Hong Kong,Kowloon East,,,2020-03-30,96.0
Hong Kong,Kowloon East,,,2020-03-31,100.0
Hong Kong,Kowloon East,,,2020-04-01,107.0
Hong Kong,Kowloon East,,,2020-04-02,110.0
Hong Kong,Kowloon East,,,2020-04-03,117.0
Hong Kong,Kowloon East,,,2020-04-04,120.0
Hong Kong,Kowloon East,,,2020-04-05,125.0
Hong Kong,Kowloon East,,,2020-04-06,132.0
Hong Kong,Kowloon East,,,2020-04-07,133.0
Hong Kong,Kowloon West,,,2020-01-23,2.0
Hong Kong,Kowloon West,,,2020-01-24,5.0
