adm0,adm1,adm2,adm3,date,confirmedCount,curedCount,deadCount
India,Andaman and Nicobar Islands,,,2020-03-26,1.0,0.0,0.0
India,Andaman and Nicobar Islands,,,2020-03-27,1.0,0.0,0.0
India,Andaman and Nicobar Islands,,,2020-03-28,6.0,0.0,0.0
India,Andaman and Nicobar Islands,,,2020-03-29,9.0,0.0,0.0
India,Andaman and Nicobar Islands,,,2020-03-30,9.0,0.0,0.0
India,Andaman and Nicobar Islands,,,2020-03-31,10.0,0.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-01,10.0,1.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-02,10.0,0.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-03,10.0,0.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-04,10.0,0.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-05,10.0,0.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-06,10.0,0.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-07,10.0,0.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-08,10.0,0.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-09,11.0,0.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-10,11.0,0.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-11,11.0,0.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-12,11.0,10.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-13,11.0,10.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-14,11.0,10.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-15,11.0,10.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-16,11.0,10.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-17,11.0,10.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-18,12.0,11.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-19,14.0,11.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-20,15.0,11.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-21,16.0,11.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-22,17.0,11.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-23,18.0,11.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-24,22.0,11.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-25,27.0,11.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-26,33.0,11.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-27,33.0,11.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-28,33.0,11.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-29,33.0,15.0,0.0
India,Andaman and Nicobar Islands,,,2020-04-30,33.0,15.0,0.0
India,Andaman and Nicobar Islands,,,2020-05-01,33.0,16.0,0.0
India,Andaman and Nicobar Islands,,,2020-05-02,33.0,16.0,0.0
India,Andaman and Nicobar Islands,,,2020-05-03,33.0,17.0,0.0
India,Andaman and Nicobar Islands,,,2020-05-04,33.0,32.0,0.0
India,Andaman and Nicobar Islands,,,2020-05-05,33.0,32.0,0.0
India,Andaman and Nicobar Islands,,,2020-05-06,33.0,32.0,0.0
India,Andaman and Nicobar Islands,,,2020-05-07,33.0,32.0,0.0
India,Andaman and Nicobar Islands,,,2020-05-08,33.0,33.0,0.0
India,Andaman and Nicobar Islands,,,2020-05-09,33.0,33.0,0.0
India,Andaman and Nicobar Islands,,,2020-05-10,33.0,33.0,0.0
India,Andaman and Nicobar Islands,,,2020-05-11,33.0,33.0,0.0
India,Andaman and Nicobar Islands,,,2020-05-12,33.0,33.0,0.0
