adm0,adm1,adm2,adm3,date,confirmedCount
Indonesia,Aceh,,,2020-03-20,0.0
Indonesia,Aceh,,,2020-03-21,0.0
Indonesia,Aceh,,,2020-03-22,0.0
Indonesia,Aceh,,,2020-03-23,0.0
Indonesia,Aceh,,,2020-03-24,0.0
Indonesia,Aceh,,,2020-03-25,0.0
Indonesia,Aceh,,,2020-03-26,1.0
Indonesia,Aceh,,,2020-03-27,4.0
Indonesia,Aceh,,,2020-03-28,5.0
Indonesia,Aceh,,,2020-03-29,5.0
Indonesia,Aceh,,,2020-03-30,5.0
Indonesia,Aceh,,,2020-03-31,5.0
Indonesia,Aceh,,,2020-04-01,5.0
Indonesia,Aceh,,,2020-04-02,5.0
Indonesia,Aceh,,,2020-04-03,5.0
Indonesia,Aceh,,,2020-04-04,5.0
Indonesia,Aceh,,,2020-04-05,5.0
Indonesia,Aceh,,,2020-04-06,5.0
Indonesia,Aceh,,,2020-04-07,5.0
Indonesia,Aceh,,,2020-04-08,6.0
Indonesia,Aceh,,,2020-04-09,5.0
Indonesia,Aceh,,,2020-04-10,5.0
Indonesia,Aceh,,,2020-04-11,5.0
Indonesia,Aceh,,,2020-04-12,5.0
Indonesia,Aceh,,,2020-04-13,5.0
Indonesia,Aceh,,,2020-04-14,5.0
Indonesia,Aceh,,,2020-04-15,5.0
Indonesia,Aceh,,,2020-04-16,5.0
Indonesia,Aceh,,,2020-04-17,5.0
Indonesia,Aceh,,,2020-04-18,6.0
Indonesia,Aceh,,,2020-04-19,7.0
Indonesia,Aceh,,,2020-04-20,7.0
Indonesia,Aceh,,,2020-04-21,7.0
Indonesia,Aceh,,,2020-04-22,7.0
Indonesia,Aceh,,,2020-04-23,7.0
Indonesia,Aceh,,,2020-04-24,8.0
Indonesia,Aceh,,,2020-04-25,9.0
Indonesia,Aceh,,,2020-04-26,9.0
Indonesia,Aceh,,,2020-04-27,9.0
Indonesia,Aceh,,,2020-04-28,9.0
Indonesia,Aceh,,,2020-04-29,9.0
Indonesia,Aceh,,,2020-04-30,10.0
Indonesia,Aceh,,,2020-05-01,11.0
Indonesia,Aceh,,,2020-05-02,11.0
Indonesia,Aceh,,,2020-05-03,12.0
Indonesia,Aceh,,,2020-05-04,12.0
Indonesia,Aceh,,,2020-05-05,12.0
Indonesia,Aceh,,,2020-05-06,17.0
Indonesia,Aceh,,,2020-05-07,17.0
Indonesia,Aceh,,,2020-05-08,17.0
Indonesia,Aceh,,,2020-05-09,17.0
Indonesia,Aceh,,,2020-05-10,17.0
Indonesia,Aceh,,,2020-05-11,17.0
Indonesia,Aceh,,,2020-05-12,17.0
Indonesia,Aceh,,,2020-05-13,17.0
Indonesia,Aceh,,,2020-05-14,17.0
Indonesia,Aceh,,,2020-05-15,17.0
Indonesia,Aceh,,,2020-05-16,18.0
Indonesia,Aceh,,,2020-05-17,18.0
Indonesia,Aceh,,,2020-05-18,18.0
Indonesia,Aceh,,,2020-05-19,18.0
Indonesia,Aceh,,,2020-05-20,18.0
Indonesia,Aceh,,,2020-05-21,18.0
Indonesia,Aceh,,,2020-05-22,19.0
Indonesia,Aceh,,,2020-05-23,19.0
Indonesia,Aceh,,,2020-05-24,19.0
Indonesia,Aceh,,,2020-05-25,19.0
Indonesia,Aceh,,,2020-05-26,19.0
Indonesia,Aceh,,,2020-05-27,19.0
Indonesia,Aceh,,,2020-05-28,20.0
Indonesia,Aceh,,,2020-05-29,20.0
Indonesia,Aceh,,,2020-05-30,20.0
Indonesia,Aceh,,,2020-05-31,20.0
Indonesia,Aceh,,,2020-06-01,20.0
Indonesia,Aceh,,,2020-06-02,20.0
Indonesia,Aceh,,,2020-06-03,20.0
Indonesia,Aceh,,,2020-06-04,20.0
Indonesia,Aceh,,,2020-06-05,20.0
Indonesia,Aceh,,,2020-06-06,20.0
Indonesia,Aceh,,,2020-06-07,20.0
Indonesia,Bali,,,2020-03-20,3.0
Indonesia,Bali,,,2020-03-21,3.0
Indonesia,Bali,,,2020-03-22,3.0
Indonesia,Bali,,,2020-03-23,6.0
Indonesia,Bali,,,2020-03-24,6.0
Indonesia,Bali,,,2020-03-25,9.0
Indonesia,Bali,,,2020-03-26,9.0
Indonesia,Bali,,,2020-03-27,9.0
Indonesia,Bali,,,2020-03-28,9.0
Indonesia,Bali,,,2020-03-29,10.0
Indonesia,Bali,,,2020-03-30,19.0
Indonesia,Bali,,,2020-03-31,19.0
Indonesia,Bali,,,2020-04-01,25.0
Indonesia,Bali,,,2020-04-02,25.0
Indonesia,Bali,,,2020-04-03,27.0
Indonesia,Bali,,,2020-04-04,32.0
Indonesia,Bali,,,2020-04-05,36.0
Indonesia,Bali,,,2020-04-06,43.0
Indonesia,Bali,,,2020-04-07,43.0
Indonesia,Bali,,,2020-04-08,49.0
Indonesia,Bali,,,2020-04-09,63.0
Indonesia,Bali,,,2020-04-10,75.0
Indonesia,Bali,,,2020-04-11,79.0
Indonesia,Bali,,,2020-04-12,86.0
Indonesia,Bali,,,2020-04-13,86.0
Indonesia,Bali,,,2020-04-14,92.0
Indonesia,Bali,,,2020-04-15,98.0
Indonesia,Bali,,,2020-04-16,113.0
Indonesia,Bali,,,2020-04-17,124.0
Indonesia,Bali,,,2020-04-18,131.0
Indonesia,Bali,,,2020-04-19,135.0
Indonesia,Bali,,,2020-04-20,140.0
Indonesia,Bali,,,2020-04-21,150.0
Indonesia,Bali,,,2020-04-22,152.0
Indonesia,Bali,,,2020-04-23,167.0
Indonesia,Bali,,,2020-04-24,177.0
Indonesia,Bali,,,2020-04-25,183.0
Indonesia,Bali,,,2020-04-26,186.0
Indonesia,Bali,,,2020-04-27,194.0
Indonesia,Bali,,,2020-04-28,215.0
Indonesia,Bali,,,2020-04-29,215.0
Indonesia,Bali,,,2020-04-30,222.0
Indonesia,Bali,,,2020-05-01,235.0
Indonesia,Bali,,,2020-05-02,237.0
Indonesia,Bali,,,2020-05-03,262.0
Indonesia,Bali,,,2020-05-04,271.0
Indonesia,Bali,,,2020-05-05,277.0
Indonesia,Bali,,,2020-05-06,277.0
Indonesia,Bali,,,2020-05-07,287.0
Indonesia,Bali,,,2020-05-08,300.0
Indonesia,Bali,,,2020-05-09,306.0
Indonesia,Bali,,,2020-05-10,311.0
Indonesia,Bali,,,2020-05-11,314.0
Indonesia,Bali,,,2020-05-12,328.0
Indonesia,Bali,,,2020-05-13,332.0
Indonesia,Bali,,,2020-05-14,337.0
Indonesia,Bali,,,2020-05-15,343.0
Indonesia,Bali,,,2020-05-16,346.0
Indonesia,Bali,,,2020-05-17,348.0
Indonesia,Bali,,,2020-05-18,359.0
Indonesia,Bali,,,2020-05-19,363.0
Indonesia,Bali,,,2020-05-20,371.0
Indonesia,Bali,,,2020-05-21,374.0
Indonesia,Bali,,,2020-05-22,380.0
Indonesia,Bali,,,2020-05-23,388.0
Indonesia,Bali,,,2020-05-24,394.0
Indonesia,Bali,,,2020-05-25,396.0
Indonesia,Bali,,,2020-05-26,407.0
Indonesia,Bali,,,2020-05-27,415.0
Indonesia,Bali,,,2020-05-28,420.0
Indonesia,Bali,,,2020-05-29,443.0
Indonesia,Bali,,,2020-05-30,455.0
Indonesia,Bali,,,2020-05-31,465.0
Indonesia,Bali,,,2020-06-01,482.0
Indonesia,Bali,,,2020-06-02,487.0
Indonesia,Bali,,,2020-06-03,490.0
Indonesia,Bali,,,2020-06-04,510.0
Indonesia,Bali,,,2020-06-05,524.0
Indonesia,Bali,,,2020-06-06,557.0
Indonesia,Bali,,,2020-06-07,582.0
Indonesia,Banten,,,2020-03-20,39.0
Indonesia,Banten,,,2020-03-21,47.0
Indonesia,Banten,,,2020-03-22,47.0
Indonesia,Banten,,,2020-03-23,56.0
