adm0,adm1,adm2,adm3,date,confirmedCount
Iran,Alborz,,,2020-02-19,0.0
Iran,Alborz,,,2020-02-20,0.0
Iran,Alborz,,,2020-02-21,0.0
Iran,Alborz,,,2020-02-22,0.0
Iran,Alborz,,,2020-02-23,0.0
Iran,Alborz,,,2020-02-24,0.0
Iran,Alborz,,,2020-02-25,2.0
Iran,Alborz,,,2020-02-26,2.0
Iran,Alborz,,,2020-02-27,5.0
Iran,Alborz,,,2020-02-28,8.0
Iran,Alborz,,,2020-02-29,16.0
Iran,Alborz,,,2020-03-01,47.0
Iran,Alborz,,,2020-03-02,70.0
Iran,Alborz,,,2020-03-03,93.0
Iran,Alborz,,,2020-03-04,112.0
Iran,Alborz,,,2020-03-05,173.0
Iran,Alborz,,,2020-03-06,302.0
Iran,Alborz,,,2020-03-07,305.0
Iran,Alborz,,,2020-03-08,307.0
Iran,Alborz,,,2020-03-09,307.0
Iran,Alborz,,,2020-03-10,339.0
Iran,Alborz,,,2020-03-11,384.0
Iran,Alborz,,,2020-03-12,458.0
Iran,Alborz,,,2020-03-13,464.0
Iran,Alborz,,,2020-03-14,598.0
Iran,Alborz,,,2020-03-15,665.0
Iran,Alborz,,,2020-03-16,714.0
Iran,Alborz,,,2020-03-17,830.0
Iran,Alborz,,,2020-03-18,906.0
Iran,Alborz,,,2020-03-19,967.0
Iran,Alborz,,,2020-03-20,1062.0
Iran,Alborz,,,2020-03-21,1117.0
Iran,Alborz,,,2020-03-22,1177.0
Iran,Ardabil,,,2020-02-19,0.0
Iran,Ardabil,,,2020-02-20,0.0
Iran,Ardabil,,,2020-02-21,0.0
Iran,Ardabil,,,2020-02-22,0.0
Iran,Ardabil,,,2020-02-23,0.0
Iran,Ardabil,,,2020-02-24,0.0
Iran,Ardabil,,,2020-02-25,0.0
Iran,Ardabil,,,2020-02-26,0.0
Iran,Ardabil,,,2020-02-27,5.0
Iran,Ardabil,,,2020-02-28,6.0
Iran,Ardabil,,,2020-02-29,9.0
Iran,Ardabil,,,2020-03-01,9.0
Iran,Ardabil,,,2020-03-02,10.0
Iran,Ardabil,,,2020-03-03,12.0
Iran,Ardabil,,,2020-03-04,12.0
Iran,Ardabil,,,2020-03-05,29.0
Iran,Ardabil,,,2020-03-06,40.0
Iran,Ardabil,,,2020-03-07,41.0
Iran,Ardabil,,,2020-03-08,50.0
Iran,Ardabil,,,2020-03-09,72.0
Iran,Ardabil,,,2020-03-10,91.0
Iran,Ardabil,,,2020-03-11,92.0
Iran,Ardabil,,,2020-03-12,106.0
Iran,Ardabil,,,2020-03-13,121.0
Iran,Ardabil,,,2020-03-14,154.0
Iran,Ardabil,,,2020-03-15,154.0
Iran,Ardabil,,,2020-03-16,184.0
Iran,Ardabil,,,2020-03-17,203.0
Iran,Ardabil,,,2020-03-18,213.0
Iran,Ardabil,,,2020-03-19,229.0
Iran,Ardabil,,,2020-03-20,264.0
Iran,Ardabil,,,2020-03-21,270.0
Iran,Ardabil,,,2020-03-22,289.0
Iran,Bushehr,,,2020-02-19,0.0
Iran,Bushehr,,,2020-02-20,0.0
Iran,Bushehr,,,2020-02-21,0.0
Iran,Bushehr,,,2020-02-22,0.0
Iran,Bushehr,,,2020-02-23,0.0
Iran,Bushehr,,,2020-02-24,0.0
Iran,Bushehr,,,2020-02-25,0.0
Iran,Bushehr,,,2020-02-26,0.0
Iran,Bushehr,,,2020-02-27,0.0
Iran,Bushehr,,,2020-02-28,0.0
Iran,Bushehr,,,2020-02-29,0.0
Iran,Bushehr,,,2020-03-01,0.0
Iran,Bushehr,,,2020-03-02,0.0
Iran,Bushehr,,,2020-03-03,0.0
Iran,Bushehr,,,2020-03-04,0.0
Iran,Bushehr,,,2020-03-05,3.0
Iran,Bushehr,,,2020-03-06,5.0
Iran,Bushehr,,,2020-03-07,8.0
Iran,Bushehr,,,2020-03-08,10.0
Iran,Bushehr,,,2020-03-09,11.0
Iran,Bushehr,,,2020-03-10,18.0
Iran,Bushehr,,,2020-03-11,18.0
Iran,Bushehr,,,2020-03-12,21.0
Iran,Bushehr,,,2020-03-13,21.0
Iran,Bushehr,,,2020-03-14,28.0
Iran,Bushehr,,,2020-03-15,34.0
Iran,Bushehr,,,2020-03-16,38.0
Iran,Bushehr,,,2020-03-17,42.0
Iran,Bushehr,,,2020-03-18,46.0
Iran,Bushehr,,,2020-03-19,54.0
Iran,Bushehr,,,2020-03-20,55.0
Iran,Bushehr,,,2020-03-21,55.0
Iran,Bushehr,,,2020-03-22,55.0
Iran,Chaharmahal and Bakhtiari,,,2020-02-19,0.0
Iran,Chaharmahal and Bakhtiari,,,2020-02-20,0.0
Iran,Chaharmahal and Bakhtiari,,,2020-02-21,0.0
Iran,Chaharmahal and Bakhtiari,,,2020-02-22,0.0
Iran,Chaharmahal and Bakhtiari,,,2020-02-23,0.0
Iran,Chaharmahal and Bakhtiari,,,2020-02-24,0.0
Iran,Chaharmahal and Bakhtiari,,,2020-02-25,0.0
Iran,Chaharmahal and Bakhtiari,,,2020-02-26,0.0
Iran,Chaharmahal and Bakhtiari,,,2020-02-27,0.0
Iran,Chaharmahal and Bakhtiari,,,2020-02-28,0.0
Iran,Chaharmahal and Bakhtiari,,,2020-02-29,0.0
Iran,Chaharmahal and Bakhtiari,,,2020-03-01,0.0
Iran,Chaharmahal and Bakhtiari,,,2020-03-02,0.0
Iran,Chaharmahal and Bakhtiari,,,2020-03-03,0.0
Iran,Chaharmahal and Bakhtiari,,,2020-03-04,1.0
Iran,Chaharmahal and Bakhtiari,,,2020-03-05,9.0
Iran,Chaharmahal and Bakhtiari,,,2020-03-06,14.0
Iran,Chaharmahal and Bakhtiari,,,2020-03-07,16.0
Iran,Chaharmahal and Bakhtiari,,,2020-03-08,21.0
Iran,Chaharmahal and Bakhtiari,,,2020-03-09,26.0
Iran,Chaharmahal and Bakhtiari,,,2020-03-10,37.0
Iran,Chaharmahal and Bakhtiari,,,2020-03-11,38.0
Iran,Chaharmahal and Bakhtiari,,,2020-03-12,49.0
Iran,Chaharmahal and Bakhtiari,,,2020-03-13,49.0
Iran,Chaharmahal and Bakhtiari,,,2020-03-14,49.0
Iran,Chaharmahal and Bakhtiari,,,2020-03-15,49.0
Iran,Chaharmahal and Bakhtiari,,,2020-03-16,52.0
Iran,Chaharmahal and Bakhtiari,,,2020-03-17,54.0
Iran,Chaharmahal and Bakhtiari,,,2020-03-18,58.0
Iran,Chaharmahal and Bakhtiari,,,2020-03-19,61.0
Iran,Chaharmahal and Bakhtiari,,,2020-03-20,64.0
Iran,Chaharmahal and Bakhtiari,,,2020-03-21,66.0
Iran,Chaharmahal and Bakhtiari,,,2020-03-22,68.0
Iran,East Azerbaijan,,,2020-02-19,0.0
Iran,East Azerbaijan,,,2020-02-20,0.0
Iran,East Azerbaijan,,,2020-02-21,0.0
Iran,East Azerbaijan,,,2020-02-22,0.0
Iran,East Azerbaijan,,,2020-02-23,0.0
Iran,East Azerbaijan,,,2020-02-24,0.0
Iran,East Azerbaijan,,,2020-02-25,0.0
Iran,East Azerbaijan,,,2020-02-26,0.0
Iran,East Azerbaijan,,,2020-02-27,2.0
Iran,East Azerbaijan,,,2020-02-28,6.0
Iran,East Azerbaijan,,,2020-02-29,12.0
Iran,East Azerbaijan,,,2020-03-01,12.0
Iran,East Azerbaijan,,,2020-03-02,29.0
Iran,East Azerbaijan,,,2020-03-03,46.0
Iran,East Azerbaijan,,,2020-03-04,55.0
Iran,East Azerbaijan,,,2020-03-05,65.0
Iran,East Azerbaijan,,,2020-03-06,75.0
Iran,East Azerbaijan,,,2020-03-07,77.0
Iran,East Azerbaijan,,,2020-03-08,107.0
Iran,East Azerbaijan,,,2020-03-09,129.0
Iran,East Azerbaijan,,,2020-03-10,146.0
Iran,East Azerbaijan,,,2020-03-11,175.0
Iran,East Azerbaijan,,,2020-03-12,182.0
Iran,East Azerbaijan,,,2020-03-13,279.0
Iran,East Azerbaijan,,,2020-03-14,338.0
Iran,East Azerbaijan,,,2020-03-15,374.0
Iran,East Azerbaijan,,,2020-03-16,409.0
Iran,East Azerbaijan,,,2020-03-17,487.0
Iran,East Azerbaijan,,,2020-03-18,571.0
Iran,East Azerbaijan,,,2020-03-19,629.0
Iran,East Azerbaijan,,,2020-03-20,684.0
Iran,East Azerbaijan,,,2020-03-21,756.0
Iran,East Azerbaijan,,,2020-03-22,813.0
Iran,Fars,,,2020-02-19,0.0
Iran,Fars,,,2020-02-20,0.0
Iran,Fars,,,2020-02-21,0.0
Iran,Fars,,,2020-02-22,0.0
Iran,Fars,,,2020-02-23,0.0
Iran,Fars,,,2020-02-24,0.0
Iran,Fars,,,2020-02-25,1.0
Iran,Fars,,,2020-02-26,3.0
Iran,Fars,,,2020-02-27,3.0
Iran,Fars,,,2020-02-28,3.0
Iran,Fars,,,2020-02-29,11.0
Iran,Fars,,,2020-03-01,19.0
Iran,Fars,,,2020-03-02,27.0
Iran,Fars,,,2020-03-03,35.0
Iran,Fars,,,2020-03-04,49.0
Iran,Fars,,,2020-03-05,68.0
Iran,Fars,,,2020-03-06,81.0
Iran,Fars,,,2020-03-07,95.0
Iran,Fars,,,2020-03-08,104.0
Iran,Fars,,,2020-03-09,133.0
Iran,Fars,,,2020-03-10,151.0
Iran,Fars,,,2020-03-11,170.0
Iran,Fars,,,2020-03-12,199.0
Iran,Fars,,,2020-03-13,232.0
Iran,Fars,,,2020-03-14,243.0
Iran,Fars,,,2020-03-15,252.0
Iran,Fars,,,2020-03-16,295.0
Iran,Fars,,,2020-03-17,326.0
Iran,Fars,,,2020-03-18,386.0
Iran,Fars,,,2020-03-19,407.0
Iran,Fars,,,2020-03-20,457.0
Iran,Fars,,,2020-03-21,479.0
Iran,Fars,,,2020-03-22,505.0
Iran,Gilan,,,2020-02-19,0.0
Iran,Gilan,,,2020-02-20,0.0
Iran,Gilan,,,2020-02-21,2.0
Iran,Gilan,,,2020-02-22,2.0
Iran,Gilan,,,2020-02-23,4.0
Iran,Gilan,,,2020-02-24,6.0
Iran,Gilan,,,2020-02-25,8.0
Iran,Gilan,,,2020-02-26,9.0
Iran,Gilan,,,2020-02-27,32.0
Iran,Gilan,,,2020-02-28,57.0
Iran,Gilan,,,2020-02-29,74.0
Iran,Gilan,,,2020-03-01,102.0
Iran,Gilan,,,2020-03-02,160.0
Iran,Gilan,,,2020-03-03,218.0
Iran,Gilan,,,2020-03-04,253.0
Iran,Gilan,,,2020-03-05,333.0
Iran,Gilan,,,2020-03-06,424.0
Iran,Gilan,,,2020-03-07,494.0
Iran,Gilan,,,2020-03-08,496.0
Iran,Gilan,,,2020-03-09,524.0
Iran,Gilan,,,2020-03-10,524.0
Iran,Gilan,,,2020-03-11,529.0
Iran,Gilan,,,2020-03-12,613.0
Iran,Gilan,,,2020-03-13,684.0
Iran,Gilan,,,2020-03-14,797.0
Iran,Gilan,,,2020-03-15,840.0
Iran,Gilan,,,2020-03-16,858.0
Iran,Gilan,,,2020-03-17,903.0
Iran,Gilan,,,2020-03-18,924.0
Iran,Gilan,,,2020-03-19,997.0
Iran,Gilan,,,2020-03-20,1096.0
Iran,Gilan,,,2020-03-21,1153.0
Iran,Gilan,,,2020-03-22,1191.0
Iran,Golestan,,,2020-02-19,0.0
Iran,Golestan,,,2020-02-20,0.0
Iran,Golestan,,,2020-02-21,0.0
Iran,Golestan,,,2020-02-22,0.0
Iran,Golestan,,,2020-02-23,0.0
Iran,Golestan,,,2020-02-24,0.0
Iran,Golestan,,,2020-02-25,0.0
Iran,Golestan,,,2020-02-26,0.0
Iran,Golestan,,,2020-02-27,0.0
Iran,Golestan,,,2020-02-28,2.0
Iran,Golestan,,,2020-02-29,24.0
Iran,Golestan,,,2020-03-01,24.0
Iran,Golestan,,,2020-03-02,24.0
Iran,Golestan,,,2020-03-03,24.0
Iran,Golestan,,,2020-03-04,33.0
Iran,Golestan,,,2020-03-05,37.0
Iran,Golestan,,,2020-03-06,104.0
Iran,Golestan,,,2020-03-07,162.0
Iran,Golestan,,,2020-03-08,175.0
Iran,Golestan,,,2020-03-09,175.0
Iran,Golestan,,,2020-03-10,179.0
Iran,Golestan,,,2020-03-11,188.0
Iran,Golestan,,,2020-03-12,213.0
Iran,Golestan,,,2020-03-13,234.0
Iran,Golestan,,,2020-03-14,234.0
Iran,Golestan,,,2020-03-15,259.0
Iran,Golestan,,,2020-03-16,301.0
Iran,Golestan,,,2020-03-17,331.0
Iran,Golestan,,,2020-03-18,351.0
Iran,Golestan,,,2020-03-19,360.0
Iran,Golestan,,,2020-03-20,375.0
Iran,Golestan,,,2020-03-21,381.0
Iran,Golestan,,,2020-03-22,391.0
Iran,Hamadan,,,2020-02-19,0.0
Iran,Hamadan,,,2020-02-20,0.0
Iran,Hamadan,,,2020-02-21,0.0
Iran,Hamadan,,,2020-02-22,0.0
Iran,Hamadan,,,2020-02-23,0.0
Iran,Hamadan,,,2020-02-24,1.0
Iran,Hamadan,,,2020-02-25,1.0
Iran,Hamadan,,,2020-02-26,1.0
Iran,Hamadan,,,2020-02-27,2.0
Iran,Hamadan,,,2020-02-28,2.0
Iran,Hamadan,,,2020-02-29,2.0
Iran,Hamadan,,,2020-03-01,5.0
Iran,Hamadan,,,2020-03-02,7.0
Iran,Hamadan,,,2020-03-03,10.0
Iran,Hamadan,,,2020-03-04,10.0
Iran,Hamadan,,,2020-03-05,16.0
Iran,Hamadan,,,2020-03-06,23.0
Iran,Hamadan,,,2020-03-07,34.0
Iran,Hamadan,,,2020-03-08,60.0
Iran,Hamadan,,,2020-03-09,60.0
Iran,Hamadan,,,2020-03-10,77.0
Iran,Hamadan,,,2020-03-11,84.0
Iran,Hamadan,,,2020-03-12,96.0
Iran,Hamadan,,,2020-03-13,106.0
Iran,Hamadan,,,2020-03-14,113.0
