adm0,adm1,adm2,adm3,date,confirmedCount,curedCount,deadCount
Japan,Aichi,,,2020-03-18,123.0,3.0,14.0
Japan,Aichi,,,2020-03-19,127.0,3.0,14.0
Japan,Aichi,,,2020-03-20,130.0,3.0,16.0
Japan,Aichi,,,2020-03-21,132.0,8.0,16.0
Japan,Aichi,,,2020-03-22,134.0,8.0,16.0
Japan,Aichi,,,2020-03-23,136.0,8.0,17.0
Japan,Aichi,,,2020-03-24,139.0,9.0,17.0
Japan,Aichi,,,2020-03-25,144.0,36.0,18.0
Japan,Aichi,,,2020-03-26,147.0,36.0,19.0
Japan,Aichi,,,2020-03-27,150.0,42.0,18.0
Japan,Aichi,,,2020-03-28,164.0,42.0,19.0
Japan,Aichi,,,2020-03-29,167.0,42.0,19.0
Japan,Aichi,,,2020-03-30,170.0,42.0,19.0
Japan,Aichi,,,2020-03-31,176.0,47.0,19.0
Japan,Aichi,,,2020-04-01,181.0,47.0,19.0
Japan,Aichi,,,2020-04-02,186.0,47.0,19.0
Japan,Aichi,,,2020-04-03,198.0,48.0,19.0
Japan,Aichi,,,2020-04-04,216.0,48.0,19.0
Japan,Aichi,,,2020-04-05,227.0,48.0,20.0
Japan,Aichi,,,2020-04-06,237.0,52.0,21.0
Japan,Aichi,,,2020-04-07,258.0,52.0,21.0
Japan,Aichi,,,2020-04-08,278.0,52.0,21.0
Japan,Aichi,,,2020-04-09,299.0,53.0,21.0
Japan,Aichi,,,2020-04-10,313.0,63.0,22.0
Japan,Aichi,,,2020-04-11,340.0,63.0,22.0
Japan,Aichi,,,2020-04-12,319.0,63.0,22.0
Japan,Aichi,,,2020-04-13,328.0,63.0,23.0
Japan,Aichi,,,2020-04-14,338.0,63.0,24.0
Japan,Aichi,,,2020-04-15,350.0,66.0,24.0
Japan,Aichi,,,2020-04-16,364.0,66.0,24.0
Japan,Aichi,,,2020-04-17,374.0,66.0,24.0
Japan,Aichi,,,2020-04-18,391.0,66.0,24.0
Japan,Aichi,,,2020-04-19,401.0,66.0,25.0
Japan,Aichi,,,2020-04-20,406.0,66.0,27.0
Japan,Aichi,,,2020-04-21,422.0,66.0,27.0
