adm0,adm1,adm2,adm3,date,confirmedCount
South Korea,Busan,,,2020-01-20,0.0
South Korea,Busan,,,2020-01-21,0.0
South Korea,Busan,,,2020-01-22,0.0
South Korea,Busan,,,2020-01-23,0.0
South Korea,Busan,,,2020-01-24,0.0
South Korea,Busan,,,2020-01-25,0.0
South Korea,Busan,,,2020-01-26,0.0
South Korea,Busan,,,2020-01-27,0.0
South Korea,Busan,,,2020-01-28,0.0
South Korea,Busan,,,2020-01-29,0.0
South Korea,Busan,,,2020-01-30,0.0
South Korea,Busan,,,2020-01-31,0.0
South Korea,Busan,,,2020-02-01,0.0
South Korea,Busan,,,2020-02-02,0.0
South Korea,Busan,,,2020-02-03,0.0
South Korea,Busan,,,2020-02-04,0.0
South Korea,Busan,,,2020-02-05,0.0
South Korea,Busan,,,2020-02-06,0.0
South Korea,Busan,,,2020-02-07,0.0
South Korea,Busan,,,2020-02-08,0.0
South Korea,Busan,,,2020-02-09,0.0
South Korea,Busan,,,2020-02-10,0.0
South Korea,Busan,,,2020-02-11,0.0
South Korea,Busan,,,2020-02-12,0.0
South Korea,Busan,,,2020-02-13,0.0
South Korea,Busan,,,2020-02-14,0.0
South Korea,Busan,,,2020-02-15,0.0
South Korea,Busan,,,2020-02-16,0.0
South Korea,Busan,,,2020-02-17,0.0
South Korea,Busan,,,2020-02-18,0.0
South Korea,Busan,,,2020-02-19,0.0
South Korea,Busan,,,2020-02-20,0.0
South Korea,Busan,,,2020-02-21,0.0
South Korea,Busan,,,2020-02-22,3.0
South Korea,Busan,,,2020-02-23,11.0
South Korea,Busan,,,2020-02-24,26.0
South Korea,Busan,,,2020-02-25,34.0
South Korea,Busan,,,2020-02-26,50.0
South Korea,Busan,,,2020-02-27,53.0
South Korea,Busan,,,2020-02-28,57.0
South Korea,Busan,,,2020-02-29,72.0
South Korea,Busan,,,2020-03-01,75.0
South Korea,Busan,,,2020-03-02,80.0
South Korea,Busan,,,2020-03-03,82.0
South Korea,Busan,,,2020-03-04,85.0
South Korea,Busan,,,2020-03-05,84.0
South Korea,Busan,,,2020-03-06,87.0
South Korea,Busan,,,2020-03-07,88.0
South Korea,Busan,,,2020-03-08,89.0
South Korea,Busan,,,2020-03-09,88.0
South Korea,Busan,,,2020-03-10,88.0
South Korea,Busan,,,2020-03-11,90.0
South Korea,Busan,,,2020-03-12,91.0
South Korea,Busan,,,2020-03-13,92.0
South Korea,Busan,,,2020-03-14,95.0
South Korea,Busan,,,2020-03-15,98.0
South Korea,Busan,,,2020-03-16,99.0
South Korea,Busan,,,2020-03-17,99.0
South Korea,Busan,,,2020-03-18,99.0
South Korea,Busan,,,2020-03-19,99.0
South Korea,Busan,,,2020-03-20,100.0
South Korea,Busan,,,2020-03-21,100.0
South Korea,Busan,,,2020-03-22,100.0
South Korea,Busan,,,2020-03-23,101.0
South Korea,Busan,,,2020-03-24,103.0
South Korea,Busan,,,2020-03-25,104.0
South Korea,Busan,,,2020-03-26,104.0
South Korea,Busan,,,2020-03-27,105.0
South Korea,Busan,,,2020-03-28,106.0
South Korea,Busan,,,2020-03-29,109.0
South Korea,Busan,,,2020-03-30,110.0
South Korea,Busan,,,2020-03-31,111.0
South Korea,Busan,,,2020-04-01,114.0
South Korea,Busan,,,2020-04-02,114.0
South Korea,Busan,,,2020-04-03,114.0
South Korea,Busan,,,2020-04-04,114.0
South Korea,Busan,,,2020-04-05,114.0
South Korea,Busan,,,2020-04-06,114.0
South Korea,Busan,,,2020-04-07,115.0
South Korea,Busan,,,2020-04-08,117.0
South Korea,Busan,,,2020-04-09,117.0
South Korea,Busan,,,2020-04-10,118.0
South Korea,Busan,,,2020-04-11,118.0
South Korea,Busan,,,2020-04-12,118.0
South Korea,Busan,,,2020-04-13,118.0
South Korea,Busan,,,2020-04-14,118.0
South Korea,Busan,,,2020-04-15,119.0
South Korea,Busan,,,2020-04-16,122.0
South Korea,Busan,,,2020-04-17,122.0
South Korea,Busan,,,2020-04-18,122.0
South Korea,Busan,,,2020-04-19,122.0
South Korea,Busan,,,2020-04-20,124.0
South Korea,Busan,,,2020-04-21,124.0
South Korea,Busan,,,2020-04-22,126.0
South Korea,Busan,,,2020-04-23,127.0
South Korea,Busan,,,2020-04-24,128.0
South Korea,Busan,,,2020-04-25,128.0
South Korea,Busan,,,2020-04-26,129.0
South Korea,Busan,,,2020-04-27,129.0
South Korea,Busan,,,2020-04-28,129.0
South Korea,Busan,,,2020-04-29,129.0
South Korea,Busan,,,2020-04-30,129.0
South Korea,Busan,,,2020-05-01,129.0
South Korea,Busan,,,2020-05-02,130.0
South Korea,Busan,,,2020-05-03,130.0
South Korea,Busan,,,2020-05-04,130.0
South Korea,Busan,,,2020-05-05,130.0
South Korea,Busan,,,2020-05-06,130.0
South Korea,Busan,,,2020-05-07,130.0
South Korea,Busan,,,2020-05-08,132.0
South Korea,Busan,,,2020-05-09,133.0
South Korea,Busan,,,2020-05-10,133.0
South Korea,Busan,,,2020-05-11,133.0
South Korea,Busan,,,2020-05-12,133.0
South Korea,Busan,,,2020-05-13,136.0
South Korea,Busan,,,2020-05-14,136.0
South Korea,Busan,,,2020-05-15,136.0
South Korea,Busan,,,2020-05-16,136.0
South Korea,Busan,,,2020-05-17,136.0
South Korea,Chungcheongbuk-do,,,2020-01-20,0.0
South Korea,Chungcheongbuk-do,,,2020-01-21,0.0
South Korea,Chungcheongbuk-do,,,2020-01-22,0.0
South Korea,Chungcheongbuk-do,,,2020-01-23,0.0
South Korea,Chungcheongbuk-do,,,2020-01-24,0.0
South Korea,Chungcheongbuk-do,,,2020-01-25,0.0
South Korea,Chungcheongbuk-do,,,2020-01-26,0.0
South Korea,Chungcheongbuk-do,,,2020-01-27,0.0
South Korea,Chungcheongbuk-do,,,2020-01-28,0.0
South Korea,Chungcheongbuk-do,,,2020-01-29,0.0
South Korea,Chungcheongbuk-do,,,2020-01-30,0.0
South Korea,Chungcheongbuk-do,,,2020-01-31,0.0
South Korea,Chungcheongbuk-do,,,2020-02-01,0.0
South Korea,Chungcheongbuk-do,,,2020-02-02,0.0
South Korea,Chungcheongbuk-do,,,2020-02-03,0.0
South Korea,Chungcheongbuk-do,,,2020-02-04,0.0
South Korea,Chungcheongbuk-do,,,2020-02-05,0.0
South Korea,Chungcheongbuk-do,,,2020-02-06,0.0
South Korea,Chungcheongbuk-do,,,2020-02-07,0.0
South Korea,Chungcheongbuk-do,,,2020-02-08,0.0
South Korea,Chungcheongbuk-do,,,2020-02-09,0.0
South Korea,Chungcheongbuk-do,,,2020-02-10,0.0
South Korea,Chungcheongbuk-do,,,2020-02-11,0.0
South Korea,Chungcheongbuk-do,,,2020-02-12,0.0
South Korea,Chungcheongbuk-do,,,2020-02-13,0.0
South Korea,Chungcheongbuk-do,,,2020-02-14,0.0
South Korea,Chungcheongbuk-do,,,2020-02-15,0.0
South Korea,Chungcheongbuk-do,,,2020-02-16,0.0
South Korea,Chungcheongbuk-do,,,2020-02-17,0.0
South Korea,Chungcheongbuk-do,,,2020-02-18,0.0
South Korea,Chungcheongbuk-do,,,2020-02-19,0.0
South Korea,Chungcheongbuk-do,,,2020-02-20,0.0
South Korea,Chungcheongbuk-do,,,2020-02-21,1.0
South Korea,Chungcheongbuk-do,,,2020-02-22,3.0
South Korea,Chungcheongbuk-do,,,2020-02-23,3.0
South Korea,Chungcheongbuk-do,,,2020-02-24,3.0
South Korea,Chungcheongbuk-do,,,2020-02-25,5.0
South Korea,Chungcheongbuk-do,,,2020-02-26,5.0
South Korea,Chungcheongbuk-do,,,2020-02-27,8.0
South Korea,Chungcheongbuk-do,,,2020-02-28,9.0
South Korea,Chungcheongbuk-do,,,2020-02-29,10.0
South Korea,Chungcheongbuk-do,,,2020-03-01,11.0
South Korea,Chungcheongbuk-do,,,2020-03-02,11.0
South Korea,Chungcheongbuk-do,,,2020-03-03,11.0
South Korea,Chungcheongbuk-do,,,2020-03-04,11.0
South Korea,Chungcheongbuk-do,,,2020-03-05,12.0
South Korea,Chungcheongbuk-do,,,2020-03-06,15.0
South Korea,Chungcheongbuk-do,,,2020-03-07,20.0
South Korea,Chungcheongbuk-do,,,2020-03-08,24.0
South Korea,Chungcheongbuk-do,,,2020-03-09,25.0
South Korea,Chungcheongbuk-do,,,2020-03-10,25.0
South Korea,Chungcheongbuk-do,,,2020-03-11,27.0
South Korea,Chungcheongbuk-do,,,2020-03-12,27.0
South Korea,Chungcheongbuk-do,,,2020-03-13,27.0
South Korea,Chungcheongbuk-do,,,2020-03-14,28.0
South Korea,Chungcheongbuk-do,,,2020-03-15,31.0
South Korea,Chungcheongbuk-do,,,2020-03-16,31.0
