adm0,adm1,adm2,adm3,date,confirmedCount,curedCount,deadCount
,Argentina,Buenos Aires,,2020-02-25,0.0,0.0,0.0
,Argentina,Buenos Aires,,2020-02-26,0.0,0.0,0.0
,Argentina,Buenos Aires,,2020-02-27,3.0,0.0,0.0
,Argentina,Buenos Aires,,2020-02-28,7.0,0.0,0.0
,Argentina,Buenos Aires,,2020-02-29,0.0,0.0,0.0
,Argentina,Buenos Aires,,2020-03-01,0.0,0.0,0.0
,Argentina,Buenos Aires,,2020-03-02,10.0,0.0,0.0
,Argentina,Buenos Aires,,2020-03-03,13.0,0.0,0.0
,Argentina,Buenos Aires,,2020-03-04,15.0,0.0,0.0
,Argentina,Buenos Aires,,2020-03-05,16.0,0.0,0.0
,Argentina,Buenos Aires,,2020-03-06,19.0,0.0,0.0
,Argentina,Buenos Aires,,2020-03-07,21.0,0.0,0.0
,Argentina,Buenos Aires,,2020-03-08,26.0,0.0,0.0
,Argentina,Buenos Aires,,2020-03-09,30.0,0.0,0.0
,Argentina,Buenos Aires,,2020-03-10,35.0,0.0,0.0
,Argentina,Buenos Aires,,2020-03-11,45.0,0.0,0.0
,Argentina,Buenos Aires,,2020-03-12,56.0,0.0,2.0
,Argentina,Buenos Aires,,2020-03-13,78.0,0.0,3.0
,Argentina,Buenos Aires,,2020-03-14,101.0,0.0,0.0
,Argentina,Buenos Aires,,2020-03-15,119.0,0.0,0.0
,Argentina,Buenos Aires,,2020-03-16,149.0,0.0,0.0
,Argentina,Buenos Aires,,2020-03-17,184.0,0.0,6.0
,Argentina,Buenos Aires,,2020-03-18,238.0,0.0,0.0
,Argentina,Buenos Aires,,2020-03-19,266.0,0.0,7.0
,Argentina,Buenos Aires,,2020-03-20,316.0,0.0,0.0
,Argentina,Buenos Aires,,2020-03-21,389.0,0.0,9.0
,Argentina,Buenos Aires,,2020-03-22,429.0,0.0,10.0
,Argentina,Buenos Aires,,2020-03-23,482.0,0.0,11.0
,Argentina,Buenos Aires,,2020-03-24,561.0,1.0,15.0
,Argentina,Buenos Aires,,2020-03-25,723.0,1.0,16.0
,Argentina,Buenos Aires,,2020-03-26,832.0,15.0,23.0
,Argentina,Buenos Aires,,2020-03-27,909.0,15.0,29.0
,Argentina,Buenos Aires,,2020-03-28,979.0,15.0,39.0
,Argentina,Buenos Aires,,2020-03-29,1112.0,15.0,48.0
,Argentina,Buenos Aires,,2020-03-30,1257.0,15.0,55.0
,Argentina,Buenos Aires,,2020-03-31,1378.0,15.0,63.0
,Argentina,Buenos Aires,,2020-04-01,1570.0,23.0,68.0
,Argentina,Buenos Aires,,2020-04-02,1882.0,37.0,78.0
,Argentina,Buenos Aires,,2020-04-03,2354.0,37.0,88.0
,Argentina,Buenos Aires,,2020-04-04,2741.0,117.0,96.0
,Argentina,Buenos Aires,,2020-04-05,3030.0,117.0,112.0
,Argentina,Buenos Aires,,2020-04-06,3367.0,40.0,128.0
,Argentina,Buenos Aires,,2020-04-07,3819.0,40.0,140.0
,Argentina,Buenos Aires,,2020-04-08,4254.0,40.0,152.0
,Argentina,Buenos Aires,,2020-04-09,4687.0,70.0,165.0
,Argentina,Buenos Aires,,2020-04-10,5132.0,70.0,173.0
,Argentina,Buenos Aires,,2020-04-11,5474.0,70.0,182.0
,Argentina,Buenos Aires,,2020-04-12,5783.0,70.0,193.0
,Argentina,Buenos Aires,,2020-04-13,6218.0,70.0,209.0
,Argentina,Buenos Aires,,2020-04-14,6798.0,70.0,220.0
,Argentina,Buenos Aires,,2020-04-15,7451.0,120.0,238.0
,Argentina,Buenos Aires,,2020-04-16,8116.0,,252.0
,Argentina,Buenos Aires,,2020-04-17,8839.0,,265.0
,Argentina,Buenos Aires,,2020-04-18,9464.0,,285.0
,Argentina,Buenos Aires,,2020-04-19,9912.0,,299.0
,Argentina,Buenos Aires,,2020-04-20,10711.0,,312.0
,Argentina,Buenos Aires,,2020-04-21,11757.0,,327.0
,Argentina,Buenos Aires,,2020-04-22,12654.0,,347.0
,Argentina,Buenos Aires,,2020-04-23,13541.0,,364.0
,Argentina,Buenos Aires,,2020-04-24,14546.0,,378.0
,Argentina,Buenos Aires,,2020-04-25,15458.0,,389.0
,Argentina,Buenos Aires,,2020-04-26,15971.0,,405.0
,Argentina,Buenos Aires,,2020-04-27,16740.0,,432.0
,Argentina,Buenos Aires,,2020-04-28,17797.0,,443.0
,Argentina,Buenos Aires,,2020-04-29,18809.0,,453.0
,Argentina,Buenos Aires,,2020-04-30,19707.0,,468.0
,Argentina,Buenos Aires,,2020-05-01,20537.0,,481.0
,Argentina,Buenos Aires,,2020-05-02,21142.0,,489.0
,Argentina,Buenos Aires,,2020-05-03,21532.0,,502.0
,Argentina,Buenos Aires,,2020-05-04,22409.0,,514.0
,Argentina,Buenos Aires,,2020-05-05,23379.0,,520.0
,Argentina,Buenos Aires,,2020-05-06,24201.0,,532.0
,Argentina,Buenos Aires,,2020-05-07,25038.0,,549.0
,Argentina,Buenos Aires,,2020-05-08,25904.0,,560.0
,Argentina,Buenos Aires,,2020-05-09,26679.0,,577.0
,Argentina,Buenos Aires,,2020-05-10,27109.0,,591.0
,Argentina,Buenos Aires,,2020-05-11,27968.0,,604.0
,Argentina,Buenos Aires,,2020-05-12,29067.0,,622.0
,Argentina,Buenos Aires,,2020-05-13,30078.0,,634.0
,Argentina,Buenos Aires,,2020-05-14,31092.0,,644.0
,Argentina,Buenos Aires,,2020-05-15,32199.0,,656.0
,Argentina,Buenos Aires,,2020-05-16,33127.0,,669.0
,Argentina,Buenos Aires,,2020-05-17,33691.0,,676.0
,Argentina,Buenos Aires,,2020-05-18,34778.0,,681.0
,Argentina,Buenos Aires,,2020-05-19,35828.0,,682.0
,Argentina,Buenos Aires,,2020-05-20,0.0,,0.0
,Argentina,Buenos Aires,,2020-05-21,0.0,,0.0
,Argentina,Buenos Aires,,2020-05-22,0.0,,0.0
,Argentina,Buenos Aires,,2020-05-23,0.0,,0.0
,Argentina,Buenos Aires,,2020-05-24,0.0,,0.0
,Argentina,Buenos Aires,,2020-05-25,0.0,,0.0
