adm0,adm1,adm2,adm3,date,confirmedCount
Malaysia,Johor,,,2020-03-13,20.0
Malaysia,Johor,,,2020-03-14,22.0
Malaysia,Johor,,,2020-03-16,52.0
Malaysia,Johor,,,2020-03-17,77.0
Malaysia,Johor,,,2020-03-18,88.0
Malaysia,Johor,,,2020-03-19,101.0
Malaysia,Johor,,,2020-03-20,114.0
Malaysia,Johor,,,2020-03-21,129.0
Malaysia,Johor,,,2020-03-22,145.0
Malaysia,Johor,,,2020-03-23,158.0
Malaysia,Johor,,,2020-03-24,162.0
Malaysia,Johor,,,2020-03-25,196.0
Malaysia,Johor,,,2020-03-26,239.0
Malaysia,Johor,,,2020-03-27,259.0
Malaysia,Johor,,,2020-03-28,285.0
Malaysia,Johor,,,2020-03-29,309.0
Malaysia,Johor,,,2020-03-30,333.0
Malaysia,Johor,,,2020-03-31,349.0
Malaysia,Johor,,,2020-04-01,368.0
Malaysia,Johor,,,2020-04-02,395.0
Malaysia,Johor,,,2020-04-03,416.0
Malaysia,Johor,,,2020-04-04,422.0
Malaysia,Johor,,,2020-04-05,438.0
Malaysia,Johor,,,2020-04-06,468.0
Malaysia,Johor,,,2020-04-07,478.0
Malaysia,Johor,,,2020-04-08,496.0
Malaysia,Johor,,,2020-04-09,503.0
Malaysia,Johor,,,2020-04-10,523.0
Malaysia,Johor,,,2020-04-11,544.0
Malaysia,Johor,,,2020-04-12,558.0
Malaysia,Johor,,,2020-04-13,579.0
Malaysia,Johor,,,2020-04-14,587.0
Malaysia,Johor,,,2020-04-15,601.0
Malaysia,Johor,,,2020-04-16,614.0
Malaysia,Johor,,,2020-04-17,623.0
Malaysia,Johor,,,2020-04-18,639.0
Malaysia,Johor,,,2020-04-19,642.0
Malaysia,Johor,,,2020-04-20,644.0
Malaysia,Johor,,,2020-04-21,645.0
Malaysia,Johor,,,2020-04-22,648.0
Malaysia,Johor,,,2020-04-23,651.0
Malaysia,Johor,,,2020-04-24,655.0
Malaysia,Johor,,,2020-04-25,655.0
Malaysia,Johor,,,2020-04-26,659.0
Malaysia,Johor,,,2020-04-27,659.0
Malaysia,Johor,,,2020-04-28,660.0
Malaysia,Johor,,,2020-04-29,660.0
Malaysia,Johor,,,2020-04-30,663.0
Malaysia,Johor,,,2020-05-01,666.0
Malaysia,Johor,,,2020-05-02,667.0
Malaysia,Johor,,,2020-05-03,667.0
Malaysia,Johor,,,2020-05-04,667.0
Malaysia,Johor,,,2020-05-05,667.0
Malaysia,Johor,,,2020-05-06,667.0
Malaysia,Johor,,,2020-05-07,667.0
Malaysia,Johor,,,2020-05-08,667.0
Malaysia,Johor,,,2020-05-09,667.0
Malaysia,Johor,,,2020-05-10,667.0
Malaysia,Johor,,,2020-05-11,667.0
Malaysia,Johor,,,2020-05-12,667.0
Malaysia,Johor,,,2020-05-13,667.0
Malaysia,Johor,,,2020-05-14,668.0
Malaysia,Johor,,,2020-05-15,668.0
Malaysia,Johor,,,2020-05-16,668.0
Malaysia,Johor,,,2020-05-17,668.0
Malaysia,Johor,,,2020-05-18,668.0
Malaysia,Johor,,,2020-05-19,669.0
Malaysia,Johor,,,2020-05-20,669.0
Malaysia,Johor,,,2020-05-21,669.0
Malaysia,Johor,,,2020-05-22,669.0
Malaysia,Johor,,,2020-05-23,670.0
Malaysia,Johor,,,2020-05-24,671.0
Malaysia,Johor,,,2020-05-25,671.0
Malaysia,Johor,,,2020-05-26,671.0
Malaysia,Johor,,,2020-05-27,671.0
Malaysia,Johor,,,2020-05-28,671.0
Malaysia,Johor,,,2020-05-29,674.0
Malaysia,Johor,,,2020-05-30,675.0
Malaysia,Johor,,,2020-05-31,675.0
Malaysia,Johor,,,2020-06-01,675.0
Malaysia,Johor,,,2020-06-02,676.0
Malaysia,Kedah,,,2020-03-13,5.0
Malaysia,Kedah,,,2020-03-14,5.0
Malaysia,Kedah,,,2020-03-16,31.0
Malaysia,Kedah,,,2020-03-17,31.0
Malaysia,Kedah,,,2020-03-18,36.0
Malaysia,Kedah,,,2020-03-19,40.0
Malaysia,Kedah,,,2020-03-20,41.0
Malaysia,Kedah,,,2020-03-21,47.0
Malaysia,Kedah,,,2020-03-22,52.0
Malaysia,Kedah,,,2020-03-23,59.0
Malaysia,Kedah,,,2020-03-24,64.0
Malaysia,Kedah,,,2020-03-25,69.0
Malaysia,Kedah,,,2020-03-26,72.0
Malaysia,Kedah,,,2020-03-27,73.0
Malaysia,Kedah,,,2020-03-28,74.0
Malaysia,Kedah,,,2020-03-29,75.0
Malaysia,Kedah,,,2020-03-30,77.0
Malaysia,Kedah,,,2020-03-31,77.0
Malaysia,Kedah,,,2020-04-01,79.0
Malaysia,Kedah,,,2020-04-02,80.0
Malaysia,Kedah,,,2020-04-03,81.0
Malaysia,Kedah,,,2020-04-04,81.0
Malaysia,Kedah,,,2020-04-05,82.0
Malaysia,Kedah,,,2020-04-06,85.0
Malaysia,Kedah,,,2020-04-07,90.0
Malaysia,Kedah,,,2020-04-08,91.0
Malaysia,Kedah,,,2020-04-09,93.0
Malaysia,Kedah,,,2020-04-10,93.0
Malaysia,Kedah,,,2020-04-11,93.0
Malaysia,Kedah,,,2020-04-12,93.0
Malaysia,Kedah,,,2020-04-13,93.0
Malaysia,Kedah,,,2020-04-14,93.0
Malaysia,Kedah,,,2020-04-15,94.0
Malaysia,Kedah,,,2020-04-16,94.0
Malaysia,Kedah,,,2020-04-17,94.0
Malaysia,Kedah,,,2020-04-18,94.0
Malaysia,Kedah,,,2020-04-19,94.0
