adm0,adm1,adm2,adm3,date,confirmedCount,deadCount
Netherlands,'s-Gravenhage,,,2020-03-07,2.0,0.0
Netherlands,'s-Gravenhage,,,2020-03-09,2.0,0.0
Netherlands,'s-Gravenhage,,,2020-03-10,3.0,0.0
Netherlands,'s-Gravenhage,,,2020-03-11,7.0,0.0
Netherlands,'s-Gravenhage,,,2020-03-12,7.0,0.0
Netherlands,'s-Gravenhage,,,2020-03-13,8.0,0.0
Netherlands,'s-Gravenhage,,,2020-03-14,9.0,0.0
Netherlands,'s-Gravenhage,,,2020-03-15,10.0,0.0
Netherlands,'s-Gravenhage,,,2020-03-16,14.0,0.0
Netherlands,'s-Gravenhage,,,2020-03-17,17.0,0.0
Netherlands,'s-Gravenhage,,,2020-03-18,21.0,0.0
Netherlands,'s-Gravenhage,,,2020-03-19,27.0,0.0
Netherlands,'s-Gravenhage,,,2020-03-20,36.0,0.0
Netherlands,'s-Gravenhage,,,2020-03-21,44.0,0.0
Netherlands,'s-Gravenhage,,,2020-03-22,47.0,0.0
Netherlands,'s-Gravenhage,,,2020-03-23,53.0,0.0
Netherlands,'s-Gravenhage,,,2020-03-24,63.0,0.0
Netherlands,'s-Gravenhage,,,2020-03-25,81.0,0.0
Netherlands,'s-Gravenhage,,,2020-03-26,103.0,0.0
Netherlands,'s-Gravenhage,,,2020-03-27,124.0,0.0
Netherlands,'s-Gravenhage,,,2020-03-28,161.0,0.0
Netherlands,'s-Gravenhage,,,2020-03-29,176.0,0.0
Netherlands,'s-Gravenhage,,,2020-03-30,182.0,0.0
Netherlands,'s-Gravenhage,,,2020-03-31,,0.0
Netherlands,'s-Gravenhage,,,2020-04-01,,0.0
Netherlands,'s-Gravenhage,,,2020-04-02,,0.0
Netherlands,'s-Gravenhage,,,2020-04-03,,0.0
Netherlands,'s-Gravenhage,,,2020-04-04,,0.0
Netherlands,'s-Gravenhage,,,2020-04-05,,0.0
Netherlands,'s-Gravenhage,,,2020-04-06,,0.0
Netherlands,'s-Gravenhage,,,2020-04-07,,0.0
Netherlands,'s-Gravenhage,,,2020-04-08,440.0,0.0
Netherlands,'s-Gravenhage,,,2020-04-09,472.0,0.0
Netherlands,'s-Gravenhage,,,2020-04-10,506.0,0.0
Netherlands,'s-Gravenhage,,,2020-04-11,554.0,0.0
Netherlands,'s-Gravenhage,,,2020-04-12,581.0,0.0
Netherlands,'s-Gravenhage,,,2020-04-13,617.0,0.0
Netherlands,'s-Gravenhage,,,2020-04-14,635.0,0.0
