adm0,adm1,adm2,adm3,date,confirmedCount
Norway,Agder,,,2020-03-20,79.0
Norway,Agder,,,2020-03-21,82.0
Norway,Agder,,,2020-03-22,91.0
Norway,Agder,,,2020-03-23,91.0
Norway,Agder,,,2020-03-24,92.0
Norway,Agder,,,2020-03-25,101.0
Norway,Agder,,,2020-03-26,134.0
Norway,Agder,,,2020-03-27,148.0
Norway,Agder,,,2020-03-28,159.0
Norway,Agder,,,2020-03-29,161.0
Norway,Agder,,,2020-03-30,166.0
Norway,Agder,,,2020-03-31,176.0
Norway,Agder,,,2020-04-01,190.0
Norway,Agder,,,2020-04-02,207.0
Norway,Agder,,,2020-04-03,221.0
Norway,Agder,,,2020-04-04,227.0
Norway,Agder,,,2020-04-05,230.0
Norway,Agder,,,2020-04-06,231.0
Norway,Agder,,,2020-04-07,236.0
Norway,Agder,,,2020-04-08,243.0
Norway,Agder,,,2020-04-09,249.0
Norway,Agder,,,2020-04-10,253.0
Norway,Agder,,,2020-04-11,258.0
Norway,Agder,,,2020-04-12,261.0
Norway,Agder,,,2020-04-13,266.0
Norway,Agder,,,2020-04-15,268.0
Norway,Agder,,,2020-04-16,275.0
Norway,Agder,,,2020-04-18,286.0
Norway,Agder,,,2020-04-19,287.0
Norway,Agder,,,2020-04-20,292.0
Norway,Agder,,,2020-04-21,294.0
Norway,Agder,,,2020-04-22,303.0
Norway,Agder,,,2020-04-23,312.0
Norway,Agder,,,2020-04-24,316.0
Norway,Agder,,,2020-04-27,319.0
Norway,Agder,,,2020-04-28,323.0
Norway,Agder,,,2020-04-29,324.0
Norway,Agder,,,2020-04-30,325.0
Norway,Agder,,,2020-05-07,333.0
Norway,Agder,,,2020-05-09,333.0
Norway,Agder,,,2020-05-11,333.0
Norway,Agder,,,2020-05-12,336.0
Norway,Agder,,,2020-05-13,336.0
Norway,Agder,,,2020-05-14,336.0
Norway,Agder,,,2020-05-15,338.0
Norway,Agder,,,2020-05-18,338.0
Norway,Agder,,,2020-05-19,338.0
Norway,Agder,,,2020-05-20,338.0
Norway,Agder,,,2020-05-21,338.0
Norway,Agder,,,2020-05-22,338.0
Norway,Agder,,,2020-05-23,338.0
Norway,Agder,,,2020-05-24,338.0
Norway,Agder,,,2020-05-25,338.0
Norway,Agder,,,2020-05-26,338.0
Norway,Agder,,,2020-05-27,338.0
Norway,Agder,,,2020-05-28,338.0
Norway,Agder,,,2020-05-29,338.0
Norway,Agder,,,2020-05-30,338.0
Norway,Agder,,,2020-05-31,338.0
Norway,Agder,,,2020-06-01,338.0
Norway,Agder,,,2020-06-02,338.0
Norway,Agder,,,2020-06-03,338.0
Norway,Agder,,,2020-06-04,338.0
Norway,Agder,,,2020-06-05,341.0
Norway,Agder,,,2020-06-06,341.0
Norway,Agder,,,2020-06-07,341.0
Norway,Innlandet,,,2020-03-20,115.0
Norway,Innlandet,,,2020-03-21,125.0
Norway,Innlandet,,,2020-03-22,148.0
Norway,Innlandet,,,2020-03-23,148.0
Norway,Innlandet,,,2020-03-24,163.0
Norway,Innlandet,,,2020-03-25,193.0
Norway,Innlandet,,,2020-03-26,147.0
Norway,Innlandet,,,2020-03-27,200.0
Norway,Innlandet,,,2020-03-28,228.0
Norway,Innlandet,,,2020-03-29,246.0
Norway,Innlandet,,,2020-03-30,258.0
Norway,Innlandet,,,2020-03-31,293.0
Norway,Innlandet,,,2020-04-01,327.0
Norway,Innlandet,,,2020-04-02,344.0
Norway,Innlandet,,,2020-04-03,350.0
Norway,Innlandet,,,2020-04-04,360.0
Norway,Innlandet,,,2020-04-05,362.0
Norway,Innlandet,,,2020-04-06,369.0
Norway,Innlandet,,,2020-04-07,373.0
Norway,Innlandet,,,2020-04-08,381.0
Norway,Innlandet,,,2020-04-09,387.0
Norway,Innlandet,,,2020-04-10,389.0
Norway,Innlandet,,,2020-04-11,392.0
Norway,Innlandet,,,2020-04-12,395.0
Norway,Innlandet,,,2020-04-13,398.0
Norway,Innlandet,,,2020-04-15,399.0
Norway,Innlandet,,,2020-04-16,403.0
Norway,Innlandet,,,2020-04-18,409.0
Norway,Innlandet,,,2020-04-19,412.0
Norway,Innlandet,,,2020-04-20,412.0
Norway,Innlandet,,,2020-04-21,414.0
Norway,Innlandet,,,2020-04-22,418.0
Norway,Innlandet,,,2020-04-23,419.0
Norway,Innlandet,,,2020-04-24,424.0
Norway,Innlandet,,,2020-04-27,430.0
Norway,Innlandet,,,2020-04-28,432.0
Norway,Innlandet,,,2020-04-29,437.0
Norway,Innlandet,,,2020-04-30,437.0
Norway,Innlandet,,,2020-05-07,453.0
Norway,Innlandet,,,2020-05-09,453.0
Norway,Innlandet,,,2020-05-11,453.0
Norway,Innlandet,,,2020-05-12,467.0
Norway,Innlandet,,,2020-05-13,472.0
Norway,Innlandet,,,2020-05-14,477.0
Norway,Innlandet,,,2020-05-15,480.0
Norway,Innlandet,,,2020-05-18,480.0
Norway,Innlandet,,,2020-05-19,480.0
Norway,Innlandet,,,2020-05-20,480.0
Norway,Innlandet,,,2020-05-21,480.0
Norway,Innlandet,,,2020-05-22,486.0
Norway,Innlandet,,,2020-05-23,486.0
Norway,Innlandet,,,2020-05-24,486.0
Norway,Innlandet,,,2020-05-25,490.0
Norway,Innlandet,,,2020-05-26,491.0
Norway,Innlandet,,,2020-05-27,495.0
Norway,Innlandet,,,2020-05-28,497.0
Norway,Innlandet,,,2020-05-29,499.0
Norway,Innlandet,,,2020-05-30,499.0
Norway,Innlandet,,,2020-05-31,499.0
Norway,Innlandet,,,2020-06-01,499.0
Norway,Innlandet,,,2020-06-02,508.0
Norway,Innlandet,,,2020-06-03,508.0
Norway,Innlandet,,,2020-06-04,510.0
Norway,Innlandet,,,2020-06-05,510.0
Norway,Innlandet,,,2020-06-06,510.0
Norway,Innlandet,,,2020-06-07,510.0
Norway,Møre og Romsdal,,,2020-03-20,29.0
Norway,Møre og Romsdal,,,2020-03-21,32.0
Norway,Møre og Romsdal,,,2020-03-22,38.0
Norway,Møre og Romsdal,,,2020-03-23,38.0
Norway,Møre og Romsdal,,,2020-03-24,46.0
Norway,Møre og Romsdal,,,2020-03-25,55.0
Norway,Møre og Romsdal,,,2020-03-26,71.0
Norway,Møre og Romsdal,,,2020-03-27,74.0
Norway,Møre og Romsdal,,,2020-03-28,80.0
Norway,Møre og Romsdal,,,2020-03-29,81.0
Norway,Møre og Romsdal,,,2020-03-30,81.0
Norway,Møre og Romsdal,,,2020-03-31,82.0
Norway,Møre og Romsdal,,,2020-04-01,90.0
Norway,Møre og Romsdal,,,2020-04-02,95.0
Norway,Møre og Romsdal,,,2020-04-03,106.0
Norway,Møre og Romsdal,,,2020-04-04,113.0
Norway,Møre og Romsdal,,,2020-04-05,115.0
Norway,Møre og Romsdal,,,2020-04-06,116.0
Norway,Møre og Romsdal,,,2020-04-07,115.0
Norway,Møre og Romsdal,,,2020-04-08,116.0
Norway,Møre og Romsdal,,,2020-04-09,116.0
Norway,Møre og Romsdal,,,2020-04-10,116.0
Norway,Møre og Romsdal,,,2020-04-11,116.0
Norway,Møre og Romsdal,,,2020-04-12,116.0
Norway,Møre og Romsdal,,,2020-04-13,117.0
Norway,Møre og Romsdal,,,2020-04-15,117.0
Norway,Møre og Romsdal,,,2020-04-16,118.0
Norway,Møre og Romsdal,,,2020-04-18,118.0
Norway,Møre og Romsdal,,,2020-04-19,118.0
Norway,Møre og Romsdal,,,2020-04-20,118.0
Norway,Møre og Romsdal,,,2020-04-21,118.0
Norway,Møre og Romsdal,,,2020-04-22,118.0
Norway,Møre og Romsdal,,,2020-04-23,119.0
Norway,Møre og Romsdal,,,2020-04-24,120.0
Norway,Møre og Romsdal,,,2020-04-27,121.0
Norway,Møre og Romsdal,,,2020-04-28,122.0
Norway,Møre og Romsdal,,,2020-04-29,123.0
Norway,Møre og Romsdal,,,2020-04-30,123.0
Norway,Møre og Romsdal,,,2020-05-07,123.0
Norway,Møre og Romsdal,,,2020-05-09,123.0
Norway,Møre og Romsdal,,,2020-05-11,123.0
Norway,Møre og Romsdal,,,2020-05-12,129.0
Norway,Møre og Romsdal,,,2020-05-13,132.0
Norway,Møre og Romsdal,,,2020-05-14,132.0
Norway,Møre og Romsdal,,,2020-05-15,133.0
Norway,Møre og Romsdal,,,2020-05-18,133.0
Norway,Møre og Romsdal,,,2020-05-19,133.0
Norway,Møre og Romsdal,,,2020-05-20,133.0
Norway,Møre og Romsdal,,,2020-05-21,133.0
Norway,Møre og Romsdal,,,2020-05-22,133.0
Norway,Møre og Romsdal,,,2020-05-23,133.0
Norway,Møre og Romsdal,,,2020-05-24,133.0
Norway,Møre og Romsdal,,,2020-05-25,133.0
Norway,Møre og Romsdal,,,2020-05-26,133.0
Norway,Møre og Romsdal,,,2020-05-27,133.0
Norway,Møre og Romsdal,,,2020-05-28,134.0
Norway,Møre og Romsdal,,,2020-05-29,134.0
Norway,Møre og Romsdal,,,2020-05-30,134.0
Norway,Møre og Romsdal,,,2020-05-31,134.0
Norway,Møre og Romsdal,,,2020-06-01,134.0
Norway,Møre og Romsdal,,,2020-06-02,140.0
Norway,Møre og Romsdal,,,2020-06-03,142.0
Norway,Møre og Romsdal,,,2020-06-04,141.0
Norway,Møre og Romsdal,,,2020-06-05,145.0
Norway,Møre og Romsdal,,,2020-06-06,145.0
Norway,Møre og Romsdal,,,2020-06-07,145.0
Norway,Nordland,,,2020-03-20,17.0
Norway,Nordland,,,2020-03-21,17.0
Norway,Nordland,,,2020-03-22,19.0
Norway,Nordland,,,2020-03-23,19.0
Norway,Nordland,,,2020-03-24,18.0
Norway,Nordland,,,2020-03-25,22.0
Norway,Nordland,,,2020-03-26,29.0
Norway,Nordland,,,2020-03-27,36.0
Norway,Nordland,,,2020-03-28,42.0
Norway,Nordland,,,2020-03-29,46.0
Norway,Nordland,,,2020-03-30,48.0
Norway,Nordland,,,2020-03-31,52.0
Norway,Nordland,,,2020-04-01,62.0
Norway,Nordland,,,2020-04-02,68.0
Norway,Nordland,,,2020-04-03,71.0
Norway,Nordland,,,2020-04-04,74.0
Norway,Nordland,,,2020-04-05,75.0
Norway,Nordland,,,2020-04-06,76.0
Norway,Nordland,,,2020-04-07,77.0
Norway,Nordland,,,2020-04-08,84.0
Norway,Nordland,,,2020-04-09,86.0
Norway,Nordland,,,2020-04-10,87.0
Norway,Nordland,,,2020-04-11,90.0
Norway,Nordland,,,2020-04-12,91.0
Norway,Nordland,,,2020-04-13,95.0
Norway,Nordland,,,2020-04-15,97.0
Norway,Nordland,,,2020-04-16,104.0
Norway,Nordland,,,2020-04-18,108.0
Norway,Nordland,,,2020-04-19,109.0
Norway,Nordland,,,2020-04-20,109.0
Norway,Nordland,,,2020-04-21,110.0
Norway,Nordland,,,2020-04-22,110.0
Norway,Nordland,,,2020-04-23,110.0
Norway,Nordland,,,2020-04-24,113.0
Norway,Nordland,,,2020-04-27,113.0
Norway,Nordland,,,2020-04-28,114.0
Norway,Nordland,,,2020-04-29,114.0
Norway,Nordland,,,2020-04-30,114.0
Norway,Nordland,,,2020-05-07,115.0
Norway,Nordland,,,2020-05-09,115.0
Norway,Nordland,,,2020-05-11,115.0
Norway,Nordland,,,2020-05-12,116.0
Norway,Nordland,,,2020-05-13,117.0
Norway,Nordland,,,2020-05-14,117.0
Norway,Nordland,,,2020-05-15,117.0
Norway,Nordland,,,2020-05-18,117.0
Norway,Nordland,,,2020-05-19,117.0
Norway,Nordland,,,2020-05-20,117.0
Norway,Nordland,,,2020-05-21,117.0
Norway,Nordland,,,2020-05-22,118.0
Norway,Nordland,,,2020-05-23,118.0
Norway,Nordland,,,2020-05-24,118.0
Norway,Nordland,,,2020-05-25,121.0
Norway,Nordland,,,2020-05-26,121.0
Norway,Nordland,,,2020-05-27,121.0
Norway,Nordland,,,2020-05-28,121.0
Norway,Nordland,,,2020-05-29,121.0
Norway,Nordland,,,2020-05-30,121.0
Norway,Nordland,,,2020-05-31,121.0
Norway,Nordland,,,2020-06-01,121.0
Norway,Nordland,,,2020-06-02,121.0
Norway,Nordland,,,2020-06-03,121.0
Norway,Nordland,,,2020-06-04,121.0
Norway,Nordland,,,2020-06-05,121.0
Norway,Nordland,,,2020-06-06,121.0
Norway,Nordland,,,2020-06-07,121.0
Norway,Oslo,,,2020-03-20,419.0
Norway,Oslo,,,2020-03-21,448.0
Norway,Oslo,,,2020-03-22,523.0
Norway,Oslo,,,2020-03-23,523.0
Norway,Oslo,,,2020-03-24,657.0
Norway,Oslo,,,2020-03-25,719.0
Norway,Oslo,,,2020-03-26,744.0
Norway,Oslo,,,2020-03-27,903.0
Norway,Oslo,,,2020-03-28,989.0
Norway,Oslo,,,2020-03-29,1118.0
Norway,Oslo,,,2020-03-30,1169.0
Norway,Oslo,,,2020-03-31,1233.0
Norway,Oslo,,,2020-04-01,1281.0
Norway,Oslo,,,2020-04-02,1379.0
Norway,Oslo,,,2020-04-03,1438.0
Norway,Oslo,,,2020-04-04,1534.0
Norway,Oslo,,,2020-04-05,1582.0
Norway,Oslo,,,2020-04-06,1626.0
Norway,Oslo,,,2020-04-07,1673.0
Norway,Oslo,,,2020-04-08,1730.0
Norway,Oslo,,,2020-04-09,1780.0
Norway,Oslo,,,2020-04-10,1827.0
Norway,Oslo,,,2020-04-11,1866.0
Norway,Oslo,,,2020-04-12,1893.0
Norway,Oslo,,,2020-04-13,1960.0
Norway,Oslo,,,2020-04-15,1985.0
Norway,Oslo,,,2020-04-16,2031.0
Norway,Oslo,,,2020-04-18,2095.0
Norway,Oslo,,,2020-04-19,2132.0
Norway,Oslo,,,2020-04-20,2156.0
Norway,Oslo,,,2020-04-21,2177.0
Norway,Oslo,,,2020-04-22,2212.0
Norway,Oslo,,,2020-04-23,2252.0
Norway,Oslo,,,2020-04-24,2273.0
Norway,Oslo,,,2020-04-27,2324.0
Norway,Oslo,,,2020-04-28,2339.0
Norway,Oslo,,,2020-04-29,2354.0
Norway,Oslo,,,2020-04-30,2364.0
Norway,Oslo,,,2020-05-07,2470.0
Norway,Oslo,,,2020-05-09,2470.0
Norway,Oslo,,,2020-05-11,2470.0
Norway,Oslo,,,2020-05-12,2537.0
Norway,Oslo,,,2020-05-13,2547.0
Norway,Oslo,,,2020-05-14,2551.0
Norway,Oslo,,,2020-05-15,2568.0
Norway,Oslo,,,2020-05-18,2568.0
Norway,Oslo,,,2020-05-19,2572.0
Norway,Oslo,,,2020-05-20,2572.0
Norway,Oslo,,,2020-05-21,2572.0
Norway,Oslo,,,2020-05-22,2589.0
Norway,Oslo,,,2020-05-23,2589.0
Norway,Oslo,,,2020-05-24,2589.0
Norway,Oslo,,,2020-05-25,2607.0
Norway,Oslo,,,2020-05-26,2614.0
Norway,Oslo,,,2020-05-27,2620.0
Norway,Oslo,,,2020-05-28,2625.0
Norway,Oslo,,,2020-05-29,2632.0
Norway,Oslo,,,2020-05-30,2632.0
Norway,Oslo,,,2020-05-31,2632.0
Norway,Oslo,,,2020-06-01,2632.0
Norway,Oslo,,,2020-06-02,2641.0
Norway,Oslo,,,2020-06-03,2643.0
Norway,Oslo,,,2020-06-04,2660.0
Norway,Oslo,,,2020-06-05,2676.0
Norway,Oslo,,,2020-06-06,2676.0
Norway,Oslo,,,2020-06-07,2676.0
Norway,Outside Mainland Norway,,,2020-03-31,1.0
Norway,Rogaland,,,2020-03-20,180.0
Norway,Rogaland,,,2020-03-21,199.0
Norway,Rogaland,,,2020-03-22,219.0
Norway,Rogaland,,,2020-03-23,219.0
Norway,Rogaland,,,2020-03-24,251.0
Norway,Rogaland,,,2020-03-25,266.0
Norway,Rogaland,,,2020-03-26,270.0
