adm0,adm1,adm2,adm3,date,confirmedCount
Philippines,Abra,,,2020-03-14,1.0
Philippines,Abra,,,2020-03-15,1.0
Philippines,Abra,,,2020-03-16,1.0
Philippines,Abra,,,2020-03-17,1.0
Philippines,Abra,,,2020-03-18,1.0
Philippines,Abra,,,2020-03-19,1.0
Philippines,Abra,,,2020-03-20,1.0
Philippines,Abra,,,2020-03-21,1.0
Philippines,Abra,,,2020-03-22,1.0
Philippines,Abra,,,2020-03-23,1.0
Philippines,Abra,,,2020-03-24,1.0
Philippines,Abra,,,2020-03-25,1.0
Philippines,Abra,,,2020-03-26,1.0
Philippines,Abra,,,2020-03-27,1.0
Philippines,Abra,,,2020-03-28,1.0
Philippines,Abra,,,2020-03-29,1.0
Philippines,Abra,,,2020-03-30,1.0
Philippines,Abra,,,2020-03-31,1.0
Philippines,Abra,,,2020-04-01,2.0
Philippines,Abra,Sallapadan,,2020-04-01,1.0
Philippines,Aklan,,,2020-03-27,3.0
Philippines,Aklan,,,2020-03-28,3.0
Philippines,Aklan,,,2020-03-29,3.0
Philippines,Aklan,,,2020-03-30,3.0
Philippines,Aklan,,,2020-03-31,4.0
Philippines,Aklan,Kalibo,,2020-03-27,1.0
Philippines,Aklan,Kalibo,,2020-03-28,1.0
Philippines,Aklan,Kalibo,,2020-03-29,1.0
Philippines,Aklan,Kalibo,,2020-03-30,1.0
Philippines,Aklan,Kalibo,,2020-03-31,2.0
Philippines,Aklan,Libacao,,2020-03-27,1.0
Philippines,Aklan,Malay,,2020-03-27,1.0
Philippines,Bataan,,,2020-03-13,1.0
Philippines,Bataan,,,2020-03-14,1.0
Philippines,Bataan,,,2020-03-15,1.0
Philippines,Bataan,,,2020-03-16,1.0
Philippines,Bataan,,,2020-03-17,1.0
Philippines,Bataan,,,2020-03-18,1.0
Philippines,Bataan,,,2020-03-19,1.0
Philippines,Bataan,,,2020-03-20,1.0
Philippines,Bataan,,,2020-03-21,1.0
Philippines,Bataan,,,2020-03-22,1.0
Philippines,Bataan,,,2020-03-23,1.0
Philippines,Bataan,,,2020-03-24,2.0
Philippines,Bataan,,,2020-03-25,2.0
Philippines,Bataan,,,2020-03-26,3.0
Philippines,Bataan,,,2020-03-27,4.0
Philippines,Bataan,Balanga City,,2020-03-27,1.0
Philippines,Bataan,Orion,,2020-03-24,1.0
Philippines,Bataan,Samal,,2020-03-26,1.0
Philippines,Batangas,,,2020-03-11,2.0
Philippines,Batangas,,,2020-03-12,2.0
Philippines,Batangas,,,2020-03-13,2.0
Philippines,Batangas,,,2020-03-14,3.0
Philippines,Batangas,,,2020-03-15,3.0
Philippines,Batangas,,,2020-03-16,4.0
Philippines,Batangas,,,2020-03-17,4.0
Philippines,Batangas,,,2020-03-18,4.0
Philippines,Batangas,,,2020-03-19,4.0
Philippines,Batangas,,,2020-03-20,7.0
Philippines,Batangas,,,2020-03-21,7.0
Philippines,Batangas,,,2020-03-22,7.0
Philippines,Batangas,,,2020-03-23,8.0
Philippines,Batangas,,,2020-03-24,8.0
Philippines,Batangas,,,2020-03-25,8.0
Philippines,Batangas,,,2020-03-26,9.0
Philippines,Batangas,,,2020-03-27,9.0
Philippines,Batangas,,,2020-03-28,13.0
Philippines,Batangas,,,2020-03-29,14.0
Philippines,Batangas,Batangas City,,2020-03-20,2.0
Philippines,Batangas,Batangas City,,2020-03-21,2.0
Philippines,Batangas,Batangas City,,2020-03-22,2.0
Philippines,Batangas,Batangas City,,2020-03-23,3.0
Philippines,Batangas,Batangas City,,2020-03-24,3.0
Philippines,Batangas,Batangas City,,2020-03-25,3.0
