adm0,adm1,adm2,adm3,date,confirmedCount,deadCount
Poland,Greater Poland,,,2020-03-18,13.0,1.0
Poland,Greater Poland,,,2020-03-19,15.0,1.0
Poland,Greater Poland,,,2020-03-20,18.0,1.0
Poland,Greater Poland,,,2020-03-21,31.0,1.0
Poland,Greater Poland,,,2020-03-22,36.0,2.0
Poland,Greater Poland,,,2020-03-23,41.0,2.0
Poland,Greater Poland,,,2020-03-24,42.0,2.0
Poland,Greater Poland,,,2020-03-25,57.0,2.0
Poland,Greater Poland,,,2020-03-26,69.0,2.0
Poland,Greater Poland,,,2020-03-27,90.0,2.0
Poland,Greater Poland,,,2020-03-28,99.0,2.0
Poland,Greater Poland,,,2020-03-29,108.0,2.0
Poland,Greater Poland,,,2020-03-30,132.0,3.0
Poland,Greater Poland,,,2020-03-31,148.0,3.0
Poland,Greater Poland,,,2020-04-01,169.0,6.0
Poland,Greater Poland,,,2020-04-02,195.0,8.0
Poland,Greater Poland,,,2020-04-03,213.0,12.0
Poland,Greater Poland,,,2020-04-04,233.0,13.0
Poland,Greater Poland,,,2020-04-05,273.0,14.0
Poland,Greater Poland,,,2020-04-06,327.0,15.0
Poland,Greater Poland,,,2020-04-07,349.0,22.0
Poland,Greater Poland,,,2020-04-08,394.0,23.0
Poland,Greater Poland,,,2020-04-09,431.0,24.0
Poland,Greater Poland,,,2020-04-10,477.0,26.0
Poland,Greater Poland,,,2020-04-11,535.0,31.0
Poland,Greater Poland,,,2020-04-12,564.0,35.0
Poland,Greater Poland,,,2020-04-13,650.0,40.0
Poland,Greater Poland,,,2020-04-14,683.0,43.0
Poland,Greater Poland,,,2020-04-15,785.0,43.0
Poland,Greater Poland,,,2020-04-16,829.0,45.0
Poland,Greater Poland,,,2020-04-17,880.0,48.0
Poland,Greater Poland,,,2020-04-18,898.0,49.0
Poland,Greater Poland,,,2020-04-19,1020.0,51.0
Poland,Greater Poland,,,2020-04-20,1050.0,57.0
Poland,Greater Poland,,,2020-04-21,1081.0,61.0
Poland,Greater Poland,,,2020-04-22,1099.0,66.0
Poland,Greater Poland,,,2020-04-23,1166.0,68.0
