adm0,adm1,adm2,adm3,date,confirmedCount,deadCount
Portugal,,,,2020-02-26,,0.0
Portugal,,,,2020-02-27,,0.0
Portugal,,,,2020-02-28,,0.0
Portugal,,,,2020-02-29,,0.0
Portugal,,,,2020-03-01,,0.0
Portugal,,,,2020-03-02,,0.0
Portugal,,,,2020-03-03,,0.0
Portugal,,,,2020-03-04,,0.0
Portugal,,,,2020-03-05,,0.0
Portugal,,,,2020-03-06,,0.0
Portugal,,,,2020-03-07,,0.0
Portugal,,,,2020-03-08,,0.0
Portugal,,,,2020-03-09,,0.0
Portugal,,,,2020-03-10,,0.0
Portugal,,,,2020-03-11,,0.0
Portugal,,,,2020-03-12,,0.0
Portugal,,,,2020-03-13,,0.0
Portugal,,,,2020-03-14,,0.0
Portugal,,,,2020-03-15,1746.0,0.0
Portugal,,,,2020-03-16,2203.0,0.0
Portugal,,,,2020-03-17,3259.0,1.0
Portugal,,,,2020-03-18,4074.0,1.0
Portugal,,,,2020-03-19,4788.0,3.0
Portugal,,,,2020-03-20,5862.0,6.0
Portugal,,,,2020-03-21,7515.0,12.0
Portugal,,,,2020-03-22,9027.0,14.0
Portugal,,,,2020-03-23,10212.0,23.0
Portugal,,,,2020-03-24,11329.0,33.0
Portugal,,,,2020-03-25,16569.0,43.0
Portugal,,,,2020-03-26,16718.0,60.0
Portugal,,,,2020-03-27,17168.0,76.0
Portugal,,,,2020-03-28,22646.0,100.0
Portugal,,,,2020-03-29,26572.0,119.0
Portugal,,,,2020-03-30,32953.0,140.0
Portugal,,,,2020-03-31,40033.0,160.0
Portugal,,,,2020-04-01,46249.0,187.0
Portugal,,,,2020-04-02,52903.0,209.0
Portugal,,,,2020-04-03,59099.0,246.0
Portugal,,,,2020-04-04,65045.0,266.0
Portugal,,,,2020-04-05,70130.0,295.0
Portugal,,,,2020-04-06,75564.0,311.0
Portugal,,,,2020-04-07,82846.0,345.0
Portugal,,,,2020-04-08,85842.0,380.0
Portugal,,,,2020-04-09,97401.0,409.0
Portugal,,,,2020-04-10,103583.0,435.0
Portugal,,,,2020-04-11,110352.0,470.0
Portugal,,,,2020-04-12,116047.0,504.0
Portugal,,,,2020-04-13,118986.0,535.0
Portugal,,,,2020-04-14,122592.0,567.0
Portugal,,,,2020-04-15,128653.0,599.0
Portugal,,,,2020-04-16,131976.0,629.0
Portugal,,,,2020-04-17,135113.0,657.0
Portugal,,,,2020-04-18,137860.0,687.0
Portugal,,,,2020-04-19,162439.0,714.0
Portugal,,,,2020-04-20,172751.0,735.0
Portugal,,,,2020-04-21,176381.0,762.0
Portugal,,,,2020-04-22,185101.0,785.0
Portugal,,,,2020-04-23,193447.0,820.0
Portugal,,,,2020-04-24,200219.0,854.0
Portugal,,,,2020-04-25,203562.0,880.0
Portugal,,,,2020-04-26,207873.0,903.0
Portugal,,,,2020-04-27,208453.0,928.0
Portugal,,,,2020-04-28,211180.0,948.0
Portugal,,,,2020-04-29,215325.0,973.0
Portugal,,,,2020-04-30,218857.0,989.0
Portugal,,,,2020-05-01,222090.0,1007.0
Portugal,,,,2020-05-02,223777.0,1023.0
Portugal,,,,2020-05-03,223916.0,1043.0
Portugal,,,,2020-05-04,226226.0,1063.0
Portugal,,,,2020-05-05,230115.0,1074.0
Portugal,,,,2020-05-06,233367.0,1089.0
Portugal,,,,2020-05-07,236191.0,1105.0
Portugal,,,,2020-05-08,239014.0,1114.0
Portugal,,,,2020-05-09,242082.0,1126.0
Portugal,,,,2020-05-10,244201.0,1135.0
Portugal,,,,2020-05-11,245832.0,1144.0
Portugal,,,,2020-05-12,249301.0,1163.0
Portugal,,,,2020-05-13,252143.0,1175.0
Portugal,,,,2020-05-14,255290.0,1184.0
Portugal,,,,2020-05-15,258004.0,1190.0
Portugal,,,,2020-05-16,260499.0,1203.0
Portugal,,,,2020-05-17,262269.0,1218.0
Portugal,,,,2020-05-18,263980.0,1231.0
Portugal,,,,2020-05-19,266720.0,1247.0
Portugal,,,,2020-05-20,269160.0,1263.0
Portugal,,,,2020-05-21,271774.0,1277.0
Portugal,,,,2020-05-22,273714.0,1289.0
Portugal,,,,2020-05-23,275805.0,1302.0
Portugal,,,,2020-05-24,277228.0,1316.0
Portugal,,,,2020-05-25,278536.0,1330.0
Portugal,,,,2020-05-26,281064.0,1342.0
Portugal,,,,2020-05-27,283186.0,1356.0
Portugal,,,,2020-05-28,285904.0,1369.0
Portugal,,,,2020-05-29,287776.0,1383.0
Portugal,,,,2020-05-30,289326.0,1396.0
Portugal,,,,2020-05-31,290510.0,1410.0
Portugal,,,,2020-06-01,291858.0,1424.0
Portugal,,,,2020-06-02,294112.0,1436.0
Portugal,,,,2020-06-03,295889.0,1447.0
Portugal,,,,2020-06-04,297773.0,1455.0
Portugal,,,,2020-06-05,299318.0,1465.0
Portugal,,,,2020-06-06,301169.0,1474.0
Portugal,Alentejo,,,2020-02-26,0.0,0.0
Portugal,Alentejo,,,2020-02-27,0.0,0.0
Portugal,Alentejo,,,2020-02-28,0.0,0.0
Portugal,Alentejo,,,2020-02-29,0.0,0.0
Portugal,Alentejo,,,2020-03-01,0.0,0.0
Portugal,Alentejo,,,2020-03-02,0.0,0.0
Portugal,Alentejo,,,2020-03-03,0.0,0.0
Portugal,Alentejo,,,2020-03-04,0.0,0.0
Portugal,Alentejo,,,2020-03-05,0.0,0.0
Portugal,Alentejo,,,2020-03-06,0.0,0.0
Portugal,Alentejo,,,2020-03-07,0.0,0.0
Portugal,Alentejo,,,2020-03-08,0.0,0.0
Portugal,Alentejo,,,2020-03-09,0.0,0.0
Portugal,Alentejo,,,2020-03-10,0.0,0.0
Portugal,Alentejo,,,2020-03-11,0.0,0.0
Portugal,Alentejo,,,2020-03-12,0.0,0.0
Portugal,Alentejo,,,2020-03-13,0.0,0.0
Portugal,Alentejo,,,2020-03-14,0.0,0.0
Portugal,Alentejo,,,2020-03-15,0.0,0.0
Portugal,Alentejo,,,2020-03-16,0.0,0.0
Portugal,Alentejo,,,2020-03-17,0.0,0.0
Portugal,Alentejo,,,2020-03-18,2.0,0.0
Portugal,Alentejo,,,2020-03-19,2.0,0.0
Portugal,Alentejo,,,2020-03-20,2.0,0.0
Portugal,Alentejo,,,2020-03-21,3.0,0.0
Portugal,Alentejo,,,2020-03-22,5.0,0.0
Portugal,Alentejo,,,2020-03-23,5.0,0.0
Portugal,Alentejo,,,2020-03-24,6.0,0.0
Portugal,Alentejo,,,2020-03-25,12.0,0.0
Portugal,Alentejo,,,2020-03-26,20.0,0.0
Portugal,Alentejo,,,2020-03-27,30.0,0.0
Portugal,Alentejo,,,2020-03-28,34.0,0.0
Portugal,Alentejo,,,2020-03-29,41.0,0.0
Portugal,Alentejo,,,2020-03-30,45.0,0.0
Portugal,Alentejo,,,2020-03-31,50.0,0.0
Portugal,Alentejo,,,2020-04-01,54.0,0.0
Portugal,Alentejo,,,2020-04-02,59.0,0.0
Portugal,Alentejo,,,2020-04-03,62.0,1.0
Portugal,Alentejo,,,2020-04-04,63.0,0.0
Portugal,Alentejo,,,2020-04-05,82.0,0.0
Portugal,Alentejo,,,2020-04-06,84.0,0.0
Portugal,Alentejo,,,2020-04-07,85.0,0.0
Portugal,Alentejo,,,2020-04-08,93.0,0.0
Portugal,Alentejo,,,2020-04-09,94.0,0.0
Portugal,Alentejo,,,2020-04-10,125.0,0.0
Portugal,Alentejo,,,2020-04-11,130.0,0.0
Portugal,Alentejo,,,2020-04-12,139.0,0.0
Portugal,Alentejo,,,2020-04-13,140.0,0.0
Portugal,Alentejo,,,2020-04-14,155.0,0.0
Portugal,Alentejo,,,2020-04-15,155.0,0.0
Portugal,Alentejo,,,2020-04-16,156.0,0.0
Portugal,Alentejo,,,2020-04-17,158.0,0.0
Portugal,Alentejo,,,2020-04-18,158.0,0.0
Portugal,Alentejo,,,2020-04-19,158.0,0.0
Portugal,Alentejo,,,2020-04-20,161.0,0.0
Portugal,Alentejo,,,2020-04-21,173.0,0.0
Portugal,Alentejo,,,2020-04-22,176.0,1.0
Portugal,Alentejo,,,2020-04-23,181.0,1.0
Portugal,Alentejo,,,2020-04-24,183.0,1.0
Portugal,Alentejo,,,2020-04-25,185.0,1.0
Portugal,Alentejo,,,2020-04-26,187.0,1.0
Portugal,Alentejo,,,2020-04-27,189.0,1.0
Portugal,Alentejo,,,2020-04-28,201.0,1.0
Portugal,Alentejo,,,2020-04-29,214.0,1.0
Portugal,Alentejo,,,2020-04-30,218.0,1.0
Portugal,Alentejo,,,2020-05-01,218.0,1.0
Portugal,Alentejo,,,2020-05-02,218.0,1.0
Portugal,Alentejo,,,2020-05-03,218.0,1.0
Portugal,Alentejo,,,2020-05-04,218.0,1.0
Portugal,Alentejo,,,2020-05-05,220.0,1.0
Portugal,Alentejo,,,2020-05-06,220.0,1.0
Portugal,Alentejo,,,2020-05-07,220.0,1.0
Portugal,Alentejo,,,2020-05-08,232.0,1.0
Portugal,Alentejo,,,2020-05-09,235.0,1.0
Portugal,Alentejo,,,2020-05-10,235.0,1.0
Portugal,Alentejo,,,2020-05-11,237.0,1.0
Portugal,Alentejo,,,2020-05-12,238.0,1.0
Portugal,Alentejo,,,2020-05-13,238.0,1.0
Portugal,Alentejo,,,2020-05-14,238.0,1.0
Portugal,Alentejo,,,2020-05-15,240.0,1.0
Portugal,Alentejo,,,2020-05-16,241.0,1.0
Portugal,Alentejo,,,2020-05-17,242.0,1.0
Portugal,Alentejo,,,2020-05-18,243.0,1.0
Portugal,Alentejo,,,2020-05-19,245.0,1.0
Portugal,Alentejo,,,2020-05-20,248.0,1.0
Portugal,Alentejo,,,2020-05-21,250.0,1.0
Portugal,Alentejo,,,2020-05-22,251.0,1.0
Portugal,Alentejo,,,2020-05-23,253.0,1.0
Portugal,Alentejo,,,2020-05-24,253.0,1.0
Portugal,Alentejo,,,2020-05-25,253.0,1.0
Portugal,Alentejo,,,2020-05-26,254.0,1.0
Portugal,Alentejo,,,2020-05-27,256.0,1.0
Portugal,Alentejo,,,2020-05-28,257.0,1.0
Portugal,Alentejo,,,2020-05-29,259.0,1.0
Portugal,Alentejo,,,2020-05-30,259.0,1.0
Portugal,Alentejo,,,2020-05-31,259.0,1.0
Portugal,Alentejo,,,2020-06-01,259.0,1.0
Portugal,Alentejo,,,2020-06-02,260.0,1.0
Portugal,Alentejo,,,2020-06-03,260.0,1.0
Portugal,Alentejo,,,2020-06-04,262.0,1.0
Portugal,Alentejo,,,2020-06-05,263.0,1.0
Portugal,Alentejo,,,2020-06-06,266.0,1.0
Portugal,Algarve,,,2020-02-26,0.0,0.0
Portugal,Algarve,,,2020-02-27,0.0,0.0
Portugal,Algarve,,,2020-02-28,0.0,0.0
Portugal,Algarve,,,2020-02-29,0.0,0.0
Portugal,Algarve,,,2020-03-01,0.0,0.0
Portugal,Algarve,,,2020-03-02,0.0,0.0
Portugal,Algarve,,,2020-03-03,0.0,0.0
Portugal,Algarve,,,2020-03-04,0.0,0.0
Portugal,Algarve,,,2020-03-05,0.0,0.0
Portugal,Algarve,,,2020-03-06,0.0,0.0
Portugal,Algarve,,,2020-03-07,0.0,0.0
Portugal,Algarve,,,2020-03-08,1.0,0.0
Portugal,Algarve,,,2020-03-09,2.0,0.0
Portugal,Algarve,,,2020-03-10,2.0,0.0
Portugal,Algarve,,,2020-03-11,3.0,0.0
Portugal,Algarve,,,2020-03-12,5.0,0.0
Portugal,Algarve,,,2020-03-13,6.0,0.0
Portugal,Algarve,,,2020-03-14,7.0,0.0
Portugal,Algarve,,,2020-03-15,10.0,0.0
Portugal,Algarve,,,2020-03-16,13.0,0.0
Portugal,Algarve,,,2020-03-17,14.0,0.0
Portugal,Algarve,,,2020-03-18,21.0,0.0
Portugal,Algarve,,,2020-03-19,25.0,0.0
Portugal,Algarve,,,2020-03-20,29.0,1.0
Portugal,Algarve,,,2020-03-21,31.0,1.0
Portugal,Algarve,,,2020-03-22,35.0,1.0
Portugal,Algarve,,,2020-03-23,42.0,1.0
Portugal,Algarve,,,2020-03-24,46.0,1.0
Portugal,Algarve,,,2020-03-25,62.0,1.0
Portugal,Algarve,,,2020-03-26,89.0,1.0
Portugal,Algarve,,,2020-03-27,99.0,1.0
Portugal,Algarve,,,2020-03-28,106.0,1.0
Portugal,Algarve,,,2020-03-29,108.0,2.0
Portugal,Algarve,,,2020-03-30,116.0,2.0
Portugal,Algarve,,,2020-03-31,137.0,2.0
Portugal,Algarve,,,2020-04-01,146.0,2.0
Portugal,Algarve,,,2020-04-02,164.0,3.0
Portugal,Algarve,,,2020-04-03,179.0,3.0
Portugal,Algarve,,,2020-04-04,182.0,5.0
Portugal,Algarve,,,2020-04-05,201.0,7.0
Portugal,Algarve,,,2020-04-06,229.0,7.0
Portugal,Algarve,,,2020-04-07,234.0,7.0
Portugal,Algarve,,,2020-04-08,251.0,8.0
Portugal,Algarve,,,2020-04-09,260.0,8.0
Portugal,Algarve,,,2020-04-10,279.0,8.0
Portugal,Algarve,,,2020-04-11,279.0,9.0
Portugal,Algarve,,,2020-04-12,279.0,9.0
Portugal,Algarve,,,2020-04-13,284.0,9.0
Portugal,Algarve,,,2020-04-14,289.0,9.0
Portugal,Algarve,,,2020-04-15,295.0,9.0
Portugal,Algarve,,,2020-04-16,300.0,9.0
Portugal,Algarve,,,2020-04-17,305.0,9.0
Portugal,Algarve,,,2020-04-18,306.0,9.0
Portugal,Algarve,,,2020-04-19,310.0,10.0
Portugal,Algarve,,,2020-04-20,311.0,11.0
Portugal,Algarve,,,2020-04-21,313.0,11.0
Portugal,Algarve,,,2020-04-22,316.0,11.0
Portugal,Algarve,,,2020-04-23,318.0,11.0
Portugal,Algarve,,,2020-04-24,320.0,11.0
Portugal,Algarve,,,2020-04-25,320.0,11.0
Portugal,Algarve,,,2020-04-26,322.0,12.0
Portugal,Algarve,,,2020-04-27,328.0,12.0
Portugal,Algarve,,,2020-04-28,330.0,12.0
Portugal,Algarve,,,2020-04-29,330.0,13.0
Portugal,Algarve,,,2020-04-30,331.0,13.0
Portugal,Algarve,,,2020-05-01,331.0,13.0
Portugal,Algarve,,,2020-05-02,331.0,13.0
Portugal,Algarve,,,2020-05-03,331.0,13.0
Portugal,Algarve,,,2020-05-04,333.0,13.0
Portugal,Algarve,,,2020-05-05,335.0,13.0
Portugal,Algarve,,,2020-05-06,342.0,13.0
Portugal,Algarve,,,2020-05-07,343.0,13.0
Portugal,Algarve,,,2020-05-08,345.0,13.0
Portugal,Algarve,,,2020-05-09,345.0,13.0
Portugal,Algarve,,,2020-05-10,346.0,13.0
Portugal,Algarve,,,2020-05-11,348.0,14.0
Portugal,Algarve,,,2020-05-12,350.0,14.0
Portugal,Algarve,,,2020-05-13,351.0,14.0
Portugal,Algarve,,,2020-05-14,354.0,14.0
Portugal,Algarve,,,2020-05-15,355.0,14.0
Portugal,Algarve,,,2020-05-16,356.0,15.0
Portugal,Algarve,,,2020-05-17,356.0,15.0
Portugal,Algarve,,,2020-05-18,356.0,15.0
Portugal,Algarve,,,2020-05-19,356.0,15.0
Portugal,Algarve,,,2020-05-20,356.0,15.0
Portugal,Algarve,,,2020-05-21,357.0,15.0
Portugal,Algarve,,,2020-05-22,358.0,15.0
Portugal,Algarve,,,2020-05-23,361.0,15.0
Portugal,Algarve,,,2020-05-24,361.0,15.0
Portugal,Algarve,,,2020-05-25,361.0,15.0
Portugal,Algarve,,,2020-05-26,363.0,15.0
Portugal,Algarve,,,2020-05-27,363.0,15.0
Portugal,Algarve,,,2020-05-28,366.0,15.0
Portugal,Algarve,,,2020-05-29,366.0,15.0
Portugal,Algarve,,,2020-05-30,367.0,15.0
Portugal,Algarve,,,2020-05-31,370.0,15.0
Portugal,Algarve,,,2020-06-01,372.0,15.0
Portugal,Algarve,,,2020-06-02,372.0,15.0
Portugal,Algarve,,,2020-06-03,376.0,15.0
Portugal,Algarve,,,2020-06-04,376.0,15.0
Portugal,Algarve,,,2020-06-05,380.0,15.0
Portugal,Algarve,,,2020-06-06,382.0,15.0
Portugal,Azores,,,2020-02-26,0.0,0.0
