adm0,adm1,adm2,adm3,date,confirmedCount
Romania,Alba,,,2020-04-02,9.0
Romania,Alba,,,2020-04-03,13.0
Romania,Alba,,,2020-04-04,15.0
Romania,Alba,,,2020-04-05,33.0
Romania,Alba,,,2020-04-06,34.0
Romania,Alba,,,2020-04-07,50.0
Romania,Alba,,,2020-04-08,83.0
Romania,Alba,,,2020-04-09,90.0
Romania,Alba,,,2020-04-10,100.0
Romania,Alba,,,2020-04-11,103.0
Romania,Alba,,,2020-04-12,108.0
Romania,Alba,,,2020-04-13,109.0
Romania,Alba,,,2020-04-14,118.0
Romania,Alba,,,2020-04-15,133.0
Romania,Alba,,,2020-04-16,141.0
Romania,Alba,,,2020-04-17,141.0
Romania,Alba,,,2020-04-18,154.0
Romania,Alba,,,2020-04-19,155.0
Romania,Alba,,,2020-04-20,155.0
Romania,Alba,,,2020-04-21,155.0
Romania,Alba,,,2020-04-22,160.0
Romania,Alba,,,2020-04-23,161.0
Romania,Alba,,,2020-04-24,159.0
Romania,Alba,,,2020-04-25,158.0
Romania,Alba,,,2020-04-26,161.0
Romania,Alba,,,2020-04-27,165.0
Romania,Alba,,,2020-04-28,167.0
Romania,Alba,,,2020-04-29,171.0
Romania,Alba,,,2020-04-30,195.0
Romania,Alba,,,2020-05-01,204.0
Romania,Alba,,,2020-05-02,206.0
Romania,Alba,,,2020-05-03,208.0
Romania,Alba,,,2020-05-04,211.0
Romania,Alba,,,2020-05-05,211.0
Romania,Alba,,,2020-05-06,214.0
Romania,Alba,,,2020-05-07,223.0
Romania,Alba,,,2020-05-08,225.0
Romania,Alba,,,2020-05-09,230.0
Romania,Alba,,,2020-05-10,237.0
Romania,Alba,,,2020-05-11,235.0
Romania,Alba,,,2020-05-12,250.0
Romania,Alba,,,2020-05-13,250.0
Romania,Alba,,,2020-05-14,250.0
Romania,Alba,,,2020-05-15,256.0
Romania,Alba,,,2020-05-16,265.0
Romania,Alba,,,2020-05-17,265.0
Romania,Alba,,,2020-05-18,267.0
Romania,Alba,,,2020-05-19,271.0
Romania,Alba,,,2020-05-20,274.0
Romania,Alba,,,2020-05-21,276.0
Romania,Alba,,,2020-05-22,281.0
Romania,Alba,,,2020-05-23,288.0
Romania,Alba,,,2020-05-24,318.0
Romania,Alba,,,2020-05-25,338.0
Romania,Alba,,,2020-05-26,350.0
Romania,Alba,,,2020-05-27,350.0
Romania,Alba,,,2020-05-28,370.0
Romania,Alba,,,2020-05-29,378.0
Romania,Alba,,,2020-05-30,382.0
Romania,Alba,,,2020-05-31,382.0
Romania,Alba,,,2020-06-01,385.0
Romania,Alba,,,2020-06-02,390.0
Romania,Alba,,,2020-06-03,394.0
Romania,Alba,,,2020-06-05,396.0
Romania,Alba,,,2020-06-06,396.0
Romania,Alba,,,2020-06-07,401.0
Romania,Arad,,,2020-04-02,110.0
Romania,Arad,,,2020-04-03,110.0
Romania,Arad,,,2020-04-04,128.0
Romania,Arad,,,2020-04-05,150.0
Romania,Arad,,,2020-04-06,157.0
Romania,Arad,,,2020-04-07,161.0
Romania,Arad,,,2020-04-08,161.0
Romania,Arad,,,2020-04-09,162.0
Romania,Arad,,,2020-04-10,179.0
Romania,Arad,,,2020-04-11,229.0
Romania,Arad,,,2020-04-12,249.0
Romania,Arad,,,2020-04-13,270.0
Romania,Arad,,,2020-04-14,280.0
Romania,Arad,,,2020-04-15,312.0
Romania,Arad,,,2020-04-16,339.0
Romania,Arad,,,2020-04-17,360.0
Romania,Arad,,,2020-04-18,391.0
Romania,Arad,,,2020-04-19,402.0
Romania,Arad,,,2020-04-20,410.0
Romania,Arad,,,2020-04-21,423.0
Romania,Arad,,,2020-04-22,421.0
Romania,Arad,,,2020-04-23,439.0
Romania,Arad,,,2020-04-24,471.0
Romania,Arad,,,2020-04-25,495.0
Romania,Arad,,,2020-04-26,508.0
Romania,Arad,,,2020-04-27,522.0
Romania,Arad,,,2020-04-28,541.0
Romania,Arad,,,2020-04-29,550.0
Romania,Arad,,,2020-04-30,565.0
Romania,Arad,,,2020-05-01,574.0
Romania,Arad,,,2020-05-02,576.0
Romania,Arad,,,2020-05-03,606.0
Romania,Arad,,,2020-05-04,614.0
Romania,Arad,,,2020-05-05,619.0
Romania,Arad,,,2020-05-06,625.0
Romania,Arad,,,2020-05-07,655.0
Romania,Arad,,,2020-05-08,664.0
Romania,Arad,,,2020-05-09,675.0
Romania,Arad,,,2020-05-10,678.0
Romania,Arad,,,2020-05-11,679.0
Romania,Arad,,,2020-05-12,680.0
Romania,Arad,,,2020-05-13,679.0
Romania,Arad,,,2020-05-14,688.0
Romania,Arad,,,2020-05-15,691.0
Romania,Arad,,,2020-05-16,691.0
Romania,Arad,,,2020-05-17,696.0
Romania,Arad,,,2020-05-18,696.0
Romania,Arad,,,2020-05-19,696.0
Romania,Arad,,,2020-05-20,697.0
Romania,Arad,,,2020-05-21,697.0
Romania,Arad,,,2020-05-22,695.0
Romania,Arad,,,2020-05-23,695.0
Romania,Arad,,,2020-05-24,695.0
Romania,Arad,,,2020-05-25,697.0
Romania,Arad,,,2020-05-26,696.0
Romania,Arad,,,2020-05-27,696.0
Romania,Arad,,,2020-05-28,696.0
Romania,Arad,,,2020-05-29,696.0
Romania,Arad,,,2020-05-30,697.0
Romania,Arad,,,2020-05-31,697.0
Romania,Arad,,,2020-06-01,697.0
Romania,Arad,,,2020-06-02,698.0
Romania,Arad,,,2020-06-03,698.0
Romania,Arad,,,2020-06-05,698.0
Romania,Arad,,,2020-06-06,698.0
Romania,Arad,,,2020-06-07,698.0
Romania,Argeș,,,2020-04-02,10.0
Romania,Argeș,,,2020-04-03,12.0
Romania,Argeș,,,2020-04-04,14.0
Romania,Argeș,,,2020-04-05,25.0
Romania,Argeș,,,2020-04-06,27.0
Romania,Argeș,,,2020-04-07,31.0
Romania,Argeș,,,2020-04-08,33.0
Romania,Argeș,,,2020-04-09,32.0
Romania,Argeș,,,2020-04-10,52.0
Romania,Argeș,,,2020-04-11,51.0
Romania,Argeș,,,2020-04-12,57.0
Romania,Argeș,,,2020-04-13,57.0
Romania,Argeș,,,2020-04-14,59.0
Romania,Argeș,,,2020-04-15,62.0
Romania,Argeș,,,2020-04-16,67.0
Romania,Argeș,,,2020-04-17,73.0
Romania,Argeș,,,2020-04-18,74.0
Romania,Argeș,,,2020-04-19,90.0
Romania,Argeș,,,2020-04-20,96.0
Romania,Argeș,,,2020-04-21,98.0
Romania,Argeș,,,2020-04-22,110.0
