adm0,adm1,adm2,adm3,date,confirmedCount,curedCount,deadCount
Russia,Altai Republic,,,2020-03-17,0.0,0.0,0.0
Russia,Altai Republic,,,2020-03-18,0.0,0.0,0.0
Russia,Altai Republic,,,2020-03-19,0.0,0.0,0.0
Russia,Altai Republic,,,2020-03-20,0.0,0.0,0.0
Russia,Altai Republic,,,2020-03-21,0.0,0.0,0.0
Russia,Altai Republic,,,2020-03-22,0.0,0.0,0.0
Russia,Altai Republic,,,2020-03-23,0.0,0.0,0.0
Russia,Altai Republic,,,2020-03-24,0.0,0.0,0.0
Russia,Altai Republic,,,2020-03-25,0.0,0.0,0.0
Russia,Altai Republic,,,2020-03-26,0.0,0.0,0.0
Russia,Altai Republic,,,2020-03-27,0.0,0.0,0.0
Russia,Altai Republic,,,2020-03-28,0.0,0.0,0.0
Russia,Altai Republic,,,2020-03-29,0.0,0.0,0.0
Russia,Altai Republic,,,2020-03-30,0.0,0.0,0.0
Russia,Altai Republic,,,2020-03-31,0.0,0.0,0.0
Russia,Altai Republic,,,2020-04-01,0.0,0.0,0.0
Russia,Altai Republic,,,2020-04-02,0.0,0.0,0.0
Russia,Altai Republic,,,2020-04-03,0.0,0.0,0.0
Russia,Altai Republic,,,2020-04-04,0.0,0.0,0.0
Russia,Altai Republic,,,2020-04-05,0.0,0.0,0.0
Russia,Altai Republic,,,2020-04-06,0.0,0.0,0.0
Russia,Altai Republic,,,2020-04-07,0.0,0.0,0.0
Russia,Altai Republic,,,2020-04-08,0.0,0.0,0.0
Russia,Altai Republic,,,2020-04-09,0.0,0.0,0.0
Russia,Altai Republic,,,2020-04-10,0.0,0.0,0.0
Russia,Altai Republic,,,2020-04-11,0.0,0.0,0.0
Russia,Altai Republic,,,2020-04-12,0.0,0.0,0.0
Russia,Altai Republic,,,2020-04-13,0.0,0.0,0.0
Russia,Altai Republic,,,2020-04-14,0.0,0.0,0.0
Russia,Altai Republic,,,2020-04-15,0.0,0.0,0.0
Russia,Altai Republic,,,2020-04-16,0.0,0.0,0.0
Russia,Altai Republic,,,2020-04-17,1.0,0.0,0.0
Russia,Altai Republic,,,2020-04-18,2.0,0.0,0.0
Russia,Altai Republic,,,2020-04-19,2.0,0.0,0.0
Russia,Altai Republic,,,2020-04-20,4.0,0.0,0.0
Russia,Altai Republic,,,2020-04-21,8.0,0.0,0.0
Russia,Altai Republic,,,2020-04-22,8.0,0.0,0.0
Russia,Altai Republic,,,2020-04-23,9.0,0.0,0.0
Russia,Altai Republic,,,2020-04-24,9.0,0.0,0.0
Russia,Altai Republic,,,2020-04-25,14.0,0.0,0.0
Russia,Altai Republic,,,2020-04-26,15.0,0.0,0.0
Russia,Altai Republic,,,2020-04-27,27.0,0.0,0.0
Russia,Altai Republic,,,2020-04-28,27.0,0.0,0.0
Russia,Altai Republic,,,2020-04-29,30.0,0.0,0.0
Russia,Altai Republic,,,2020-04-30,32.0,0.0,0.0
Russia,Altai Republic,,,2020-05-01,33.0,0.0,0.0
Russia,Altai Republic,,,2020-05-02,35.0,1.0,0.0
Russia,Altai Republic,,,2020-05-03,36.0,1.0,0.0
Russia,Altai Republic,,,2020-05-04,36.0,2.0,0.0
Russia,Altai Republic,,,2020-05-05,37.0,2.0,0.0
Russia,Altai Republic,,,2020-05-06,38.0,3.0,0.0
Russia,Altai Republic,,,2020-05-07,40.0,5.0,0.0
Russia,Altai Republic,,,2020-05-08,41.0,5.0,0.0
Russia,Altai Republic,,,2020-05-09,51.0,12.0,0.0
Russia,Altai Republic,,,2020-05-10,52.0,17.0,0.0
Russia,Altai Republic,,,2020-05-11,54.0,18.0,0.0
Russia,Altai Republic,,,2020-05-12,56.0,25.0,0.0
Russia,Altai Republic,,,2020-05-13,60.0,26.0,0.0
Russia,Altai Republic,,,2020-05-14,63.0,30.0,0.0
Russia,Altai Republic,,,2020-05-15,65.0,30.0,0.0
Russia,Altai Republic,,,2020-05-16,69.0,33.0,0.0
Russia,Altai Republic,,,2020-05-17,75.0,34.0,0.0
Russia,Altai Republic,,,2020-05-18,78.0,34.0,0.0
Russia,Altai Republic,,,2020-05-19,81.0,36.0,0.0
Russia,Altai Republic,,,2020-05-20,82.0,37.0,0.0
Russia,Altai Republic,,,2020-05-21,88.0,37.0,0.0
Russia,Altai Republic,,,2020-05-22,92.0,41.0,0.0
Russia,Altai Republic,,,2020-05-23,92.0,46.0,0.0
Russia,Altai Republic,,,2020-05-24,95.0,47.0,0.0
Russia,Altai Republic,,,2020-05-25,102.0,49.0,0.0
Russia,Altai Republic,,,2020-05-26,104.0,52.0,0.0
Russia,Altai Republic,,,2020-05-27,105.0,53.0,0.0
Russia,Altai Republic,,,2020-05-28,109.0,59.0,0.0
Russia,Altai Republic,,,2020-05-29,110.0,61.0,0.0
Russia,Altai Republic,,,2020-05-30,116.0,71.0,0.0
Russia,Altai Republic,,,2020-05-31,122.0,71.0,0.0
Russia,Altai Republic,,,2020-06-01,132.0,74.0,0.0
Russia,Altai Republic,,,2020-06-02,133.0,80.0,0.0
Russia,Altai Republic,,,2020-06-03,138.0,84.0,0.0
Russia,Altai Republic,,,2020-06-04,154.0,88.0,0.0
Russia,Altai Republic,,,2020-06-05,156.0,91.0,0.0
Russia,Altai Republic,,,2020-06-06,163.0,95.0,0.0
Russia,Altai Republic,,,2020-06-07,172.0,100.0,0.0
Russia,Altayskiy Kray,,,2020-03-17,0.0,0.0,0.0
Russia,Altayskiy Kray,,,2020-03-18,0.0,0.0,0.0
Russia,Altayskiy Kray,,,2020-03-19,0.0,0.0,0.0
