adm0,adm1,adm2,adm3,date,confirmedCount,curedCount,deadCount
,Al Bahah,,,2020-03-20,1.0,,
,Al Bahah,,,2020-03-21,1.0,,
,Al Bahah,,,2020-03-22,1.0,,
,Al Bahah,,,2020-03-23,1.0,,
,Al Bahah,,,2020-03-24,13.0,,
,Al Bahah,,,2020-03-25,13.0,,
,Al Bahah,,,2020-03-26,13.0,,
,Al Bahah,,,2020-03-27,13.0,,
,Al Bahah,,,2020-03-28,13.0,,
,Al Bahah,,,2020-03-29,13.0,,
,Al Bahah,,,2020-03-30,13.0,,
,Al Bahah,,,2020-03-31,13.0,,
,Al Bahah,,,2020-04-01,13.0,,
,Al Bahah,,,2020-04-02,13.0,,
,Al Bahah,,,2020-04-03,13.0,,
,Al Bahah,,,2020-04-04,13.0,4.0,
,Al Bahah,,,2020-04-05,14.0,4.0,
,Al Bahah,,,2020-04-06,14.0,4.0,
,Al Bahah,,,2020-04-07,14.0,4.0,
,Al Bahah,,,2020-04-08,15.0,4.0,
,Al Bahah,,,2020-04-09,15.0,4.0,
,Al Bahah,,,2020-04-10,15.0,4.0,
,Al Bahah,,,2020-04-11,15.0,4.0,
,Al Bahah,,,2020-04-12,15.0,4.0,
,Al Bahah,,,2020-04-13,16.0,4.0,
,Al Bahah,,,2020-04-14,24.0,4.0,
,Al Bahah,,,2020-04-15,24.0,14.0,
,Al Bahah,,,2020-04-16,24.0,14.0,
,Al Bahah,,,2020-04-17,24.0,14.0,
,Al Bahah,,,2020-04-18,25.0,14.0,
,Al Bahah,,,2020-04-19,25.0,14.0,
,Al Bahah,,,2020-04-20,29.0,14.0,
,Al Bahah,,,2020-04-21,29.0,15.0,
,Al Bahah,,,2020-04-22,32.0,15.0,
,Al Bahah,,,2020-04-23,33.0,15.0,
,Al Bahah,,,2020-04-24,41.0,19.0,
,Al Bahah,,,2020-04-25,41.0,19.0,
,Al Bahah,,,2020-04-26,46.0,19.0,
,Al Bahah,,,2020-04-27,46.0,22.0,
,Al Bahah,,,2020-04-28,51.0,34.0,
,Al Bahah,,,2020-04-29,52.0,34.0,
,Al Bahah,,,2020-04-30,58.0,34.0,
,Al Bahah,,,2020-05-01,61.0,34.0,
,Al Bahah,,,2020-05-02,74.0,34.0,
,Al Bahah,,,2020-05-03,74.0,34.0,
,Al Bahah,,,2020-05-04,75.0,34.0,
,Al Bahah,,,2020-05-05,75.0,34.0,
,Al Bahah,,,2020-05-06,75.0,34.0,
,Al Bahah,,,2020-05-07,77.0,48.0,
,Al Bahah,,,2020-05-08,78.0,48.0,
,Al Bahah,,,2020-05-09,82.0,54.0,
,Al Bahah,,,2020-05-10,83.0,54.0,
,Al Bahah,,,2020-05-11,101.0,54.0,
,Al Bahah,,,2020-05-12,104.0,54.0,
,Al Bahah,,,2020-05-13,110.0,59.0,
,Al Bahah,,,2020-05-14,112.0,61.0,
,Al Bahah,,,2020-05-15,114.0,64.0,
,Al Bahah,,,2020-05-16,121.0,67.0,
,Al Bahah,,,2020-05-17,122.0,67.0,
,Al Bahah,,,2020-05-18,123.0,67.0,
,Al Bahah,,,2020-05-19,125.0,76.0,
,Al Bahah,,,2020-05-20,135.0,77.0,
,Al Bahah,,,2020-05-21,143.0,77.0,
,Al Bahah,,,2020-05-22,146.0,82.0,
,Al Bahah,,,2020-05-23,148.0,83.0,
,Al Bahah,,,2020-05-24,148.0,85.0,
,Al Bahah,,,2020-05-25,154.0,91.0,
,Al Bahah,,,2020-05-26,164.0,95.0,
,Al Bahah,,,2020-05-27,164.0,98.0,
,Al Bahah,,,2020-05-28,167.0,98.0,
,Al Bahah,,,2020-05-29,169.0,108.0,
,Al Bahah,,,2020-05-30,176.0,110.0,
,Al Bahah,,,2020-05-31,176.0,110.0,
,Al Bahah,,,2020-06-01,185.0,116.0,
,Al Bahah,,,2020-06-02,188.0,120.0,
,Al Bahah,,,2020-06-03,196.0,143.0,
,Al Bahah,,,2020-06-04,196.0,146.0,
,Al Bahah,,,2020-06-05,202.0,151.0,1.0
,Al Bahah,,,2020-06-06,204.0,156.0,1.0
,Asir,,,2020-03-18,1.0,,
,Asir,,,2020-03-19,2.0,,
,Asir,,,2020-03-20,3.0,,
,Asir,,,2020-03-21,3.0,,
,Asir,,,2020-03-22,3.0,,
,Asir,,,2020-03-23,8.0,,
,Asir,,,2020-03-24,22.0,,
,Asir,,,2020-03-25,24.0,,
,Asir,,,2020-03-26,24.0,,
,Asir,,,2020-03-27,24.0,,
,Asir,,,2020-03-28,28.0,,
,Asir,,,2020-03-29,29.0,1.0,
,Asir,,,2020-03-30,30.0,1.0,
,Asir,,,2020-03-31,32.0,1.0,
,Asir,,,2020-04-01,32.0,1.0,
,Asir,,,2020-04-02,42.0,7.0,1.0
,Asir,,,2020-04-03,45.0,12.0,1.0
,Asir,,,2020-04-04,47.0,20.0,1.0
,Asir,,,2020-04-05,55.0,21.0,1.0
,Asir,,,2020-04-06,69.0,24.0,1.0
,Asir,,,2020-04-07,74.0,24.0,1.0
,Asir,,,2020-04-08,77.0,24.0,1.0
,Asir,,,2020-04-09,77.0,24.0,1.0
,Asir,,,2020-04-10,80.0,24.0,1.0
,Asir,,,2020-04-11,85.0,24.0,1.0
,Asir,,,2020-04-12,92.0,24.0,1.0
,Asir,,,2020-04-13,94.0,24.0,1.0
,Asir,,,2020-04-14,94.0,24.0,1.0
,Asir,,,2020-04-15,97.0,24.0,1.0
,Asir,,,2020-04-16,100.0,24.0,1.0
,Asir,,,2020-04-17,105.0,48.0,1.0
,Asir,,,2020-04-18,106.0,50.0,1.0
,Asir,,,2020-04-19,110.0,51.0,1.0
,Asir,,,2020-04-20,112.0,51.0,1.0
,Asir,,,2020-04-21,130.0,68.0,1.0
,Asir,,,2020-04-22,131.0,72.0,1.0
,Asir,,,2020-04-23,152.0,74.0,1.0
,Asir,,,2020-04-24,155.0,75.0,1.0
,Asir,,,2020-04-25,157.0,75.0,1.0
,Asir,,,2020-04-26,159.0,82.0,1.0
,Asir,,,2020-04-27,165.0,83.0,1.0
,Asir,,,2020-04-28,172.0,83.0,1.0
,Asir,,,2020-04-29,173.0,84.0,1.0
,Asir,,,2020-04-30,173.0,87.0,1.0
,Asir,,,2020-05-01,199.0,89.0,1.0
,Asir,,,2020-05-02,221.0,96.0,1.0
,Asir,,,2020-05-03,229.0,101.0,1.0
,Asir,,,2020-05-04,241.0,109.0,1.0
,Asir,,,2020-05-05,268.0,117.0,1.0
,Asir,,,2020-05-06,272.0,117.0,1.0
,Asir,,,2020-05-07,304.0,120.0,1.0
,Asir,,,2020-05-08,316.0,140.0,1.0
,Asir,,,2020-05-09,332.0,166.0,1.0
,Asir,,,2020-05-10,356.0,176.0,1.0
,Asir,,,2020-05-11,366.0,180.0,1.0
,Asir,,,2020-05-12,367.0,219.0,1.0
,Asir,,,2020-05-13,403.0,231.0,1.0
,Asir,,,2020-05-14,435.0,244.0,1.0
