adm0,adm1,adm2,adm3,date,confirmedCount
South Africa,Eastern Cape,,,2020-03-05,0.0
South Africa,Eastern Cape,,,2020-03-07,0.0
South Africa,Eastern Cape,,,2020-03-08,0.0
South Africa,Eastern Cape,,,2020-03-09,0.0
South Africa,Eastern Cape,,,2020-03-11,0.0
South Africa,Eastern Cape,,,2020-03-12,0.0
South Africa,Eastern Cape,,,2020-03-13,0.0
South Africa,Eastern Cape,,,2020-03-14,0.0
South Africa,Eastern Cape,,,2020-03-15,0.0
South Africa,Eastern Cape,,,2020-03-16,0.0
South Africa,Eastern Cape,,,2020-03-17,0.0
South Africa,Eastern Cape,,,2020-03-18,0.0
South Africa,Eastern Cape,,,2020-03-19,0.0
South Africa,Eastern Cape,,,2020-03-20,0.0
South Africa,Eastern Cape,,,2020-03-21,1.0
South Africa,Eastern Cape,,,2020-03-22,2.0
South Africa,Eastern Cape,,,2020-03-23,2.0
South Africa,Eastern Cape,,,2020-03-24,2.0
South Africa,Eastern Cape,,,2020-03-25,2.0
South Africa,Eastern Cape,,,2020-03-26,5.0
South Africa,Eastern Cape,,,2020-03-28,10.0
South Africa,Eastern Cape,,,2020-03-29,12.0
South Africa,Eastern Cape,,,2020-03-30,12.0
South Africa,Eastern Cape,,,2020-03-31,12.0
South Africa,Eastern Cape,,,2020-04-01,15.0
South Africa,Eastern Cape,,,2020-04-02,17.0
South Africa,Eastern Cape,,,2020-04-03,21.0
South Africa,Eastern Cape,,,2020-04-04,25.0
South Africa,Eastern Cape,,,2020-04-05,31.0
South Africa,Eastern Cape,,,2020-04-06,32.0
South Africa,Eastern Cape,,,2020-04-08,45.0
South Africa,Eastern Cape,,,2020-04-09,61.0
South Africa,Eastern Cape,,,2020-04-10,68.0
South Africa,Eastern Cape,,,2020-04-11,69.0
South Africa,Eastern Cape,,,2020-04-12,88.0
South Africa,Eastern Cape,,,2020-04-13,104.0
South Africa,Eastern Cape,,,2020-04-14,174.0
South Africa,Eastern Cape,,,2020-04-15,199.0
South Africa,Eastern Cape,,,2020-04-16,220.0
South Africa,Eastern Cape,,,2020-04-17,246.0
South Africa,Eastern Cape,,,2020-04-18,270.0
South Africa,Eastern Cape,,,2020-04-19,293.0
South Africa,Eastern Cape,,,2020-04-20,310.0
South Africa,Eastern Cape,,,2020-04-21,345.0
South Africa,Eastern Cape,,,2020-04-22,377.0
South Africa,Eastern Cape,,,2020-04-23,417.0
South Africa,Eastern Cape,,,2020-04-24,480.0
South Africa,Eastern Cape,,,2020-04-25,488.0
South Africa,Eastern Cape,,,2020-04-26,535.0
South Africa,Eastern Cape,,,2020-04-27,588.0
South Africa,Eastern Cape,,,2020-04-28,616.0
South Africa,Eastern Cape,,,2020-04-29,630.0
South Africa,Eastern Cape,,,2020-04-30,647.0
South Africa,Eastern Cape,,,2020-05-01,691.0
South Africa,Eastern Cape,,,2020-05-02,732.0
South Africa,Eastern Cape,,,2020-05-03,774.0
South Africa,Eastern Cape,,,2020-05-04,814.0
South Africa,Eastern Cape,,,2020-05-05,838.0
South Africa,Eastern Cape,,,2020-05-06,849.0
South Africa,Eastern Cape,,,2020-05-07,929.0
South Africa,Eastern Cape,,,2020-05-08,989.0
South Africa,Eastern Cape,,,2020-05-09,1078.0
South Africa,Eastern Cape,,,2020-05-10,1218.0
South Africa,Eastern Cape,,,2020-05-11,1356.0
South Africa,Eastern Cape,,,2020-05-12,1504.0
South Africa,Eastern Cape,,,2020-05-13,1534.0
South Africa,Eastern Cape,,,2020-05-14,1569.0
South Africa,Eastern Cape,,,2020-05-15,1662.0
South Africa,Eastern Cape,,,2020-05-16,1812.0
South Africa,Eastern Cape,,,2020-05-17,1936.0
South Africa,Eastern Cape,,,2020-05-18,2052.0
South Africa,Eastern Cape,,,2020-05-19,2135.0
South Africa,Eastern Cape,,,2020-05-20,2215.0
South Africa,Eastern Cape,,,2020-05-21,2324.0
South Africa,Eastern Cape,,,2020-05-22,2459.0
South Africa,Eastern Cape,,,2020-05-23,2569.0
South Africa,Eastern Cape,,,2020-05-24,2690.0
South Africa,Eastern Cape,,,2020-05-25,2748.0
South Africa,Eastern Cape,,,2020-05-26,2864.0
South Africa,Eastern Cape,,,2020-05-27,3047.0
South Africa,Eastern Cape,,,2020-05-28,3306.0
South Africa,Eastern Cape,,,2020-05-29,3583.0
South Africa,Eastern Cape,,,2020-05-30,3759.0
South Africa,Eastern Cape,,,2020-05-31,3927.0
South Africa,Eastern Cape,,,2020-06-01,4111.0
South Africa,Eastern Cape,,,2020-06-02,4324.0
South Africa,Eastern Cape,,,2020-06-03,4526.0
South Africa,Eastern Cape,,,2020-06-04,4936.0
South Africa,Eastern Cape,,,2020-06-05,5240.0
South Africa,Eastern Cape,,,2020-06-06,5629.0
South Africa,Eastern Cape,,,2020-06-07,5974.0
South Africa,Free State,,,2020-03-05,0.0
South Africa,Free State,,,2020-03-07,0.0
South Africa,Free State,,,2020-03-08,0.0
South Africa,Free State,,,2020-03-09,0.0
South Africa,Free State,,,2020-03-11,0.0
South Africa,Free State,,,2020-03-12,0.0
South Africa,Free State,,,2020-03-13,0.0
South Africa,Free State,,,2020-03-14,0.0
South Africa,Free State,,,2020-03-15,0.0
South Africa,Free State,,,2020-03-16,0.0
South Africa,Free State,,,2020-03-17,0.0
South Africa,Free State,,,2020-03-18,0.0
South Africa,Free State,,,2020-03-19,0.0
South Africa,Free State,,,2020-03-20,7.0
South Africa,Free State,,,2020-03-21,7.0
South Africa,Free State,,,2020-03-22,9.0
South Africa,Free State,,,2020-03-23,13.0
South Africa,Free State,,,2020-03-24,18.0
South Africa,Free State,,,2020-03-25,30.0
South Africa,Free State,,,2020-03-26,49.0
South Africa,Free State,,,2020-03-28,68.0
South Africa,Free State,,,2020-03-29,72.0
South Africa,Free State,,,2020-03-30,72.0
South Africa,Free State,,,2020-03-31,74.0
South Africa,Free State,,,2020-04-01,76.0
South Africa,Free State,,,2020-04-02,84.0
South Africa,Free State,,,2020-04-03,84.0
South Africa,Free State,,,2020-04-04,85.0
South Africa,Free State,,,2020-04-05,87.0
South Africa,Free State,,,2020-04-06,89.0
South Africa,Free State,,,2020-04-08,88.0
South Africa,Free State,,,2020-04-09,93.0
South Africa,Free State,,,2020-04-10,94.0
South Africa,Free State,,,2020-04-11,94.0
South Africa,Free State,,,2020-04-12,96.0
South Africa,Free State,,,2020-04-13,96.0
South Africa,Free State,,,2020-04-14,98.0
South Africa,Free State,,,2020-04-15,97.0
South Africa,Free State,,,2020-04-16,98.0
South Africa,Free State,,,2020-04-17,100.0
South Africa,Free State,,,2020-04-18,100.0
South Africa,Free State,,,2020-04-19,100.0
South Africa,Free State,,,2020-04-20,105.0
South Africa,Free State,,,2020-04-21,106.0
South Africa,Free State,,,2020-04-22,106.0
South Africa,Free State,,,2020-04-23,106.0
South Africa,Free State,,,2020-04-24,111.0
South Africa,Free State,,,2020-04-25,111.0
South Africa,Free State,,,2020-04-26,110.0
South Africa,Free State,,,2020-04-27,111.0
South Africa,Free State,,,2020-04-28,113.0
South Africa,Free State,,,2020-04-29,113.0
South Africa,Free State,,,2020-04-30,116.0
South Africa,Free State,,,2020-05-01,118.0
South Africa,Free State,,,2020-05-02,121.0
South Africa,Free State,,,2020-05-03,122.0
South Africa,Free State,,,2020-05-04,125.0
South Africa,Free State,,,2020-05-05,128.0
South Africa,Free State,,,2020-05-06,130.0
South Africa,Free State,,,2020-05-07,134.0
South Africa,Free State,,,2020-05-08,133.0
South Africa,Free State,,,2020-05-09,134.0
South Africa,Free State,,,2020-05-10,135.0
South Africa,Free State,,,2020-05-11,135.0
South Africa,Free State,,,2020-05-12,135.0
South Africa,Free State,,,2020-05-13,138.0
South Africa,Free State,,,2020-05-14,145.0
South Africa,Free State,,,2020-05-15,151.0
South Africa,Free State,,,2020-05-16,153.0
South Africa,Free State,,,2020-05-17,158.0
South Africa,Free State,,,2020-05-18,163.0
South Africa,Free State,,,2020-05-19,168.0
South Africa,Free State,,,2020-05-20,180.0
South Africa,Free State,,,2020-05-21,184.0
