adm0,adm1,adm2,adm3,date,confirmedCount,deadCount
Spain,Andalucía,,,2020-02-20,0.0,
Spain,Andalucía,,,2020-02-21,0.0,
Spain,Andalucía,,,2020-02-22,0.0,
Spain,Andalucía,,,2020-02-23,0.0,
Spain,Andalucía,,,2020-02-24,0.0,
Spain,Andalucía,,,2020-02-25,0.0,
Spain,Andalucía,,,2020-02-26,1.0,
Spain,Andalucía,,,2020-02-27,6.0,
Spain,Andalucía,,,2020-02-28,8.0,
Spain,Andalucía,,,2020-02-29,12.0,
Spain,Andalucía,,,2020-03-01,12.0,
Spain,Andalucía,,,2020-03-02,12.0,
Spain,Andalucía,,,2020-03-03,12.0,
Spain,Andalucía,,,2020-03-04,12.0,
Spain,Andalucía,,,2020-03-05,21.0,
Spain,Andalucía,,,2020-03-06,27.0,
Spain,Andalucía,,,2020-03-07,34.0,
Spain,Andalucía,,,2020-03-08,54.0,0.0
Spain,Andalucía,,,2020-03-09,71.0,0.0
Spain,Andalucía,,,2020-03-10,90.0,0.0
Spain,Andalucía,,,2020-03-11,115.0,0.0
Spain,Andalucía,,,2020-03-12,219.0,0.0
Spain,Andalucía,,,2020-03-13,269.0,2.0
Spain,Andalucía,,,2020-03-14,437.0,6.0
Spain,Andalucía,,,2020-03-15,554.0,7.0
Spain,Andalucía,,,2020-03-16,683.0,11.0
Spain,Andalucía,,,2020-03-17,859.0,19.0
Spain,Andalucía,,,2020-03-18,1008.0,23.0
Spain,Andalucía,,,2020-03-19,1287.0,30.0
Spain,Andalucía,,,2020-03-20,1515.0,40.0
Spain,Andalucía,,,2020-03-21,1725.0,47.0
Spain,Andalucía,,,2020-03-22,1961.0,58.0
Spain,Andalucía,,,2020-03-23,2470.0,87.0
Spain,Andalucía,,,2020-03-24,3008.0,113.0
Spain,Andalucía,,,2020-03-25,3404.0,134.0
Spain,Andalucía,,,2020-03-26,3790.0,144.0
Spain,Andalucía,,,2020-03-27,4271.0,175.0
Spain,Andalucía,,,2020-03-28,4676.0,207.0
Spain,Andalucía,,,2020-03-29,5398.0,236.0
Spain,Andalucía,,,2020-03-30,5809.0,248.0
Spain,Andalucía,,,2020-03-31,6379.0,308.0
Spain,Andalucía,,,2020-04-01,6957.0,343.0
Spain,Andalucía,,,2020-04-02,7353.0,376.0
Spain,Andalucía,,,2020-04-03,7847.0,426.0
Spain,Andalucía,,,2020-04-04,8279.0,470.0
Spain,Andalucía,,,2020-04-05,8559.0,491.0
Spain,Andalucía,,,2020-04-06,8743.0,528.0
Spain,Andalucía,,,2020-04-07,8973.0,605.0
Spain,Andalucía,,,2020-04-08,9234.0,652.0
Spain,Andalucía,,,2020-04-09,9482.0,691.0
Spain,Andalucía,,,2020-04-10,9682.0,737.0
Spain,Andalucía,,,2020-04-11,9976.0,799.0
Spain,Andalucía,,,2020-04-12,10062.0,815.0
Spain,Andalucía,,,2020-04-13,10169.0,836.0
Spain,Andalucía,,,2020-04-14,10392.0,865.0
Spain,Andalucía,,,2020-04-15,10557.0,912.0
Spain,Andalucía,,,2020-04-16,10635.0,940.0
Spain,Andalucía,,,2020-04-17,10734.0,967.0
Spain,Andalucía,,,2020-04-18,10898.0,993.0
Spain,Andalucía,,,2020-04-19,10991.0,1013.0
Spain,Andalucía,,,2020-04-20,11095.0,1017.0
Spain,Andalucía,,,2020-04-21,11225.0,1050.0
Spain,Andalucía,,,2020-04-22,11358.0,1079.0
Spain,Andalucía,,,2020-04-23,11486.0,1107.0
Spain,Andalucía,,,2020-04-24,11645.0,1131.0
Spain,Andalucía,,,2020-04-25,11712.0,1145.0
Spain,Andalucía,,,2020-04-26,11787.0,1157.0
Spain,Andalucía,,,2020-04-27,11836.0,1168.0
Spain,Andalucía,,,2020-04-28,11917.0,1188.0
Spain,Andalucía,,,2020-04-29,11949.0,1207.0
Spain,Andalucía,,,2020-04-30,12061.0,1238.0
Spain,Andalucía,,,2020-05-01,12105.0,1253.0
Spain,Andalucía,,,2020-05-02,12139.0,1256.0
Spain,Andalucía,,,2020-05-03,12156.0,1263.0
Spain,Andalucía,,,2020-05-04,12167.0,1267.0
Spain,Andalucía,,,2020-05-05,12190.0,1281.0
Spain,Andalucía,,,2020-05-06,12222.0,1294.0
Spain,Andalucía,,,2020-05-07,12239.0,1301.0
Spain,Andalucía,,,2020-05-08,12250.0,1317.0
Spain,Andalucía,,,2020-05-09,12267.0,1320.0
Spain,Andalucía,,,2020-05-10,12285.0,1322.0
Spain,Andalucía,,,2020-05-11,12293.0,1326.0
Spain,Andalucía,,,2020-05-12,12317.0,1332.0
Spain,Andalucía,,,2020-05-13,12359.0,1336.0
Spain,Andalucía,,,2020-05-14,12401.0,1344.0
Spain,Andalucía,,,2020-05-15,12420.0,1355.0
Spain,Andalucía,,,2020-05-16,12450.0,1358.0
Spain,Andalucía,,,2020-05-17,12458.0,1358.0
Spain,Andalucía,,,2020-05-18,12489.0,1367.0
Spain,Andalucía,,,2020-05-19,12502.0,1371.0
Spain,Andalucía,,,2020-05-20,12547.0,1375.0
Spain,Aragón,,,2020-02-20,0.0,
Spain,Aragón,,,2020-02-21,0.0,
Spain,Aragón,,,2020-02-22,0.0,
Spain,Aragón,,,2020-02-23,0.0,
Spain,Aragón,,,2020-02-24,0.0,
Spain,Aragón,,,2020-02-25,0.0,
Spain,Aragón,,,2020-02-26,0.0,
Spain,Aragón,,,2020-02-27,0.0,
Spain,Aragón,,,2020-02-28,0.0,
Spain,Aragón,,,2020-02-29,0.0,
Spain,Aragón,,,2020-03-01,0.0,
Spain,Aragón,,,2020-03-02,0.0,
Spain,Aragón,,,2020-03-03,0.0,
Spain,Aragón,,,2020-03-04,1.0,
Spain,Aragón,,,2020-03-05,1.0,
Spain,Aragón,,,2020-03-06,5.0,
Spain,Aragón,,,2020-03-07,5.0,
Spain,Aragón,,,2020-03-08,7.0,3.0
Spain,Aragón,,,2020-03-09,30.0,4.0
Spain,Aragón,,,2020-03-10,38.0,4.0
Spain,Aragón,,,2020-03-11,45.0,6.0
Spain,Aragón,,,2020-03-12,64.0,7.0
Spain,Aragón,,,2020-03-13,80.0,7.0
Spain,Aragón,,,2020-03-14,121.0,7.0
Spain,Aragón,,,2020-03-15,147.0,11.0
Spain,Aragón,,,2020-03-16,207.0,12.0
Spain,Aragón,,,2020-03-17,226.0,13.0
Spain,Aragón,,,2020-03-18,281.0,15.0
Spain,Aragón,,,2020-03-19,360.0,17.0
Spain,Aragón,,,2020-03-20,424.0,22.0
Spain,Aragón,,,2020-03-21,532.0,24.0
