adm0,adm1,adm2,adm3,date,confirmedCount,deadCount
Sweden,Blekinge,,,2020-03-16,9.0,0.0
Sweden,Blekinge,,,2020-03-17,11.0,0.0
Sweden,Blekinge,,,2020-03-18,11.0,0.0
Sweden,Blekinge,,,2020-03-19,11.0,0.0
Sweden,Blekinge,,,2020-03-20,12.0,0.0
Sweden,Blekinge,,,2020-03-21,12.0,0.0
Sweden,Blekinge,,,2020-03-22,12.0,0.0
Sweden,Blekinge,,,2020-03-23,12.0,0.0
Sweden,Blekinge,,,2020-03-24,12.0,0.0
Sweden,Blekinge,,,2020-03-25,12.0,0.0
Sweden,Blekinge,,,2020-03-26,15.0,0.0
Sweden,Blekinge,,,2020-03-27,15.0,0.0
Sweden,Blekinge,,,2020-03-28,15.0,0.0
Sweden,Blekinge,,,2020-03-29,17.0,0.0
Sweden,Blekinge,,,2020-03-30,20.0,0.0
Sweden,Blekinge,,,2020-03-31,21.0,0.0
Sweden,Blekinge,,,2020-04-01,22.0,1.0
Sweden,Blekinge,,,2020-04-02,27.0,1.0
Sweden,Blekinge,,,2020-04-03,27.0,1.0
Sweden,Blekinge,,,2020-04-04,30.0,1.0
Sweden,Blekinge,,,2020-04-05,31.0,1.0
Sweden,Blekinge,,,2020-04-06,36.0,1.0
Sweden,Blekinge,,,2020-04-07,37.0,1.0
Sweden,Blekinge,,,2020-04-08,37.0,1.0
Sweden,Blekinge,,,2020-04-09,39.0,1.0
Sweden,Blekinge,,,2020-04-10,39.0,1.0
Sweden,Blekinge,,,2020-04-11,41.0,1.0
Sweden,Blekinge,,,2020-04-12,41.0,1.0
Sweden,Blekinge,,,2020-04-13,41.0,1.0
Sweden,Blekinge,,,2020-04-14,42.0,2.0
Sweden,Blekinge,,,2020-04-15,43.0,2.0
Sweden,Blekinge,,,2020-04-16,43.0,2.0
Sweden,Blekinge,,,2020-04-17,43.0,2.0
Sweden,Blekinge,,,2020-04-18,43.0,2.0
Sweden,Blekinge,,,2020-04-19,43.0,2.0
Sweden,Blekinge,,,2020-04-20,43.0,2.0
Sweden,Blekinge,,,2020-04-21,44.0,2.0
