adm0,adm1,adm2,adm3,date,confirmedCount
Switzerland,,,,2020-02-25,0.0
Switzerland,,,,2020-02-26,2.0
Switzerland,,,,2020-02-27,6.0
Switzerland,,,,2020-02-28,13.0
Switzerland,,,,2020-02-29,23.0
Switzerland,,,,2020-03-01,29.0
Switzerland,,,,2020-03-02,40.0
Switzerland,,,,2020-03-03,59.0
Switzerland,,,,2020-03-04,83.0
Switzerland,,,,2020-03-05,125.0
Switzerland,,,,2020-03-06,197.0
Switzerland,,,,2020-03-07,257.0
Switzerland,,,,2020-03-08,303.0
Switzerland,,,,2020-03-09,396.0
Switzerland,,,,2020-03-10,542.0
Switzerland,,,,2020-03-11,766.0
Switzerland,,,,2020-03-12,1072.0
Switzerland,,,,2020-03-13,1398.0
Switzerland,,,,2020-03-14,1795.0
Switzerland,,,,2020-03-15,2071.0
Switzerland,,,,2020-03-16,2863.0
Switzerland,,,,2020-03-17,3709.0
Switzerland,,,,2020-03-18,4792.0
Switzerland,,,,2020-03-19,5780.0
Switzerland,,,,2020-03-20,7004.0
Switzerland,,,,2020-03-21,7685.0
Switzerland,,,,2020-03-22,8216.0
Switzerland,,,,2020-03-23,9724.0
Switzerland,,,,2020-03-24,10828.0
Switzerland,,,,2020-03-25,11967.0
Switzerland,,,,2020-03-26,13051.0
Switzerland,,,,2020-03-27,14353.0
Switzerland,,,,2020-03-28,15192.0
Switzerland,,,,2020-03-29,15795.0
Switzerland,,,,2020-03-30,16917.0
Switzerland,,,,2020-03-31,17836.0
Switzerland,,,,2020-04-01,18902.0
Switzerland,,,,2020-04-02,19991.0
Switzerland,,,,2020-04-03,20959.0
Switzerland,,,,2020-04-04,21529.0
Switzerland,,,,2020-04-05,21931.0
Switzerland,,,,2020-04-06,22671.0
Switzerland,,,,2020-04-07,23327.0
Switzerland,,,,2020-04-08,23996.0
Switzerland,,,,2020-04-09,24660.0
Switzerland,,,,2020-04-10,25110.0
Switzerland,,,,2020-04-11,25573.0
Switzerland,,,,2020-04-12,25845.0
Switzerland,,,,2020-04-13,26088.0
Switzerland,,,,2020-04-14,26413.0
Switzerland,,,,2020-04-15,26729.0
Switzerland,,,,2020-04-16,27031.0
Switzerland,,,,2020-04-17,27338.0
Switzerland,,,,2020-04-18,27612.0
Switzerland,,,,2020-04-19,27788.0
Switzerland,,,,2020-04-20,27989.0
Switzerland,,,,2020-04-21,28155.0
Switzerland,,,,2020-04-22,28361.0
Switzerland,,,,2020-04-23,28580.0
Switzerland,,,,2020-04-24,28769.0
Switzerland,,,,2020-04-25,28912.0
Switzerland,,,,2020-04-26,28988.0
Switzerland,,,,2020-04-27,29156.0
Switzerland,,,,2020-04-28,29283.0
Switzerland,,,,2020-04-29,29424.0
Switzerland,,,,2020-04-30,29569.0
Switzerland,,,,2020-05-01,29679.0
Switzerland,,,,2020-05-02,29759.0
Switzerland,,,,2020-05-03,29819.0
Switzerland,,,,2020-05-04,29879.0
Switzerland,,,,2020-05-05,29938.0
Switzerland,,,,2020-05-06,30022.0
Switzerland,,,,2020-05-07,30092.0
Switzerland,,,,2020-05-08,30158.0
Switzerland,,,,2020-05-09,30206.0
Switzerland,,,,2020-05-10,30237.0
Switzerland,,,,2020-05-11,30298.0
Switzerland,,,,2020-05-12,30347.0
Switzerland,,,,2020-05-13,30384.0
Switzerland,,,,2020-05-14,30426.0
Switzerland,,,,2020-05-15,30470.0
Switzerland,,,,2020-05-16,30500.0
Switzerland,,,,2020-05-17,30516.0
Switzerland,,,,2020-05-18,30552.0
Switzerland,,,,2020-05-19,30575.0
Switzerland,,,,2020-05-20,30619.0
Switzerland,,,,2020-05-21,30647.0
Switzerland,,,,2020-05-22,30665.0
Switzerland,,,,2020-05-23,30685.0
Switzerland,,,,2020-05-24,30695.0
Switzerland,,,,2020-05-25,30704.0
Switzerland,,,,2020-05-26,30726.0
Switzerland,,,,2020-05-27,30740.0
Switzerland,,,,2020-05-28,30758.0
Switzerland,,,,2020-05-29,30782.0
Switzerland,,,,2020-05-30,30823.0
Switzerland,,,,2020-05-31,30830.0
Switzerland,,,,2020-06-01,30842.0
Switzerland,,,,2020-06-02,30862.0
Switzerland,,,,2020-06-03,30879.0
Switzerland,,,,2020-06-04,30898.0
Switzerland,,,,2020-06-05,30912.0
Switzerland,,,,2020-06-06,30914.0
Switzerland,,,,2020-06-07,30914.0
Switzerland,Aargau,,,2020-02-28,1.0
Switzerland,Aargau,,,2020-02-29,1.0
Switzerland,Aargau,,,2020-03-01,1.0
Switzerland,Aargau,,,2020-03-02,2.0
Switzerland,Aargau,,,2020-03-03,6.0
Switzerland,Aargau,,,2020-03-04,7.0
Switzerland,Aargau,,,2020-03-05,9.0
Switzerland,Aargau,,,2020-03-06,12.0
Switzerland,Aargau,,,2020-03-07,12.0
Switzerland,Aargau,,,2020-03-08,12.0
Switzerland,Aargau,,,2020-03-09,14.0
Switzerland,Aargau,,,2020-03-10,17.0
Switzerland,Aargau,,,2020-03-11,18.0
Switzerland,Aargau,,,2020-03-12,27.0
Switzerland,Aargau,,,2020-03-13,32.0
Switzerland,Aargau,,,2020-03-14,32.0
Switzerland,Aargau,,,2020-03-15,32.0
Switzerland,Aargau,,,2020-03-16,52.0
Switzerland,Aargau,,,2020-03-17,67.0
Switzerland,Aargau,,,2020-03-18,101.0
Switzerland,Aargau,,,2020-03-19,118.0
Switzerland,Aargau,,,2020-03-20,168.0
Switzerland,Aargau,,,2020-03-21,168.0
Switzerland,Aargau,,,2020-03-22,232.0
Switzerland,Aargau,,,2020-03-23,241.0
Switzerland,Aargau,,,2020-03-24,266.0
Switzerland,Aargau,,,2020-03-25,319.0
Switzerland,Aargau,,,2020-03-26,349.0
Switzerland,Aargau,,,2020-03-27,364.0
Switzerland,Aargau,,,2020-03-28,364.0
Switzerland,Aargau,,,2020-03-29,364.0
Switzerland,Aargau,,,2020-03-30,481.0
Switzerland,Aargau,,,2020-03-31,499.0
Switzerland,Aargau,,,2020-04-01,549.0
Switzerland,Aargau,,,2020-04-02,592.0
Switzerland,Aargau,,,2020-04-03,626.0
Switzerland,Aargau,,,2020-04-04,626.0
Switzerland,Aargau,,,2020-04-05,626.0
Switzerland,Aargau,,,2020-04-06,727.0
Switzerland,Aargau,,,2020-04-07,760.0
Switzerland,Aargau,,,2020-04-08,788.0
Switzerland,Aargau,,,2020-04-09,822.0
Switzerland,Aargau,,,2020-04-10,850.0
Switzerland,Aargau,,,2020-04-11,878.0
Switzerland,Aargau,,,2020-04-12,899.0
Switzerland,Aargau,,,2020-04-13,906.0
Switzerland,Aargau,,,2020-04-14,912.0
Switzerland,Aargau,,,2020-04-15,929.0
Switzerland,Aargau,,,2020-04-16,943.0
Switzerland,Aargau,,,2020-04-17,960.0
Switzerland,Aargau,,,2020-04-18,987.0
Switzerland,Aargau,,,2020-04-19,1003.0
Switzerland,Aargau,,,2020-04-20,1012.0
Switzerland,Aargau,,,2020-04-21,1017.0
Switzerland,Aargau,,,2020-04-22,1026.0
Switzerland,Aargau,,,2020-04-23,1037.0
Switzerland,Aargau,,,2020-04-24,1052.0
Switzerland,Aargau,,,2020-04-25,1052.0
Switzerland,Aargau,,,2020-04-26,1052.0
Switzerland,Aargau,,,2020-04-27,1088.0
Switzerland,Aargau,,,2020-04-28,1093.0
Switzerland,Aargau,,,2020-04-29,1099.0
Switzerland,Aargau,,,2020-04-30,1108.0
Switzerland,Aargau,,,2020-05-01,1112.0
Switzerland,Aargau,,,2020-05-02,1124.0
Switzerland,Aargau,,,2020-05-03,1129.0
Switzerland,Aargau,,,2020-05-04,1133.0
Switzerland,Aargau,,,2020-05-05,1135.0
Switzerland,Aargau,,,2020-05-06,1141.0
Switzerland,Aargau,,,2020-05-07,1145.0
Switzerland,Aargau,,,2020-05-08,1149.0
Switzerland,Aargau,,,2020-05-09,1153.0
Switzerland,Aargau,,,2020-05-10,1156.0
Switzerland,Aargau,,,2020-05-11,1163.0
Switzerland,Aargau,,,2020-05-12,1167.0
Switzerland,Aargau,,,2020-05-13,1169.0
Switzerland,Aargau,,,2020-05-14,1174.0
Switzerland,Aargau,,,2020-05-15,1177.0
Switzerland,Aargau,,,2020-05-16,1177.0
Switzerland,Aargau,,,2020-05-17,1177.0
Switzerland,Aargau,,,2020-05-18,1185.0
Switzerland,Aargau,,,2020-05-19,1187.0
Switzerland,Aargau,,,2020-05-20,1194.0
Switzerland,Aargau,,,2020-05-21,1195.0
Switzerland,Aargau,,,2020-05-22,1195.0
Switzerland,Aargau,,,2020-05-23,1195.0
Switzerland,Aargau,,,2020-05-24,1195.0
Switzerland,Aargau,,,2020-05-25,1198.0
Switzerland,Aargau,,,2020-05-26,1200.0
Switzerland,Aargau,,,2020-05-27,1201.0
Switzerland,Aargau,,,2020-05-28,1201.0
Switzerland,Aargau,,,2020-05-29,1201.0
Switzerland,Aargau,,,2020-05-30,1201.0
Switzerland,Aargau,,,2020-05-31,1201.0
Switzerland,Aargau,,,2020-06-01,1210.0
Switzerland,Aargau,,,2020-06-02,1213.0
Switzerland,Aargau,,,2020-06-03,1213.0
Switzerland,Aargau,,,2020-06-04,1216.0
Switzerland,Aargau,,,2020-06-05,1216.0
Switzerland,Aargau,,,2020-06-06,1216.0
Switzerland,Aargau,,,2020-06-07,1216.0
Switzerland,Appenzell Ausserrhoden,,,2020-03-05,1.0
