adm0,adm1,adm2,adm3,date,confirmedCount
Thailand,Amnat Charoen,,,2020-03-26,1.0
Thailand,Amnat Charoen,,,2020-03-27,1.0
Thailand,Amnat Charoen,,,2020-03-28,1.0
Thailand,Amnat Charoen,,,2020-03-29,1.0
Thailand,Amnat Charoen,,,2020-03-30,1.0
Thailand,Amnat Charoen,,,2020-03-31,1.0
Thailand,Amnat Charoen,,,2020-04-01,1.0
Thailand,Amnat Charoen,,,2020-04-02,2.0
Thailand,Bangkok,,,2020-01-12,1.0
Thailand,Bangkok,,,2020-01-13,1.0
Thailand,Bangkok,,,2020-01-14,1.0
Thailand,Bangkok,,,2020-01-15,1.0
Thailand,Bangkok,,,2020-01-16,1.0
Thailand,Bangkok,,,2020-01-17,2.0
Thailand,Bangkok,,,2020-01-18,2.0
Thailand,Bangkok,,,2020-01-19,2.0
Thailand,Bangkok,,,2020-01-20,2.0
Thailand,Bangkok,,,2020-01-21,2.0
Thailand,Bangkok,,,2020-01-22,3.0
Thailand,Bangkok,,,2020-01-23,3.0
Thailand,Bangkok,,,2020-01-24,3.0
Thailand,Bangkok,,,2020-01-25,4.0
Thailand,Bangkok,,,2020-01-26,5.0
Thailand,Bangkok,,,2020-01-27,5.0
Thailand,Bangkok,,,2020-01-28,9.0
Thailand,Bangkok,,,2020-01-29,9.0
Thailand,Bangkok,,,2020-01-30,9.0
Thailand,Bangkok,,,2020-01-31,13.0
Thailand,Bangkok,,,2020-02-01,13.0
Thailand,Bangkok,,,2020-02-02,13.0
Thailand,Bangkok,,,2020-02-03,13.0
Thailand,Bangkok,,,2020-02-04,16.0
Thailand,Bangkok,,,2020-02-05,16.0
Thailand,Bangkok,,,2020-02-06,16.0
Thailand,Bangkok,,,2020-02-07,16.0
Thailand,Bangkok,,,2020-02-08,19.0
Thailand,Bangkok,,,2020-02-09,19.0
Thailand,Bangkok,,,2020-02-10,19.0
Thailand,Bangkok,,,2020-02-11,20.0
Thailand,Bangkok,,,2020-02-12,20.0
Thailand,Bangkok,,,2020-02-13,20.0
Thailand,Bangkok,,,2020-02-14,20.0
Thailand,Bangkok,,,2020-02-15,20.0
Thailand,Bangkok,,,2020-02-16,20.0
Thailand,Bangkok,,,2020-02-17,21.0
Thailand,Bangkok,,,2020-02-18,21.0
