adm0,adm1,adm2,adm3,date,confirmedCount,deadCount
United Kingdom,England,,,2020-01-30,1.0,
United Kingdom,England,,,2020-01-31,2.0,
United Kingdom,England,,,2020-02-03,8.0,
United Kingdom,England,,,2020-02-05,9.0,
United Kingdom,England,,,2020-02-08,12.0,
United Kingdom,England,,,2020-02-09,13.0,
United Kingdom,England,,,2020-02-11,14.0,
United Kingdom,England,,,2020-02-12,15.0,
United Kingdom,England,,,2020-02-13,16.0,
United Kingdom,England,,,2020-02-14,17.0,
United Kingdom,England,,,2020-02-16,18.0,
United Kingdom,England,,,2020-02-17,18.0,
United Kingdom,England,,,2020-02-19,19.0,
United Kingdom,England,,,2020-02-21,20.0,
United Kingdom,England,,,2020-02-23,24.0,
United Kingdom,England,,,2020-02-24,25.0,
United Kingdom,England,,,2020-02-25,29.0,
United Kingdom,England,,,2020-02-26,32.0,
United Kingdom,England,,,2020-02-27,38.0,
United Kingdom,England,,,2020-02-28,50.0,
United Kingdom,England,,,2020-02-29,54.0,
United Kingdom,England,,,2020-03-01,85.0,
United Kingdom,England,,,2020-03-02,124.0,
United Kingdom,England,,,2020-03-03,176.0,
United Kingdom,England,,,2020-03-04,225.0,
United Kingdom,England,,,2020-03-05,272.0,0.0
United Kingdom,England,,,2020-03-06,345.0,1.0
United Kingdom,England,,,2020-03-07,392.0,2.0
United Kingdom,England,,,2020-03-08,442.0,2.0
United Kingdom,England,,,2020-03-09,566.0,3.0
United Kingdom,England,,,2020-03-10,789.0,7.0
United Kingdom,England,,,2020-03-11,1143.0,7.0
United Kingdom,England,,,2020-03-12,1556.0,9.0
United Kingdom,England,,,2020-03-13,1948.0,10.0
United Kingdom,England,,,2020-03-14,2265.0,28.0
United Kingdom,England,,,2020-03-15,2662.0,42.0
United Kingdom,England,,,2020-03-16,3208.0,64.0
United Kingdom,England,,,2020-03-17,3887.0,79.0
United Kingdom,England,,,2020-03-18,4796.0,112.0
United Kingdom,England,,,2020-03-19,5727.0,154.0
United Kingdom,England,,,2020-03-20,6808.0,186.0
United Kingdom,England,,,2020-03-21,7842.0,240.0
United Kingdom,England,,,2020-03-22,9048.0,264.0
United Kingdom,England,,,2020-03-23,11065.0,331.0
United Kingdom,England,,,2020-03-24,13085.0,474.0
United Kingdom,England,,,2020-03-25,15346.0,651.0
United Kingdom,England,,,2020-03-26,17955.0,820.0
United Kingdom,England,,,2020-03-27,20612.0,1092.0
United Kingdom,England,,,2020-03-28,22981.0,1371.0
United Kingdom,England,,,2020-03-29,25416.0,1566.0
United Kingdom,England,,,2020-03-30,28907.0,1919.0
United Kingdom,England,,,2020-03-31,32666.0,2287.0
United Kingdom,England,,,2020-04-01,36749.0,2900.0
United Kingdom,England,,,2020-04-02,40755.0,3503.0
United Kingdom,England,,,2020-04-03,44798.0,4158.0
United Kingdom,England,,,2020-04-04,48118.0,4847.0
United Kingdom,England,,,2020-04-05,51148.0,5425.0
United Kingdom,England,,,2020-04-06,55473.0,5957.0
United Kingdom,England,,,2020-04-07,59951.0,6967.0
United Kingdom,England,,,2020-04-08,64180.0,7891.0
United Kingdom,England,,,2020-04-09,68184.0,8878.0
United Kingdom,England,,,2020-04-10,71690.0,9916.0
United Kingdom,England,,,2020-04-11,74684.0,10661.0
United Kingdom,England,,,2020-04-12,77366.0,11267.0
United Kingdom,England,,,2020-04-13,80670.0,11961.0
United Kingdom,England,,,2020-04-14,84086.0,12971.0
United Kingdom,England,,,2020-04-15,87683.0,13703.0
United Kingdom,England,,,2020-04-16,91122.0,14610.0
United Kingdom,England,,,2020-04-17,94540.0,15436.0
United Kingdom,England,,,2020-04-18,97113.0,16447.0
United Kingdom,England,,,2020-04-19,99201.0,16831.0
United Kingdom,England,,,2020-04-20,102277.0,17370.0
United Kingdom,England,,,2020-04-21,105265.0,18492.0
United Kingdom,England,,,2020-04-22,108025.0,19231.0
United Kingdom,England,,,2020-04-23,110787.0,19834.0
United Kingdom,England,,,2020-04-24,113557.0,20658.0
United Kingdom,England,,,2020-04-25,115366.0,21399.0
United Kingdom,England,,,2020-04-26,116771.0,21742.0
United Kingdom,England,,,2020-04-27,118994.0,22049.0
United Kingdom,England,,,2020-04-28,121269.0,22918.0
United Kingdom,England,,,2020-04-29,123607.0,23550.0
United Kingdom,England,,,2020-04-30,125731.0,24110.0
United Kingdom,England,,,2020-05-01,127678.0,24763.0
United Kingdom,England,,,2020-05-02,128917.0,25282.0
United Kingdom,England,,,2020-05-03,129878.0,25528.0
United Kingdom,England,,,2020-05-04,131490.0,25785.0
