state_name,county,entries
['AK'],['Anchorage'],"[['4/17', 150], ['4/18', 151], ['4/19', 154], ['4/20', 155], ['4/21', 160], ['4/22', 164], ['4/23', 166], ['4/24', 168], ['4/25', 168], ['4/26', 168], ['4/27', 171], ['4/28', 175], ['4/29', 179], ['4/30', 179], ['5/1', 185], ['5/2', 185], ['5/3', 187], ['5/4', 189], ['5/5', 190], ['5/6', 190], ['5/7', 191], ['5/8', 194], ['5/9', 194], ['5/10', 194], ['5/11', 194], ['5/12', 194], ['5/13', 194], ['5/14', 194], ['5/15', 199], ['5/16', 199], ['5/17', 199], ['5/18', 205], ['5/19', 205], ['5/20', 206], ['5/21', 206], ['5/22', 206], ['5/23', 206], ['5/24', 206], ['5/25', 206], ['5/26', 207], ['5/27', 207], ['5/28', 211], ['5/29', 213], ['5/30', 214], ['5/31', 229], ['6/1', 232], ['6/2', 247], ['6/3', 254], ['6/4', 258], ['6/5', 264], ['6/6', 266], ['6/7', 272], ['6/8', 283], ['6/9', 288], ['6/10', 297], ['6/11', 301], ['6/12', 307], ['6/13', 315], ['6/14', 319], ['6/15', 320], ['6/16', 326]]"
['AK'],['Fairbanks North Star'],"[['4/17', 79], ['4/18', 79], ['4/19', 79], ['4/20', 79], ['4/21', 79], ['4/22', 79], ['4/23', 79], ['4/24', 79], ['4/25', 79], ['4/26', 80], ['4/27', 80], ['4/28', 81], ['4/29', 81], ['4/30', 81], ['5/1', 82], ['5/2', 83], ['5/3', 83], ['5/4', 83], ['5/5', 83], ['5/6', 83], ['5/7', 83], ['5/8', 83], ['5/9', 83], ['5/10', 84], ['5/11', 84], ['5/12', 84], ['5/13', 84], ['5/14', 84], ['5/15', 84], ['5/16', 84], ['5/17', 84], ['5/18', 85], ['5/19', 85], ['5/20', 85], ['5/21', 85], ['5/22', 85], ['5/23', 85], ['5/24', 85], ['5/25', 85], ['5/26', 85], ['5/27', 85], ['5/28', 85], ['5/29', 85], ['5/30', 85], ['5/31', 85], ['6/1', 85], ['6/2', 85], ['6/3', 85], ['6/4', 85], ['6/5', 85], ['6/6', 85], ['6/7', 85], ['6/8', 85], ['6/9', 85], ['6/10', 85], ['6/11', 88], ['6/12', 89], ['6/13', 92], ['6/14', 96], ['6/15', 96], ['6/16', 96]]"
['AK'],['Juneau'],"[['4/17', 24], ['4/18', 24], ['4/19', 24], ['4/20', 24], ['4/21', 26], ['4/22', 27], ['4/23', 27], ['4/24', 27], ['4/25', 27], ['4/26', 27], ['4/27', 27], ['4/28', 27], ['4/29', 27], ['4/30', 27], ['5/1', 27], ['5/2', 27], ['5/3', 27], ['5/4', 27], ['5/5', 27], ['5/6', 27], ['5/7', 27], ['5/8', 27], ['5/9', 27], ['5/10', 27], ['5/11', 27], ['5/12', 27], ['5/13', 27], ['5/14', 27], ['5/15', 29], ['5/16', 29], ['5/17', 29], ['5/18', 30], ['5/19', 30], ['5/20', 30], ['5/21', 30], ['5/22', 31], ['5/23', 31], ['5/24', 31], ['5/25', 31], ['5/26', 31], ['5/27', 31], ['5/28', 32], ['5/29', 33], ['5/30', 33], ['5/31', 33], ['6/1', 33], ['6/2', 33], ['6/3', 33], ['6/4', 33], ['6/5', 33], ['6/6', 33], ['6/7', 34], ['6/8', 35], ['6/9', 35], ['6/10', 35], ['6/11', 37], ['6/12', 37], ['6/13', 37], ['6/14', 37], ['6/15', 37], ['6/16', 37]]"
['AK'],['Kenai Peninsula'],"[['4/17', 17], ['4/18', 19], ['4/19', 19], ['4/20', 19], ['4/21', 19], ['4/22', 19], ['4/23', 19], ['4/24', 19], ['4/25', 19], ['4/26', 19], ['4/27', 19], ['4/28', 19], ['4/29', 19], ['4/30', 19], ['5/1', 21], ['5/2', 21], ['5/3', 22], ['5/4', 22], ['5/5', 22], ['5/6', 22], ['5/7', 23], ['5/8', 23], ['5/9', 24], ['5/10', 24], ['5/11', 24], ['5/12', 24], ['5/13', 24], ['5/14', 24], ['5/15', 24], ['5/16', 24], ['5/17', 24], ['5/18', 26], ['5/19', 26], ['5/20', 26], ['5/21', 26], ['5/22', 26], ['5/23', 26], ['5/24', 26], ['5/25', 27], ['5/26', 27], ['5/27', 27], ['5/28', 34], ['5/29', 36], ['5/30', 38], ['5/31', 45], ['6/1', 49], ['6/2', 54], ['6/3', 60], ['6/4', 63], ['6/5', 68], ['6/6', 78], ['6/7', 79], ['6/8', 83], ['6/9', 85], ['6/10', 94], ['6/11', 97], ['6/12', 102], ['6/13', 108], ['6/14', 108], ['6/15', 109], ['6/16', 113]]"
['AK'],['Ketchikan Gateway'],"[['4/17', 15], ['4/18', 15], ['4/19', 15], ['4/20', 15], ['4/21', 16], ['4/22', 16], ['4/23', 16], ['4/24', 16], ['4/25', 16], ['4/26', 16], ['4/27', 16], ['4/28', 16], ['4/29', 16], ['4/30', 16], ['5/1', 16], ['5/2', 16], ['5/3', 16], ['5/4', 16], ['5/5', 16], ['5/6', 16], ['5/7', 16], ['5/8', 16], ['5/9', 16], ['5/10', 16], ['5/11', 16], ['5/12', 16], ['5/13', 16], ['5/14', 16], ['5/15', 16], ['5/16', 16], ['5/17', 16], ['5/18', 16], ['5/19', 16], ['5/20', 16], ['5/21', 16], ['5/22', 16], ['5/23', 16], ['5/24', 16], ['5/25', 16], ['5/26', 16], ['5/27', 16], ['5/28', 16], ['5/29', 16], ['5/30', 16], ['5/31', 16], ['6/1', 16], ['6/2', 16], ['6/3', 16], ['6/4', 16], ['6/5', 16], ['6/6', 16], ['6/7', 16], ['6/8', 16], ['6/9', 16], ['6/10', 16], ['6/11', 16], ['6/12', 16], ['6/13', 19], ['6/14', 19], ['6/15', 19], ['6/16', 19]]"
['AK'],['Matanuska-Susitna'],"[['4/17', 15], ['4/18', 17], ['4/19', 18], ['4/20', 19], ['4/21', 19], ['4/22', 20], ['4/23', 20], ['4/24', 20], ['4/25', 20], ['4/26', 20], ['4/27', 21], ['4/28', 21], ['4/29', 21], ['4/30', 21], ['5/1', 21], ['5/2', 21], ['5/3', 21], ['5/4', 21], ['5/5', 21], ['5/6', 21], ['5/7', 21], ['5/8', 21], ['5/9', 21], ['5/10', 21], ['5/11', 21], ['5/12', 21], ['5/13', 21], ['5/14', 21], ['5/15', 21], ['5/16', 21], ['5/17', 21], ['5/18', 22], ['5/19', 22], ['5/20', 22], ['5/21', 22], ['5/22', 22], ['5/23', 24], ['5/24', 24], ['5/25', 24], ['5/26', 24], ['5/27', 24], ['5/28', 24], ['5/29', 24], ['5/30', 25], ['5/31', 29], ['6/1', 29], ['6/2', 29], ['6/3', 34], ['6/4', 35], ['6/5', 35], ['6/6', 35], ['6/7', 35], ['6/8', 37], ['6/9', 37], ['6/10', 38], ['6/11', 39], ['6/12', 41], ['6/13', 43], ['6/14', 44], ['6/15', 45], ['6/16', 46]]"
['AL'],['Autauga'],"[['4/17', 25], ['4/18', 25], ['4/19', 26], ['4/20', 28], ['4/21', 30], ['4/22', 32], ['4/23', 33], ['4/24', 36], ['4/25', 37], ['4/26', 37], ['4/27', 39], ['4/28', 40], ['4/29', 41], ['4/30', 41], ['5/1', 42], ['5/2', 45], ['5/3', 48], ['5/4', 53], ['5/5', 53], ['5/6', 58], ['5/7', 61], ['5/8', 67], ['5/9', 68], ['5/10', 74], ['5/11', 84], ['5/12', 91], ['5/13', 93], ['5/14', 103], ['5/15', 103], ['5/16', 110], ['5/17', 110], ['5/18', 120], ['5/19', 127], ['5/20', 136], ['5/21', 147], ['5/22', 149], ['5/23', 155], ['5/24', 159], ['5/25', 168], ['5/26', 189], ['5/27', 192], ['5/28', 205], ['5/29', 212], ['5/30', 216], ['5/31', 221], ['6/1', 233], ['6/2', 239], ['6/3', 239], ['6/4', 241], ['6/5', 248], ['6/6', 259], ['6/7', 265], ['6/8', 272], ['6/9', 282], ['6/10', 295], ['6/11', 312], ['6/12', 323], ['6/13', 331], ['6/14', 357], ['6/15', 364], ['6/16', 367]]"
['AL'],['Baldwin'],"[['4/17', 103], ['4/18', 108], ['4/19', 114], ['4/20', 117], ['4/21', 123], ['4/22', 132], ['4/23', 143], ['4/24', 147], ['4/25', 154], ['4/26', 161], ['4/27', 168], ['4/28', 171], ['4/29', 173], ['4/30', 174], ['5/1', 175], ['5/2', 181], ['5/3', 187], ['5/4', 188], ['5/5', 189], ['5/6', 196], ['5/7', 205], ['5/8', 208], ['5/9', 216], ['5/10', 221], ['5/11', 224], ['5/12', 227], ['5/13', 231], ['5/14', 243], ['5/15', 244], ['5/16', 254], ['5/17', 254], ['5/18', 260], ['5/19', 262], ['5/20', 269], ['5/21', 270], ['5/22', 271], ['5/23', 273], ['5/24', 274], ['5/25', 274], ['5/26', 277], ['5/27', 281], ['5/28', 281], ['5/29', 282], ['5/30', 283], ['5/31', 290], ['6/1', 292], ['6/2', 292], ['6/3', 292], ['6/4', 293], ['6/5', 296], ['6/6', 304], ['6/7', 313], ['6/8', 320], ['6/9', 325], ['6/10', 331], ['6/11', 343], ['6/12', 353], ['6/13', 361], ['6/14', 364], ['6/15', 368], ['6/16', 374]]"
['AL'],['Bibb'],"[['4/17', 23], ['4/18', 26], ['4/19', 28], ['4/20', 31], ['4/21', 32], ['4/22', 33], ['4/23', 33], ['4/24', 34], ['4/25', 35], ['4/26', 38], ['4/27', 41], ['4/28', 41], ['4/29', 41], ['4/30', 41], ['5/1', 42], ['5/2', 42], ['5/3', 42], ['5/4', 42], ['5/5', 43], ['5/6', 43], ['5/7', 44], ['5/8', 44], ['5/9', 45], ['5/10', 46], ['5/11', 46], ['5/12', 46], ['5/13', 46], ['5/14', 46], ['5/15', 49], ['5/16', 50], ['5/17', 50], ['5/18', 50], ['5/19', 51], ['5/20', 52], ['5/21', 52], ['5/22', 55], ['5/23', 58], ['5/24', 59], ['5/25', 59], ['5/26', 66], ['5/27', 71], ['5/28', 71], ['5/29', 71], ['5/30', 72], ['5/31', 75], ['6/1', 76], ['6/2', 76], ['6/3', 76], ['6/4', 76], ['6/5', 76], ['6/6', 77], ['6/7', 77], ['6/8', 79], ['6/9', 85], ['6/10', 89], ['6/11', 93], ['6/12', 97], ['6/13', 100], ['6/14', 104], ['6/15', 108], ['6/16', 113]]"
['AL'],['Blount'],"[['4/17', 18], ['4/18', 20], ['4/19', 21], ['4/20', 22], ['4/21', 26], ['4/22', 29], ['4/23', 31], ['4/24', 31], ['4/25', 31], ['4/26', 34], ['4/27', 34], ['4/28', 34], ['4/29', 36], ['4/30', 37], ['5/1', 39], ['5/2', 39], ['5/3', 39], ['5/4', 39], ['5/5', 39], ['5/6', 42], ['5/7', 44], ['5/8', 44], ['5/9', 44], ['5/10', 44], ['5/11', 45], ['5/12', 45], ['5/13', 45], ['5/14', 45], ['5/15', 45], ['5/16', 45], ['5/17', 46], ['5/18', 47], ['5/19', 47], ['5/20', 47], ['5/21', 48], ['5/22', 48], ['5/23', 49], ['5/24', 49], ['5/25', 49], ['5/26', 51], ['5/27', 53], ['5/28', 58], ['5/29', 60], ['5/30', 61], ['5/31', 62], ['6/1', 63], ['6/2', 63], ['6/3', 63], ['6/4', 63], ['6/5', 64], ['6/6', 70], ['6/7', 72], ['6/8', 73], ['6/9', 75], ['6/10', 79], ['6/11', 87], ['6/12', 95], ['6/13', 102], ['6/14', 110], ['6/15', 114], ['6/16', 119]]"
