state_name,county,entries
['AK'],['Anchorage'],"[['4/17', 4], ['4/18', 4], ['4/19', 4], ['4/20', 4], ['4/21', 4], ['4/22', 4], ['4/23', 4], ['4/24', 4], ['4/25', 4], ['4/26', 4], ['4/27', 4], ['4/28', 4], ['4/29', 4], ['4/30', 4], ['5/1', 4], ['5/2', 4], ['5/3', 4], ['5/4', 4], ['5/5', 4], ['5/6', 4], ['5/7', 4], ['5/8', 4], ['5/9', 4], ['5/10', 4], ['5/11', 4], ['5/12', 4], ['5/13', 4], ['5/14', 4], ['5/15', 4], ['5/16', 4], ['5/17', 4], ['5/18', 4], ['5/19', 4], ['5/20', 4], ['5/21', 4], ['5/22', 4], ['5/23', 4], ['5/24', 4], ['5/25', 4], ['5/26', 4], ['5/27', 4], ['5/28', 4], ['5/29', 4], ['5/30', 4], ['5/31', 4], ['6/1', 4], ['6/2', 4], ['6/3', 4], ['6/4', 4], ['6/5', 4], ['6/6', 4], ['6/7', 4], ['6/8', 4], ['6/9', 5], ['6/10', 5], ['6/11', 5], ['6/12', 6], ['6/13', 6], ['6/14', 6], ['6/15', 6], ['6/16', 6]]"
['AK'],['Fairbanks North Star'],"[['4/17', 1], ['4/18', 1], ['4/19', 1], ['4/20', 1], ['4/21', 1], ['4/22', 1], ['4/23', 1], ['4/24', 1], ['4/25', 1], ['4/26', 1], ['4/27', 1], ['4/28', 1], ['4/29', 1], ['4/30', 1], ['5/1', 2], ['5/2', 2], ['5/3', 2], ['5/4', 2], ['5/5', 2], ['5/6', 2], ['5/7', 2], ['5/8', 2], ['5/9', 2], ['5/10', 2], ['5/11', 2], ['5/12', 2], ['5/13', 2], ['5/14', 2], ['5/15', 2], ['5/16', 2], ['5/17', 2], ['5/18', 2], ['5/19', 2], ['5/20', 2], ['5/21', 2], ['5/22', 2], ['5/23', 2], ['5/24', 2], ['5/25', 2], ['5/26', 2], ['5/27', 2], ['5/28', 2], ['5/29', 2], ['5/30', 2], ['5/31', 2], ['6/1', 2], ['6/2', 2], ['6/3', 2], ['6/4', 2], ['6/5', 2], ['6/6', 2], ['6/7', 2], ['6/8', 2], ['6/9', 2], ['6/10', 2], ['6/11', 2], ['6/12', 2], ['6/13', 2], ['6/14', 2], ['6/15', 2], ['6/16', 2]]"
['AK'],['Unassigned'],"[['4/17', 4], ['4/18', 4], ['4/19', 4], ['4/20', 4], ['4/21', 4], ['4/22', 4], ['4/23', 4], ['4/24', 4], ['4/25', 4], ['4/26', 4], ['4/27', 4], ['4/28', 4], ['4/29', 4], ['4/30', 4], ['5/1', 0], ['5/2', 0], ['5/3', 0], ['5/4', 0], ['5/5', 0], ['5/6', 0], ['5/7', 0], ['5/8', 0], ['5/9', 0], ['5/10', 0], ['5/11', 0], ['5/12', 0], ['5/13', 0], ['5/14', 0], ['5/15', 0], ['5/16', 0], ['5/17', 0], ['5/18', 0], ['5/19', 0], ['5/20', 0], ['5/21', 0], ['5/22', 0], ['5/23', 0], ['5/24', 0], ['5/25', 0], ['5/26', 0], ['5/27', 0], ['5/28', 0], ['5/29', 0], ['5/30', 0], ['5/31', 0], ['6/1', 0], ['6/2', 0], ['6/3', 0], ['6/4', 0], ['6/5', 0], ['6/6', 0], ['6/7', 0], ['6/8', 0], ['6/9', 0], ['6/10', 0], ['6/11', 0], ['6/12', 0], ['6/13', 0], ['6/14', 0], ['6/15', 0], ['6/16', 0]]"
['AL'],['Autauga'],"[['4/17', 1], ['4/18', 1], ['4/19', 1], ['4/20', 1], ['4/21', 1], ['4/22', 2], ['4/23', 2], ['4/24', 2], ['4/25', 2], ['4/26', 2], ['4/27', 3], ['4/28', 3], ['4/29', 3], ['4/30', 3], ['5/1', 3], ['5/2', 3], ['5/3', 3], ['5/4', 3], ['5/5', 3], ['5/6', 3], ['5/7', 3], ['5/8', 3], ['5/9', 3], ['5/10', 3], ['5/11', 3], ['5/12', 3], ['5/13', 3], ['5/14', 3], ['5/15', 3], ['5/16', 3], ['5/17', 3], ['5/18', 3], ['5/19', 3], ['5/20', 3], ['5/21', 3], ['5/22', 3], ['5/23', 3], ['5/24', 3], ['5/25', 3], ['5/26', 3], ['5/27', 3], ['5/28', 3], ['5/29', 3], ['5/30', 4], ['5/31', 4], ['6/1', 5], ['6/2', 5], ['6/3', 5], ['6/4', 5], ['6/5', 5], ['6/6', 5], ['6/7', 5], ['6/8', 5], ['6/9', 5], ['6/10', 6], ['6/11', 6], ['6/12', 6], ['6/13', 6], ['6/14', 6], ['6/15', 6], ['6/16', 6]]"
['AL'],['Baldwin'],"[['4/17', 1], ['4/18', 2], ['4/19', 2], ['4/20', 2], ['4/21', 2], ['4/22', 2], ['4/23', 2], ['4/24', 2], ['4/25', 2], ['4/26', 2], ['4/27', 2], ['4/28', 2], ['4/29', 2], ['4/30', 3], ['5/1', 4], ['5/2', 4], ['5/3', 4], ['5/4', 4], ['5/5', 5], ['5/6', 5], ['5/7', 5], ['5/8', 5], ['5/9', 5], ['5/10', 5], ['5/11', 6], ['5/12', 7], ['5/13', 7], ['5/14', 8], ['5/15', 8], ['5/16', 8], ['5/17', 8], ['5/18', 8], ['5/19', 8], ['5/20', 8], ['5/21', 8], ['5/22', 9], ['5/23', 9], ['5/24', 9], ['5/25', 9], ['5/26', 9], ['5/27', 9], ['5/28', 9], ['5/29', 9], ['5/30', 9], ['5/31', 9], ['6/1', 9], ['6/2', 9], ['6/3', 9], ['6/4', 9], ['6/5', 9], ['6/6', 9], ['6/7', 9], ['6/8', 9], ['6/9', 9], ['6/10', 9], ['6/11', 9], ['6/12', 9], ['6/13', 9], ['6/14', 9], ['6/15', 9], ['6/16', 9]]"
['AL'],['Chambers'],"[['4/17', 11], ['4/18', 11], ['4/19', 13], ['4/20', 13], ['4/21', 16], ['4/22', 16], ['4/23', 16], ['4/24', 17], ['4/25', 18], ['4/26', 18], ['4/27', 18], ['4/28', 19], ['4/29', 21], ['4/30', 21], ['5/1', 21], ['5/2', 21], ['5/3', 21], ['5/4', 21], ['5/5', 21], ['5/6', 21], ['5/7', 21], ['5/8', 21], ['5/9', 21], ['5/10', 21], ['5/11', 21], ['5/12', 21], ['5/13', 22], ['5/14', 22], ['5/15', 22], ['5/16', 22], ['5/17', 22], ['5/18', 22], ['5/19', 22], ['5/20', 23], ['5/21', 23], ['5/22', 23], ['5/23', 23], ['5/24', 23], ['5/25', 24], ['5/26', 24], ['5/27', 24], ['5/28', 24], ['5/29', 24], ['5/30', 25], ['5/31', 25], ['6/1', 25], ['6/2', 26], ['6/3', 26], ['6/4', 26], ['6/5', 26], ['6/6', 26], ['6/7', 26], ['6/8', 26], ['6/9', 26], ['6/10', 26], ['6/11', 26], ['6/12', 26], ['6/13', 26], ['6/14', 26], ['6/15', 26], ['6/16', 26]]"
['AL'],['Colbert'],"[['4/17', 1], ['4/18', 1], ['4/19', 1], ['4/20', 1], ['4/21', 1], ['4/22', 1], ['4/23', 1], ['4/24', 2], ['4/25', 2], ['4/26', 2], ['4/27', 2], ['4/28', 2], ['4/29', 2], ['4/30', 2], ['5/1', 2], ['5/2', 2], ['5/3', 2], ['5/4', 2], ['5/5', 2], ['5/6', 2], ['5/7', 2], ['5/8', 2], ['5/9', 2], ['5/10', 2], ['5/11', 2], ['5/12', 2], ['5/13', 2], ['5/14', 2], ['5/15', 2], ['5/16', 2], ['5/17', 2], ['5/18', 2], ['5/19', 2], ['5/20', 2], ['5/21', 2], ['5/22', 2], ['5/23', 2], ['5/24', 2], ['5/25', 2], ['5/26', 2], ['5/27', 2], ['5/28', 2], ['5/29', 2], ['5/30', 2], ['5/31', 2], ['6/1', 2], ['6/2', 2], ['6/3', 2], ['6/4', 2], ['6/5', 2], ['6/6', 4], ['6/7', 4], ['6/8', 4], ['6/9', 5], ['6/10', 5], ['6/11', 5], ['6/12', 5], ['6/13', 5], ['6/14', 5], ['6/15', 5], ['6/16', 5]]"
['AL'],['Etowah'],"[['4/17', 7], ['4/18', 7], ['4/19', 7], ['4/20', 7], ['4/21', 8], ['4/22', 8], ['4/23', 8], ['4/24', 8], ['4/25', 8], ['4/26', 8], ['4/27', 8], ['4/28', 8], ['4/29', 8], ['4/30', 9], ['5/1', 10], ['5/2', 10], ['5/3', 10], ['5/4', 10], ['5/5', 10], ['5/6', 10], ['5/7', 10], ['5/8', 10], ['5/9', 10], ['5/10', 10], ['5/11', 10], ['5/12', 10], ['5/13', 10], ['5/14', 10], ['5/15', 10], ['5/16', 10], ['5/17', 10], ['5/18', 10], ['5/19', 10], ['5/20', 10], ['5/21', 10], ['5/22', 10], ['5/23', 10], ['5/24', 10], ['5/25', 11], ['5/26', 11], ['5/27', 11], ['5/28', 11], ['5/29', 11], ['5/30', 11], ['5/31', 11], ['6/1', 12], ['6/2', 12], ['6/3', 12], ['6/4', 12], ['6/5', 12], ['6/6', 12], ['6/7', 12], ['6/8', 12], ['6/9', 12], ['6/10', 12], ['6/11', 12], ['6/12', 12], ['6/13', 12], ['6/14', 12], ['6/15', 12], ['6/16', 12]]"
['AL'],['Houston'],"[['4/17', 2], ['4/18', 2], ['4/19', 2], ['4/20', 2], ['4/21', 3], ['4/22', 3], ['4/23', 3], ['4/24', 3], ['4/25', 3], ['4/26', 3], ['4/27', 3], ['4/28', 3], ['4/29', 3], ['4/30', 4], ['5/1', 4], ['5/2', 4], ['5/3', 4], ['5/4', 4], ['5/5', 4], ['5/6', 4], ['5/7', 4], ['5/8', 4], ['5/9', 4], ['5/10', 4], ['5/11', 4], ['5/12', 4], ['5/13', 4], ['5/14', 4], ['5/15', 4], ['5/16', 4], ['5/17', 4], ['5/18', 4], ['5/19', 3], ['5/20', 3], ['5/21', 3], ['5/22', 3], ['5/23', 4], ['5/24', 4], ['5/25', 4], ['5/26', 4], ['5/27', 4], ['5/28', 4], ['5/29', 4], ['5/30', 4], ['5/31', 4], ['6/1', 4], ['6/2', 5], ['6/3', 5], ['6/4', 5], ['6/5', 5], ['6/6', 5], ['6/7', 5], ['6/8', 5], ['6/9', 5], ['6/10', 5], ['6/11', 5], ['6/12', 5], ['6/13', 5], ['6/14', 5], ['6/15', 5], ['6/16', 5]]"
['AL'],['Jackson'],"[['4/17', 2], ['4/18', 2], ['4/19', 2], ['4/20', 2], ['4/21', 2], ['4/22', 2], ['4/23', 2], ['4/24', 2], ['4/25', 2], ['4/26', 2], ['4/27', 2], ['4/28', 2], ['4/29', 2], ['4/30', 2], ['5/1', 2], ['5/2', 2], ['5/3', 2], ['5/4', 2], ['5/5', 2], ['5/6', 2], ['5/7', 2], ['5/8', 2], ['5/9', 2], ['5/10', 2], ['5/11', 2], ['5/12', 2], ['5/13', 2], ['5/14', 2], ['5/15', 2], ['5/16', 2], ['5/17', 2], ['5/18', 2], ['5/19', 2], ['5/20', 2], ['5/21', 2], ['5/22', 2], ['5/23', 2], ['5/24', 2], ['5/25', 2], ['5/26', 2], ['5/27', 2], ['5/28', 2], ['5/29', 2], ['5/30', 2], ['5/31', 2], ['6/1', 2], ['6/2', 3], ['6/3', 3], ['6/4', 3], ['6/5', 3], ['6/6', 3], ['6/7', 3], ['6/8', 3], ['6/9', 3], ['6/10', 3], ['6/11', 3], ['6/12', 3], ['6/13', 3], ['6/14', 3], ['6/15', 3], ['6/16', 3]]"
