state,district,active,confirmed,deceased,recovered,date
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200513
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200514
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200515
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200516
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200517
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200518
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200519
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200520
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200521
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200522
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200523
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200524
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200525
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200526
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200527
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200528
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200529
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200530
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200531
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200601
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200602
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200603
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200604
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200605
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200606
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200607
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200608
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200609
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200610
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200611
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200612
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200613
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200614
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200615
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200616
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200617
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200618
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200619
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200620
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200621
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200622
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200623
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200624
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200625
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200626
Andaman and Nicobar Islands,Nicobars,0,0,0,0,20200627
