Abruzzo,Italy,3265,2194,418
Acre,Brazil,7525,0,201
Adygea Republic,Russia,1025,577,10
Aguascalientes,Mexico,1104,723,51
Aichi,Japan,510,463,34
Akita,Japan,16,16,0
Alagoas,Brazil,14818,0,582
Alberta,Canada,7138,6656,146
Altai Krai,Russia,2319,1096,14
Altai Republic,Russia,172,100,0
Amapa,Brazil,12773,0,269
Amazonas,Brazil,48785,0,2232
Amazonas,Colombia,1980,922,71
Amazonas,Peru,758,0,27
Amur Oblast,Russia,702,252,5
Ancash,Peru,5290,0,305
Andalusia,Spain,12783,10671,1404
Anguilla,United Kingdom,3,3,0
Anhui,China,991,985,6
Antioquia,Colombia,1450,570,7
Antofagasta,Chile,3154,0,47
Aomori,Japan,27,26,1
Apurimac,Peru,248,0,4
Aragon,Spain,5781,3772,826
Arauca,Colombia,2,1,0
Araucania,Chile,2377,0,50
Arequipa,Peru,4316,0,60
Arica y Parinacota,Chile,850,0,10
Arkhangelsk Oblast,Russia,2868,853,9
Aruba,Netherlands,101,98,3
Astrakhan Oblast,Russia,2293,1263,22
Asturias,Spain,2427,1063,314
Atacama,Chile,306,0,0
Atlantico,Colombia,6184,1716,200
Australian Capital Territory,Australia,108,104,3
Ayacucho,Peru,886,0,8
Aysen,Chile,20,0,0
Baden-Wurttemberg,Germany,34930,32500,1791
Bahia,Brazil,27396,0,846
Baja California,Mexico,5976,4125,1230
Baja California Sur,Mexico,754,584,43
Baleares,Spain,2125,1533,209
Bashkortostan Republic,Russia,3928,1437,18
Basilicata,Italy,399,358,27
Bayern,Germany,47389,43620,2501
Beijing,China,594,583,9
Belgorod Oblast,Russia,2840,1337,27
Berlin,Germany,7015,6470,205
Bermuda,United Kingdom,141,114,9
Biobio,Chile,2595,0,13
Blekinge,Sweden,279,0,5
Bolivar,Colombia,3969,1104,176
Bonaire Sint Eustatius and Saba,Netherlands,7,7,0
Boyaca,Colombia,223,128,14
Brandenburg,Germany,3299,3100,170
Bremen,Germany,1534,1300,44
British Columbia,Canada,2632,2272,167
British Virgin Islands,United Kingdom,8,7,1
Bryansk Oblast,Russia,4364,2917,31
Buryatia Republic,Russia,1785,1058,11
C. Valenciana,Spain,11314,9970,1332
Cajamarca,Peru,907,0,9
Calabria,Italy,1159,971,97
Caldas,Colombia,173,117,7
Callao,Peru,13656,0,378
Campania,Italy,4826,3675,426
Campeche,Mexico,727,494,105
Canarias,Spain,2369,1537,151
Cantabria,Spain,2321,2287,202
Capital District,Colombia,12531,5109,320
Caqueta,Colombia,23,20,1
Casanare,Colombia,37,29,1
Castilla - La Mancha,Spain,17505,6392,2945
Castilla y Leon,Spain,19161,8716,1928
Catalonia,Spain,59209,26203,5587
Cauca,Colombia,144,61,5
Cayman Islands,United Kingdom,164,93,1
Ceara,Brazil,63575,0,3965
Cesar,Colombia,425,66,12
Ceuta,Spain,163,163,4
Channel Islands,United Kingdom,563,512,46
Chechen Republic,Russia,1345,990,14
Chelyabinsk Oblast,Russia,3614,1721,28
Cherkasy Oblast,Ukraine,460,343,18
Chernihiv Oblast,Ukraine,279,81,8
Chernivtsi Oblast,Ukraine,3639,1124,151
Chiapas,Mexico,2487,1579,192
Chiba,Japan,912,842,45
Chihuahua,Mexico,1829,1365,383
Choco,Colombia,396,68,10
Chongqing,China,579,573,6
Chukotka Autonomous Okrug,Russia,106,65,1
Chuvashia Republic,Russia,3475,1625,16
Ciudad de Mexico,Mexico,30223,22254,3696
Coahuila,Mexico,1420,1048,92
Colima,Mexico,205,122,30
Coquimbo,Chile,990,0,5
Cordoba,Colombia,210,65,10
Crimea Republic*,Ukraine,424,314,5
Cundinamarca,Colombia,1241,368,33
Curacao,Netherlands,21,15,1
Cusco,Peru,1199,0,4
Dagestan Republic,Russia,5858,4562,303
Dalarna,Sweden,1314,0,147
Diamond Princess,Canada,0,0,1
Distrito Federal,Brazil,15850,0,208
Dnipropetrovsk Oblast,Ukraine,971,532,22
Donetsk Oblast,Ukraine,231,121,5
Durango,Mexico,567,283,53
Ehime,Japan,82,64,4
Emilia-Romagna,Italy,27908,21405,4175
Espirito Santo,Brazil,18950,0,806
Extremadura,Spain,2977,2652,508
Falkland Islands (Malvinas),United Kingdom,13,13,0
Faroe Islands,Denmark,187,187,0
French Guiana,France,689,383,1
French Polynesia,France,60,60,0
Friuli Venezia Giulia,Italy,3283,2793,339
Fujian,China,359,356,1
Fukui,Japan,122,113,8
Fukuoka,Japan,799,641,28
Fukushima,Japan,81,78,0
Galicia,Spain,9145,9204,609
Gansu,China,139,137,2
Gavleborg,Sweden,1503,0,112
Gibraltar,United Kingdom,176,164,0
Gifu,Japan,151,142,7
Goias,Brazil,5669,0,172
Gotland,Sweden,90,0,6
Grand Princess,Canada,13,13,0
Greenland,Denmark,13,13,0
Guadeloupe,France,164,144,14
Guainia,Colombia,6,0,0
Guanajuato,Mexico,2389,1313,136
Guangdong,China,1602,1584,8
Guangxi,China,254,252,2
Guerrero,Mexico,2415,1842,360
Guizhou,China,147,145,2
Gunma,Japan,151,123,19
Hainan,China,170,162,6
Halland,Sweden,913,0,57
Hamburg,Germany,5114,4800,254
Hebei,China,328,322,6
Heilongjiang,China,947,934,13
Henan,China,1276,1254,22
Hessen,Germany,10203,9200,484
Hidalgo,Mexico,2196,1344,394
Hiroshima,Japan,165,162,3
Hokkaido,Japan,1112,869,90
Hong Kong,China,1106,1049,4
Huancavelica,Peru,516,0,2
Huanuco,Peru,1154,0,14
Hubei,China,68135,63623,4512
Huila,Colombia,253,217,13
Hunan,China,1019,1015,4
Hyogo,Japan,699,652,42
Ibaraki,Japan,168,155,10
Ica,Peru,4187,0,281
Ingushetia Republic,Russia,2342,1505,61
Inner Mongolia,China,235,213,1
Irkutsk Oblast,Russia,2792,709,16
Ishikawa,Japan,299,237,27
Isle of Man,United Kingdom,336,312,24
Ivano-Frankivsk Oblast,Ukraine,1562,947,87
Ivanovo Oblast,Russia,2705,1064,22
Jalisco,Mexico,2653,1367,229
Jamtland Harjedalen,Sweden,803,0,34
Jewish Autonomous Okrug,Russia,343,249,4
Jiangsu,China,653,653,0
Jiangxi,China,932,931,1
Jilin,China,155,153,2
Jonkoping,Sweden,1750,0,144
Junin,Peru,2114,0,22
Kabardino-Balkarian Republic,Russia,3348,1625,31
Kagawa,Japan,28,28,0
Kagoshima,Japan,10,10,0
Kaliningrad Oblast,Russia,1776,779,24
Kalmar,Sweden,406,0,39
Kalmykia Republic,Russia,1168,624,16
Kaluga Oblast,Russia,4511,2097,36
Kamchatka Krai,Russia,1125,306,10
Kanagawa,Japan,1396,1163,88
Karachay-Cherkess Republic,Russia,1580,418,8
Karelia Republic,Russia,614,224,2
Kemerovo Oblast,Russia,721,316,7
Khabarovsk Krai,Russia,2537,1301,17
Khakassia Republic,Russia,1128,757,10
Khanty-Mansi Autonomous Okrug,Russia,3346,1126,20
Kharkiv Oblast,Ukraine,1251,545,52
Kherson Oblast,Ukraine,179,172,3
Khmelnytskyi Oblast,Ukraine,518,337,13
Kiev,Ukraine,3418,888,77
Kiev Oblast,Ukraine,1784,558,37
Kirov Oblast,Russia,2182,1186,20
Kirovohrad Oblast,Ukraine,553,416,27
Kochi,Japan,74,71,3
Komi Republic,Russia,1564,885,26
Kostroma Oblast,Russia,901,485,12
Krasnodar Krai,Russia,4399,3289,43
Krasnoyarsk Krai,Russia,5301,1494,49
Kronoberg,Sweden,916,0,76
Kumamoto,Japan,47,44,3
Kurgan Oblast,Russia,288,180,0
Kursk Oblast,Russia,3501,1802,16
Kyoto,Japan,359,332,18
La Guajira,Colombia,107,42,5
La Libertad,Peru,5670,0,235
La Rioja,Spain,4061,3107,362
Lambayeque,Peru,9686,0,630
Lazio,Italy,7812,4362,760
Leningrad Oblast,Russia,3188,2154,18
Liaoning,China,149,147,2
Liguria,Italy,9812,8070,1499
Lima,Peru,112974,0,2186
