date,province,fips,total_cases,active,recovered,deaths
04-04-2020,SINDH,0,881,743,123,15
04-04-2020,PUNJAB,1,1196,1179,6,11
04-04-2020,BALOCHISTAN,3,189,156,32,1
04-04-2020,KP,4,372,328,30,14
04-04-2020,ISLAMABAD,5,78,75,3,0
04-04-2020,GB,6,210,194,13,3
04-04-2020,AJK,7,14,14,0,0
06-04-2020,SINDH,0,932,743,123,17
06-04-2020,PUNJAB,1,1684,1666,6,12
06-04-2020,BALOCHISTAN,3,192,159,32,1
06-04-2020,KP,4,421,375,30,16
06-04-2020,ISLAMABAD,5,82,79,3,0
06-04-2020,GB,6,210,194,13,3
06-04-2020,AJK,7,15,15,0,0
07-04-2020,SINDH,0,986,662,269,18
07-04-2020,PUNJAB,1,2004,1960,29,15
07-04-2020,BALOCHISTAN,3,206,142,63,1
07-04-2020,KP,4,500,414,69,17
07-04-2020,ISLAMABAD,5,83,79,3,1
07-04-2020,GB,6,212,166,43,3
07-04-2020,AJK,7,28,28,0,0
08-04-2020,SINDH,0,1036,736,280,20
08-04-2020,PUNJAB,1,2180,2134,29,17
08-04-2020,BALOCHISTAN,3,210,134,75,1
08-04-2020,KP,4,527,439,70,18
08-04-2020,ISLAMABAD,5,83,79,3,1
08-04-2020,GB,6,212,166,43,3
08-04-2020,AJK,7,28,28,0,0
09-04-2020,SINDH,0,1128,828,280,20
09-04-2020,PUNJAB,1,2241,2189,35,17
09-04-2020,BALOCHISTAN,3,212,134,76,2
09-04-2020,KP,4,560,466,74,20
09-04-2020,ISLAMABAD,5,102,91,10,1
09-04-2020,GB,6,213,114,96,3
09-04-2020,AJK,7,33,32,1,0
10-04-2020,SINDH,0,1214,844,349,21
10-04-2020,PUNJAB,1,2287,2230,39,18
10-04-2020,BALOCHISTAN,3,219,129,89,1
10-04-2020,KP,4,620,470,128,22
10-04-2020,ISLAMABAD,5,107,96,10,1
10-04-2020,GB,6,215,101,111,3
10-04-2020,AJK,7,33,32,1,0
11-04-2020,SINDH,0,1318,932,358,28
11-04-2020,PUNJAB,1,2414,2354,39,21
11-04-2020,BALOCHISTAN,3,220,123,95,2
11-04-2020,KP,4,697,535,131,31
11-04-2020,ISLAMABAD,5,113,99,13,1
11-04-2020,GB,6,215,87,125,3
11-04-2020,AJK,7,34,33,1,0
12-04-2020,SINDH,0,1411,1010,371,30
12-04-2020,PUNJAB,1,2464,2185,258,21
12-04-2020,BALOCHISTAN,3,228,131,95,2
12-04-2020,KP,4,744,568,142,34
12-04-2020,ISLAMABAD,5,119,105,13,1
12-04-2020,GB,6,224,75,146,3
12-04-2020,AJK,7,40,37,3,0
13-04-2020,SINDH,0,1452,1033,389,30
13-04-2020,PUNJAB,1,2672,2377,272,23
13-04-2020,BALOCHISTAN,3,230,105,123,2
13-04-2020,KP,4,744,565,145,34
13-04-2020,ISLAMABAD,5,131,115,15,1
13-04-2020,GB,6,224,72,149,3
13-04-2020,AJK,7,43,39,4,0
14-04-2020,SINDH,0,1518,1068,419,31
14-04-2020,PUNJAB,1,2881,2349,508,24
14-04-2020,BALOCHISTAN,3,231,105,124,2
14-04-2020,KP,4,800,612,153,35
14-04-2020,ISLAMABAD,5,131,115,15,1
14-04-2020,GB,6,233,75,155,3
14-04-2020,AJK,7,43,39,4,0
15-04-2020,SINDH,0,1668,1202,427,39
15-04-2020,PUNJAB,1,3143,2607,508,28
15-04-2020,BALOCHISTAN,3,240,101,137,2
15-04-2020,KP,4,912,696,178,38
15-04-2020,ISLAMABAD,5,140,122,17,1
15-04-2020,GB,6,234,56,175,3
15-04-2020,AJK,7,46,42,4,0
16-04-2020,SINDH,0,2008,1403,560,45
16-04-2020,PUNJAB,1,3291,2707,550,34
16-04-2020,BALOCHISTAN,3,280,137,140,3
16-04-2020,KP,4,912,679,191,42
16-04-2020,ISLAMABAD,5,145,127,17,1
16-04-2020,GB,6,237,56,178,3
16-04-2020,AJK,7,46,37,9,0
17-04-2020,SINDH,0,2008,1387,576,45
17-04-2020,PUNJAB,1,3276,2610,630,36
17-04-2020,BALOCHISTAN,3,303,156,142,5
17-04-2020,KP,4,993,743,205,45
17-04-2020,ISLAMABAD,5,154,133,20,1
17-04-2020,GB,6,245,59,183,3
17-04-2020,AJK,7,46,37,9,0
18-04-2020,SINDH,0,2355,1726,581,48
18-04-2020,PUNJAB,1,3410,2701,672,37
18-04-2020,BALOCHISTAN,3,335,188,142,5
18-04-2020,KP,4,1077,811,216,50
18-04-2020,ISLAMABAD,5,163,142,20,1
18-04-2020,GB,6,250,55,192,3
18-04-2020,AJK,7,48,39,9,0
19-04-2020,SINDH,0,2537,1889,592,56
19-04-2020,PUNJAB,1,3822,3096,684,42
19-04-2020,BALOCHISTAN,3,376,227,144,5
19-04-2020,KP,4,1137,851,226,60
