Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-25,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0
2020-02-26,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,2.0
2020-02-27,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,2.0,6.0
2020-02-28,1.0,,,1.0,1.0,1.0,,4.0,,,1.0,,,,,,,,,,1.0,,,1.0,,2.0,13.0
2020-02-29,,,,,2.0,1.0,,8.0,,,1.0,,,,,,,,,,2.0,,,1.0,0.0,6.0,23.0
2020-03-01,,,,2.0,2.0,1.0,1.0,9.0,,,1.0,,1.0,,,,,,,,2.0,,,2.0,0.0,7.0,29.0
2020-03-02,2.0,,,4.0,2.0,1.0,2.0,10.0,,,1.0,,1.0,,,0.0,,,,,4.0,,,3.0,0.0,10.0,40.0
2020-03-03,6.0,,,,2.0,3.0,,13.0,,,2.0,,1.0,,,,,,1.0,,8.0,,,3.0,1.0,13.0,59.0
2020-03-04,7.0,,,6.0,2.0,3.0,4.0,14.0,,,2.0,0.0,8.0,,,1.0,,,3.0,,13.0,,,4.0,1.0,15.0,83.0
2020-03-05,9.0,,1.0,,6.0,8.0,6.0,17.0,,,4.0,,9.0,,,,,,,,25.0,,,5.0,2.0,23.0,125.0
2020-03-06,12.0,,1.0,17.0,6.0,15.0,,25.0,,,4.0,,13.0,,,2.0,,1.0,6.0,,28.0,,23.0,6.0,3.0,29.0,197.0
2020-03-07,,,1.0,,15.0,21.0,,38.0,,,5.0,,18.0,,,,,,,,41.0,,30.0,7.0,3.0,34.0,257.0
2020-03-08,,,1.0,,19.0,24.0,8.0,40.0,,,5.0,,24.0,,,,,,,,49.0,,40.0,12.0,3.0,40.0,303.0
2020-03-09,14.0,,2.0,34.0,20.0,28.0,11.0,55.0,,,7.0,,27.0,,,,,,,,61.0,,51.0,17.0,10.0,49.0,395.0
2020-03-10,17.0,,,,22.0,33.0,,75.0,1.0,,7.0,,31.0,,,,,,,,75.0,,130.0,22.0,10.0,62.0,541.0
2020-03-11,18.0,,,,26.0,49.0,16.0,108.0,1.0,,7.0,,37.0,4.0,,,1.0,,,,108.0,,203.0,30.0,11.0,101.0,765.0
2020-03-12,27.0,,5.0,,26.0,73.0,22.0,149.0,3.0,,12.0,,46.0,5.0,,15.0,1.0,,,,163.0,2.0,277.0,53.0,11.0,140.0,1071.0
2020-03-13,32.0,,,,42.0,92.0,29.0,221.0,6.0,,17.0,,59.0,5.0,1.0,,1.0,,9.0,,206.0,,370.0,76.0,11.0,163.0,1397.0
2020-03-14,,2.0,,,47.0,100.0,36.0,339.0,8.0,,18.0,,68.0,5.0,,,1.0,,,,265.0,,477.0,98.0,13.0,218.0,1794.0
2020-03-15,,,,,54.0,,40.0,422.0,10.0,,19.0,,74.0,8.0,,,1.0,,13.0,,293.0,,566.0,115.0,13.0,250.0,2070.0
2020-03-16,52.0,4.0,,123.0,76.0,143.0,45.0,543.0,10.0,,25.0,,93.0,10.0,,,2.0,,,17.0,368.0,,796.0,172.0,20.0,326.0,2862.0
