Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2020-02-25,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
2020-02-26,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
2020-02-27,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0
2020-02-28,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0
2020-02-29,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0
2020-03-01,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,0.0
2020-03-02,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,0.0
2020-03-03,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,0.0
2020-03-04,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,0.0
2020-03-05,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,0.0,,2.0
2020-03-06,1.0,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,0.0,,3.0
2020-03-07,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,0.0,,3.0
2020-03-08,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,0.0,,3.0
2020-03-09,2.0,,,,1.0,,,,,,,,,,,,,,,,0.0,,,2.0,0.0,,5.0
2020-03-10,2.0,,,,2.0,,,,,,,,,,,,,,,,0.0,,,2.0,0.0,,6.0
2020-03-11,2.0,,,,2.0,4.0,,,,,,,,,,,,,,,0.0,,,3.0,0.0,,11.0
2020-03-12,3.0,,,,2.0,4.0,,,,,,,,,,,,,,,0.0,,,3.0,0.0,,12.0
2020-03-13,3.0,,,,2.0,4.0,,,,,,,,,,,,,,,0.0,,,5.0,0.0,,14.0
2020-03-14,,,,,2.0,4.0,,,,,,,,,,,,,,,61.0,,,6.0,0.0,,76.0
2020-03-15,,,,,5.0,,,,,,,,,,,,,,,,61.0,,,6.0,0.0,,79.0
2020-03-16,4.0,,,,5.0,4.0,,,,,,,,,,,,,,,61.0,,,8.0,0.0,,82.0
2020-03-17,4.0,,,,13.0,25.0,,,,,,,,,,,,,,,62.0,,,11.0,1.0,,116.0
2020-03-18,4.0,,,,16.0,36.0,,,,,,,,,,,,,,,62.0,,,11.0,5.0,,134.0
2020-03-19,,,,,16.0,44.0,,,,,,,,,,,,,,,65.0,,,12.0,5.0,,146.0
2020-03-20,,,,,18.0,46.0,,,,,,,,,,,,,,,67.0,,,15.0,5.0,,155.0
2020-03-21,,,,,21.0,57.0,,,,,,,,,,,,,,,68.0,,,17.0,5.0,,172.0
2020-03-22,,,,,21.0,73.0,,,,,,,,,,,,,,,70.0,,,19.0,5.0,,192.0
2020-03-23,,,,,35.0,78.0,,,,,,,,,,,,,,,71.0,1.0,,24.0,5.0,,218.0
2020-03-24,,,,,40.0,105.0,,103.0,,,,,,,,,,,10.0,,80.0,1.0,,25.0,12.0,,380.0
2020-03-25,,,,,46.0,128.0,,122.0,,,,,,,,,,,10.0,,85.0,,,35.0,18.0,,449.0
2020-03-26,,,,,65.0,155.0,,144.0,,,,,,,,,,,20.0,,91.0,2.0,,41.0,18.0,,540.0
