Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-01-24,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,4.0
2020-01-25,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,8.0
2020-01-26,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,11.0
2020-01-27,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,18.0
2020-01-28,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,27.0
2020-01-29,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,54.0
2020-01-30,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,76.0
2020-01-31,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,93.0
2020-02-01,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,109.0
2020-02-02,,,,,,,,115.0,,,,,,,,,,,,,,,,,,,115.0
2020-02-03,,,,,,,,136.0,,,,,,,,,,,,,,,,,,,136.0
2020-02-04,,,,,,,,156.0,,,,,,,,,,,,,,,,,,,156.0
2020-02-05,,,,,,,,169.0,,,,,,,,,,,,,,,,,,,169.0
2020-02-06,,,,,,,,175.0,,,,,,,,,,,,,,,,,,,175.0
2020-02-07,,,,,,,,183.0,,,,,,,,,,,,,,,,,,,183.0
2020-02-08,,,,,,,,192.0,,,,,,,,,,,,,,,,,,,192.0
2020-02-09,,,,,,,,192.0,,,,,,,,,,,,,,,,,,,192.0
2020-02-10,,,,,,,,204.0,,,,,,,,,,,,,,,,,,,204.0
2020-02-11,,,,,,,,215.0,,,,,,,,,,,,,,,,,,,215.0
2020-02-12,,,,,,,,223.0,,,,,,,,,,,,,,,,,,,223.0
2020-02-13,,,,,,,,234.0,,,,,,,,,,,,,,,,,,,234.0
2020-02-14,,,,,,,,240.0,,,,,,,,,,,,,,,,,,,240.0
2020-02-15,,,,,,,,245.0,,,,,,,,,,,,,,,,,,,245.0
2020-02-16,,,,,,,,246.0,,,,,,,,,,,,,,,,,,,246.0
2020-02-17,,,,,,,,248.0,,,,,,,,,,,,,,,,,,,248.0
2020-02-18,,,,,,,,255.0,,,,,,,,,,,,,,,,,,,255.0
2020-02-19,,,,,,,,263.0,,,,,,,,,,,,,,,,,,,263.0
2020-02-20,,,,,,,,268.0,,,,,,,,,,,,,,,,,,,268.0
2020-02-21,,,,,,,,272.0,,,,,,,,,,,,,,,,,,,272.0
2020-02-22,,,,,,,,273.0,,,,,,,,,,,,,,,,,,,273.0
2020-02-23,,,,,,,,273.0,,,,,,,,,,,,,,,,,,,273.0
2020-02-24,,,,,,,,302.0,,,,,,,,,,,,,,,,,,,302.0
2020-02-25,,,,,,,,375.0,,,,,,,,,,,,,,,,,,,375.0
2020-02-26,,,,,,,,479.0,,,,,,,,,,,,,,,,,,,479.0
2020-02-27,,,,,,,,630.0,,,,,,,,,,,,,,,,,,,630.0
2020-02-28,,,,,,,,840.0,,,,,,,,,,,,,,,,,,,840.0
2020-02-29,,,,,,,,981.0,,,,,,,,,,,,,,,,,,,981.0
2020-03-01,,,,,,,30.0,1083.0,,,,,,,,,,,,,,,,,,,1113.0
2020-03-02,,,,,,235.0,,1171.0,,,,,,,,,,,,,,,,,,,1436.0
2020-03-03,,,,,,,,1278.0,,,,,,,,,,,1.0,,,,,,,,1544.0
2020-03-04,,,,,,,,1384.0,,,,,,,,,,,3.0,,,,,,,,1652.0
2020-03-05,,,,,,,,1447.0,,,,,,,,,,,,,,,,,,,1715.0
2020-03-06,,,,,,,,1538.0,,,,,,,,,,,6.0,,,,,,,,1809.0
2020-03-07,,,,,,,,1614.0,,,,,,,,,,,,,,,,,,,1885.0
2020-03-08,,,,,,,,1681.0,,,,,,,,,,,,,,,,,,,1952.0
2020-03-09,,,,,,,,1780.0,,,,,,,,,,,,,,,,,,,2051.0
2020-03-10,,,,,,,,1955.0,,,,,,,,,,,,,,,,,,,2226.0
2020-03-11,,,,,,,,2201.0,,,,,,,,,,,,,,,,,,,2472.0
2020-03-12,,,,,,,,2574.0,,,,,,,,,,,,,,,,,,,2845.0
2020-03-13,,,,,,,,3010.0,,,,,,,6.0,,,,10.0,,,,,,,,3291.0
2020-03-14,,,,,,,,3627.0,,,,,,,,,,,,,,,,,,,3908.0
2020-03-15,,,,,,,,3978.0,,,,,,,,,,,,,,,,,,,4259.0
2020-03-16,,,,,,,,4485.0,,,,,,,,,,,,246.0,,,,,,,5012.0
2020-03-17,,,,,,,,5174.0,,,,,,,,,,,,276.0,,,,,,,5731.0
2020-03-18,,,,,,,,6002.0,,,,,,,,,,,,,,85.0,,,,,6644.0
2020-03-19,,,,,,,,6681.0,,,,,,,,,,,,,,,,,,,7323.0
2020-03-20,,,,,,,,7205.0,,,,,,,,,,,,,,,,,,,7847.0
2020-03-21,,,,,,,,7607.0,,,,,,,,,,,,,,,,,,,8249.0
2020-03-22,,,,,,,,7807.0,,,,,,,,,,,,,,,,,,,8449.0
2020-03-23,,,,,,,,8213.0,,,,,,,,,,,,,,,,,,,8855.0
2020-03-24,,,,,,,,8554.0,,,,,,,,,,,,,,,,,,,9196.0
2020-03-25,,,,,,,,9000.0,,,,,,,,,,,,,,,,,,,9642.0
2020-03-26,,,,,,,,9520.0,,,,,,,,,,,,,,,,,,,10162.0
2020-03-27,,,,,,,,9971.0,,,,,,,,,,,,,,,,,,,10613.0
2020-03-28,,,,,,,,10533.0,,,,,,,,,,,,,,,,,,,11175.0
2020-03-29,,,,,,,,10825.0,,,,,,,,,,,,,,,,,,,11467.0
2020-03-30,,,,,,,,11444.0,,,,,,,,,,,,,,,,,,,12086.0
2020-03-31,,,,,,,,12210.0,,,,,,,,,,,,,,,,,,,12852.0
2020-04-01,,,,,,,,12863.0,,,,,,,,,,,,,,,,,,,13505.0
2020-04-02,,,,,,,,13919.0,,,,,,,,,,,,,,,,,,,14561.0
2020-04-03,,,,,,,,14733.0,,,,,,,,,,,,,,,,,,,15375.0
2020-04-04,,,,,,,,15284.0,,,,,,,,,,,,,,,,,,,15926.0
2020-04-05,,,,,,,,15591.0,,,,,,,,,,,,,,,,,,,16233.0
2020-04-06,,,,,,,,16191.0,,,,,,,,,,,,,,,,,,,16833.0
2020-04-07,,,,,,,,17015.0,,,,,,,,,,,,,,,,,,,17657.0
2020-04-08,,,,,,,,17765.0,,,,,,,,,,,,,,,,,,,18407.0
2020-04-09,,,,,,,,18317.0,,,,,,,,,,,,,,,,,,,18959.0
2020-04-10,,,,,,,,18710.0,,,,,,,,,,,,,,,,,,,19352.0
2020-04-11,,,,,,,,19042.0,,,,,,,,,,,,,,,,,,,19684.0
2020-04-12,,,,,,,,19203.0,,,,,,,,,,,,,,,,,,,19845.0
2020-04-13,,,,,,,,19470.0,,,,,,,,,,,,,,,,,,,20112.0
2020-04-14,,,,,,,,20004.0,,,,,,,,,,,,,,,,,,,20646.0
2020-04-15,,,,,,,,20417.0,,,,,,,,,,,,,,,,,,,21059.0
2020-04-16,,,,,,,,21024.0,,,,,,,,,,,,,,,,,,,21666.0
2020-04-17,,,,,,,,21407.0,,,,,,,,,,,,,,,,,,,22049.0
2020-04-18,,,,,,,,21794.0,,,,,,,,,,,,,,,,,,,22436.0
2020-04-19,,,,,,,,21941.0,,,,,,,,,,,,,,,,,,,22583.0
2020-04-20,,,,,,,,22272.0,,,,,,,,,,,,,,,,,,,22914.0
2020-04-21,,,,,,,,22742.0,,,,,,,,,,,,,,,,,,,23384.0
2020-04-22,,,,,,,,23152.0,,,,,,,,,,,,,,,,,,,23794.0
2020-04-23,,,,,,,,23589.0,,,,,,,,,,,,,,,,,,,24231.0
2020-04-24,,,,,,,,23919.0,,,,,,,,,,,,,,,,,,,24561.0
2020-04-25,,,,,,,,24257.0,,,,,,,,,,,,,,,,,,,24899.0
2020-04-26,,,,,,,,24424.0,,,,,,,,,,,,,,,,,,,25066.0
2020-04-27,,,,,,,,24830.0,,,,,,,,,,,,,,,,,,,25472.0
2020-04-28,,,,,,,,25331.0,,,,,,,,,,,,,,,,,,,25973.0
2020-04-29,,,,,,,,25736.0,,,,,,,,,,,,,,,,,,,26378.0
2020-04-30,,,,,,,,26004.0,,,,,,,,,,,,,,,,,,,26646.0
2020-05-01,,,,,,,,26421.0,,,,,,,,,,,,,,,,,,,27063.0
2020-05-02,,,,,,,,26678.0,,,,,,,,,,,,,,,,,,,27320.0
2020-05-03,,,,,,,,26822.0,,,,,,,,,,,,,,,,,,,27464.0
2020-05-04,,,,,,,,27165.0,,,,,,,,,,,,,,,,,,,27807.0
2020-05-05,,,,,,,,27691.0,,,,,,,,,,,,,,,,,,,28333.0
2020-05-06,,,,,,,,28100.0,,,,,,,,,,,,,,,,,,,28742.0
2020-05-07,,,,,,,,28415.0,,,,,,,,,,,,,,,,,,,29057.0
2020-05-08,,,,,,,,28728.0,,,,,,,,,,,,,,,,,,,29370.0
2020-05-09,,,,,,,,29033.0,,,,,,,,,,,,,,,,,,,29675.0
2020-05-10,,,,,,,,29205.0,,,,,,,,,,,,,,,,,,,29847.0
2020-05-11,,,,,,,,29569.0,,,,,,,,,,,,,,,,,,,30211.0
2020-05-12,,,,,,,,30070.0,,,,,,,,,,,,,,,,,,,30712.0
2020-05-13,,,,,,,,30511.0,,,,,,,,,,,,,,,,,,,31153.0
2020-05-14,,,,,,,,30921.0,,,,,,,,,,,,,,,,,,,31563.0
2020-05-15,,,,,,,,31403.0,,,,,,,,,,,,,,,,,,,32045.0
2020-05-16,,,,,,,,31672.0,,,,,,,,,,,,,,,,,,,32314.0
2020-05-17,,,,,,,,31850.0,,,,,,,,,,,,,,,,,,,32492.0
2020-05-18,,,,,,,,32337.0,,,,,,,,,,,,,,,,,,,32979.0
2020-05-19,,,,,,,,32779.0,,,,,,,,,,,,,,,,,,,33421.0
2020-05-20,,,,,,,,33199.0,,,,,,,,,,,,,,,,,,,33841.0
2020-05-21,,,,,,,,33449.0,,,,,,,,,,,,,,,,,,,34091.0
2020-05-22,,,,,,,,33804.0,,,,,,,,,,,,,,,,,,,34446.0
2020-05-23,,,,,,,,34040.0,,,,,,,,,,,,,,,,,,,34682.0
2020-05-24,,,,,,,,34260.0,,,,,,,,,,,,,,,,,,,34902.0
2020-05-25,,,,,,,,34611.0,,,,,,,,,,,,,,,,,,,35253.0
