Canton,Date,Time
AG,2020-06-11,14:45
AI,2020-06-12,11:00
AR,2020-06-12,09:15
BE,2020-06-13,08:00
BL,2020-06-13,00:00
BS,2020-06-12,09:30
FR,2020-06-09,00:00
GE,2020-06-09,00:00
GL,2020-06-12,12:30
GR,2020-06-09,00:00
JU,2020-06-08,00:00
LU,2020-06-11,00:00
NE,2020-06-12,00:00
NW,2020-06-09,00:00
OW,2020-06-10,16:00
SG,2020-06-10,00:00
SH,2020-06-12,09:30
SO,2020-06-09,00:00
SZ,2020-06-13,10:00
TG,2020-06-12,00:00
TI,2020-06-12,08:00
UR,2020-06-02,17:00
VD,2020-06-11,00:00
VS,2020-06-09,00:00
ZG,2020-06-10,08:00
ZH,2020-06-12,14:30
